,SI_P2HT_OTH,SI_STUR_BIO_CHP,SI_COMC_GAS_CHP,SI_ICEN_GAS_CHP
2016-09-23 13:00:00,208.42379483133396,60.68611459051483,2.097499175912405,3.495831959854009
2016-09-23 14:00:00,221.55974828709031,64.51086971176578,2.2296945021253722,3.7161575035422874
2016-09-23 15:00:00,238.19862266438167,69.35555953201695,2.397141915328463,3.9952365255474387
2016-09-23 16:00:00,250.0209807745624,72.7978391411428,2.5161177089201336,4.193529514866889
2016-09-23 17:00:00,271.0385063037725,78.91744733514429,2.7276302308608797,4.546050384768134
2016-09-23 18:00:00,277.60648303165067,80.82982489576976,2.7937278939673633,4.656213156612273
2016-09-23 19:00:00,251.7724412353299,73.30780649064292,2.5337437524151953,4.222906254025326
2016-09-23 20:00:00,189.1577297628913,55.07647374601346,1.9036126974667207,3.1726878291112013
2016-09-23 21:00:00,116.90998575623146,34.04032057913333,1.176538403295404,1.9608973388256734
2016-09-23 22:00:00,89.762348614335,26.13582666188139,0.9033347291219392,1.5055578818698987
2016-09-23 23:00:00,96.76819045740507,28.175696059881886,0.9738389031021881,1.623064838503647
2016-09-24 00:00:00,96.76819045740507,28.175696059881886,0.9738389031021881,1.623064838503647
2016-09-24 01:00:00,117.7857159866152,34.29530425388338,1.185351425042935,1.9755857084048916
2016-09-24 02:00:00,183.90334838058882,53.54657169751309,1.850734566981534,3.0845576116358906
2016-09-24 03:00:00,332.77748754582734,96.89379640502368,3.3489482640618236,5.581580440103039
2016-09-24 04:00:00,421.2262408145867,122.64714755477996,4.239063460562465,7.06510576760411
2016-09-24 05:00:00,399.77085017018464,116.40004752340344,4.023144427747954,6.705240712913256
2016-09-24 06:00:00,335.84254335217054,97.7862392666489,3.3797938401781824,5.632989733630304
2016-09-24 07:00:00,322.26872478122226,93.83399230802294,3.2431920030914503,5.405320005152418
2016-09-24 08:00:00,288.99097602663954,84.14461266752056,2.9082971766852674,4.847161961142113
2016-09-24 09:00:00,272.3521016493481,79.29992284726939,2.740849763482177,4.5680829391369615
2016-09-24 10:00:00,260.9676086543593,75.98513507551856,2.6262804807642715,4.37713413460712
2016-09-24 11:00:00,234.6957017428466,68.3356248330167,2.3618898283383385,3.9364830472305647
2016-09-24 12:00:00,226.81412966939288,66.04077176026614,2.2825726326105586,3.8042877210175985
2016-09-24 13:00:00,214.99177155921214,62.598492151140306,2.1635968390188887,3.605994731698148
2016-09-24 14:00:00,229.00345524535226,66.6782309471413,2.3046051869793867,3.841008644965645
2016-09-24 15:00:00,245.20446450745175,71.39542893001746,2.467646089308712,4.1127434821811875
2016-09-24 16:00:00,257.9025528480162,75.09269221389334,2.595434904647913,4.325724841079856
2016-09-24 17:00:00,279.79580860761007,81.46728408264491,2.815760448336191,4.692934080560319
2016-09-24 18:00:00,286.3637853354883,83.37966164327038,2.8818581114426745,4.803096852404457
2016-09-24 19:00:00,260.0918784239756,75.7301514007685,2.617467459016741,4.362445765027902
2016-09-24 20:00:00,195.7257064907695,56.98885130663893,1.969710360573204,3.2828506009553404
2016-09-24 21:00:00,121.28863690815024,35.31523895288363,1.2206035120330592,2.0343391867217657
2016-09-24 22:00:00,88.44875326875938,25.753351149756295,0.8901151965006425,1.4835253275010711
2016-09-24 23:00:00,95.45459511182943,27.793220547756796,0.9606193704808915,1.6010322841348195
2016-09-25 00:00:00,94.57886488144565,27.53823687300673,0.9518063487333603,1.5863439145556006
2016-09-25 01:00:00,115.15852529546393,33.53035322963319,1.1589123598003415,1.9315205996672358
2016-09-25 02:00:00,180.83829257424566,52.65412883588787,1.819888990865175,3.0331483181086254
2016-09-25 03:00:00,327.96097127871667,95.49138619389834,3.300476644450402,5.500794407417337
2016-09-25 04:00:00,414.2203989715167,120.60727815677947,4.168559286582217,6.947598810970362
2016-09-25 05:00:00,397.14365947903343,115.63509649915326,3.9967053625053603,6.661175604175601
2016-09-25 06:00:00,334.5289480065949,97.40376375452381,3.3665743075568857,5.610957179261477
2016-09-25 07:00:00,320.51726432045473,93.32402495852281,3.225565959596388,5.37594326599398
2016-09-25 08:00:00,287.239515565872,83.63464531802043,2.8906711331902053,4.8177852219836765
2016-09-25 09:00:00,269.287045843005,78.40747998564416,2.7100041873658176,4.516673645609696
2016-09-25 10:00:00,258.3404179632081,75.22018405126839,2.599841415521679,4.333069025869465
2016-09-25 11:00:00,232.50637616688726,67.69816564614155,2.3398572739695105,3.8997621232825184
2016-09-25 12:00:00,223.31120874785782,65.02083706126588,2.247320545620434,3.7455342427007237
2016-09-25 13:00:00,213.24031109844464,62.08852480164017,2.145970795523826,3.5766179925397106
2016-09-25 14:00:00,226.376264554201,65.9132799228911,2.2781661217367932,3.796943536227989
2016-09-25 15:00:00,243.01513893149234,70.7579697431423,2.445613534939884,4.076022558233141
2016-09-25 16:00:00,256.58895750244056,74.71021670176826,2.5822153720266163,4.303692286711028
2016-09-25 17:00:00,278.48221326203446,81.08480857051983,2.8025409157148946,4.670901526191491
2016-09-25 18:00:00,283.736594644337,82.6147106190202,2.8554190462000815,4.759031743666803
2016-09-25 19:00:00,258.77828307839997,75.34767588864341,2.604247926395444,4.340413210659074
2016-09-25 20:00:00,193.974246030002,56.4788839571388,1.9520843170781417,3.2534738617969032
2016-09-25 21:00:00,119.09931133219084,34.67777976600848,1.1985709576642316,1.9976182627737193
2016-09-25 22:00:00,97.20605557259694,28.303187897256915,0.9782454139759537,1.6304090232932562
2016-09-25 23:00:00,100.27111137894008,29.19563075888214,1.0090909900923126,1.6818183168205214
2016-09-26 00:00:00,102.89830207009135,29.96058178313232,1.0355300553349058,1.7258834255581765
2016-09-26 01:00:00,121.28863690815024,35.31523895288363,1.2206035120330592,2.0343391867217657
2016-09-26 02:00:00,188.71986464769947,54.94898190863844,1.8992061865929553,3.1653436443215925
2016-09-26 03:00:00,338.0318689281299,98.42369845352405,3.40182639454701,5.66971065757835
2016-09-26 04:00:00,423.4155663905461,123.2846067416551,4.261096014931293,7.101826691552155
2016-09-26 05:00:00,402.83590597652784,117.29249038502866,4.053990003864312,6.756650006440521
2016-09-26 06:00:00,346.78917123196743,100.97353520102469,3.4899566120223215,5.816594353370536
2016-09-26 07:00:00,330.15029685467607,96.1288453807735,3.32250919881923,5.537515331365384
2016-09-26 08:00:00,297.3104132152852,86.56695757764615,2.992020883286813,4.98670147214469
2016-09-26 09:00:00,281.98513418356947,82.10474326952007,2.837793002705019,4.729655004508365
2016-09-26 10:00:00,268.41131561262125,78.15249631089411,2.7011911656182868,4.501985276030478
2016-09-26 11:00:00,242.1394087011086,70.50298606839223,2.4368005131923534,4.061334188653922
2016-09-26 12:00:00,232.94424128207913,67.82565748351658,2.3442637848432764,3.907106308072128
2016-09-26 13:00:00,225.06266920862532,65.53080441076601,2.264946589115496,3.7749109818591604
2016-09-26 14:00:00,239.9500831251492,69.86552688151707,2.4147679588235254,4.024613264705875
2016-09-26 15:00:00,259.21614819359183,75.47516772601844,2.6086544372692098,4.347757395448683
2016-09-26 16:00:00,271.9142365341563,79.17243100989435,2.736443252608411,4.560738754347352
2016-09-26 17:00:00,293.8074922937502,85.5470228786459,2.956768796296689,4.927947993827815
2016-09-26 18:00:00,296.43468298490143,86.3119739028961,2.9832078615392823,4.97201310256547
2016-09-26 19:00:00,271.4763714189644,79.04493917251932,2.7320367417346456,4.553394569557743
2016-09-26 20:00:00,203.16941344903145,59.156212542014465,2.0446210454272187,3.407701742378698
2016-09-26 21:00:00,128.73234386641215,37.48260018825916,1.2955141968870738,2.1591903281451232
2016-09-26 22:00:00,117.3478508714233,34.16781241650835,1.1809449141691692,1.9682415236152824
2016-09-26 23:00:00,124.79155782968525,36.33517365188388,1.2558555990231837,2.0930926650386397
2016-09-27 00:00:00,128.73234386641215,37.48260018825916,1.2955141968870738,2.1591903281451232
2016-09-27 01:00:00,154.1285205475411,44.877126756010966,1.5510918275654761,2.5851530459424605
2016-09-27 02:00:00,236.885027318806,68.97308401989186,2.383922382707166,3.9732039711786107
2016-09-27 03:00:00,407.6524222436385,118.69490059615401,4.102461623475734,6.837436039126223
2016-09-27 04:00:00,472.8943244072284,137.69118436503365,4.759031743666802,7.931719572778004
2016-09-27 05:00:00,453.1903942235938,131.95405168315725,4.560738754347351,7.601231257245587
