,SI_P2HT_OTH,SI_STUR_BIO_CHP,SI_COMC_GAS_CHP
2016-03-28 21:00:00,382.4924418448254,216.7236430401176,13.453829392503927
2016-03-28 22:00:00,289.1492652936338,163.83456325192623,10.170566679606758
2016-03-28 23:00:00,236.84489912270743,134.19844095681896,8.330807400828169
2016-03-29 00:00:00,256.6937355157769,145.4449694175263,9.02897246046722
2016-03-29 01:00:00,283.51648739830324,160.64298085091465,9.972438757276754
2016-03-29 02:00:00,367.47170079061067,208.21275663742014,12.92548826629059
2016-03-29 03:00:00,537.5279477258275,304.5681491251022,18.907064588063022
2016-03-29 04:00:00,612.8998805157265,347.2745612529234,21.558204882097808
2016-03-29 05:00:00,579.1032131437433,328.12506684685405,20.369437348117795
2016-03-29 06:00:00,538.064402763478,304.87210935376993,18.925933913999213
2016-03-29 07:00:00,507.7546931362233,287.6983564340411,17.859816998604444
2016-03-29 08:00:00,476.6403009524928,270.0686631713106,16.765396094305384
2016-03-29 09:00:00,460.01019478532646,260.64589608260985,16.180446990283475
2016-03-29 10:00:00,447.6717289193644,253.6548108232512,15.746452493751088
2016-03-29 11:00:00,436.67440064752856,247.42362613556205,15.359631312059182
2016-03-29 12:00:00,444.72122621228647,251.9830295655785,15.64267120110204
2016-03-29 13:00:00,451.69514170174324,255.93451253825947,15.887972438272518
2016-03-29 14:00:00,478.78612110309496,271.2845040859817,16.84087339805015
2016-03-29 15:00:00,508.02292065504855,287.85033654837497,17.869251661572537
2016-03-29 16:00:00,519.82493148336,294.53746157906585,18.284376832168732
2016-03-29 17:00:00,525.725936897516,297.8810240944113,18.49193941746683
2016-03-29 18:00:00,517.6791113327581,293.32162066439486,18.20889952842397
2016-03-29 19:00:00,465.1065176430065,263.53351825495366,16.359705586677286
2016-03-29 20:00:00,358.88842018820225,203.3493929787359,12.62357905131154
2016-03-29 21:00:00,270.37333897586535,153.19595524855438,9.510140271840083
2016-03-29 22:00:00,259.91246574168,147.26873078953292,9.142188416084366
2016-03-29 23:00:00,276.81079942767167,156.84347799256759,9.73657218307437
2016-03-30 00:00:00,281.6388947665264,159.5791200505775,9.906396116500087
2016-03-30 01:00:00,315.1673346196843,178.5766343423129,11.085728987512002
2016-03-30 02:00:00,396.97672786138963,224.9305692141473,13.963301192781074
2016-03-30 03:00:00,563.8142445707033,319.46220032982274,19.831661558936368
2016-03-30 04:00:00,678.3473951090907,384.35770915039086,23.860262646313064
2016-03-30 05:00:00,653.4022358583413,370.22355851733977,22.9828389902802
2016-03-30 06:00:00,615.8503832228045,348.9463425105961,21.661986174746858
2016-03-30 07:00:00,578.0303030684422,327.51714638951853,20.331698696245418
2016-03-30 08:00:00,543.9654081776339,308.21567186911534,19.133496499297312
2016-03-30 09:00:00,517.6791113327581,293.32162066439486,18.20889952842397
2016-03-30 10:00:00,506.68178306092227,287.0904359767056,17.82207834673206
2016-03-30 11:00:00,495.95268230791174,281.0112314033502,17.44469182800825
2016-03-30 12:00:00,500.24432260911595,283.4429132326924,17.595646435497773
2016-03-30 13:00:00,510.1687408056507,289.066177463046,17.9447289653173
2016-03-30 14:00:00,537.7961752446528,304.720129239436,18.916499251031116
2016-03-30 15:00:00,564.8871546460043,320.07012078715826,19.869400210808745
2016-03-30 16:00:00,578.5667581060927,327.82110661818626,20.350568022181605
2016-03-30 17:00:00,582.0537158508213,329.7968481045268,20.47321864076685
2016-03-30 18:00:00,565.9600647213055,320.6780412444938,19.907138862681126
2016-03-30 19:00:00,507.7546931362233,287.6983564340411,17.859816998604444
2016-03-30 20:00:00,385.4429445519033,218.3954242977903,13.557610685152975
2016-03-30 21:00:00,293.9773606324885,166.5702053099361,10.340390613032472
2016-03-30 22:00:00,262.5947409299327,148.78853193287176,9.236535045765319
2016-03-30 23:00:00,278.9566195782738,158.05931890723863,9.812049486819133
2016-03-31 00:00:00,283.51648739830324,160.64298085091465,9.972438757276754
2016-03-31 01:00:00,316.7766997326359,179.48851502831621,11.142336965320574
2016-03-31 02:00:00,399.6590030496422,226.45037035748615,14.057647822462028
2016-03-31 03:00:00,568.642339909558,322.1978423878326,20.00148549236208
2016-03-31 04:00:00,685.5895381173729,388.4611722374057,24.114998546451638
2016-03-31 05:00:00,660.9126063854487,374.4790017186885,23.24700955338687
2016-03-31 06:00:00,626.5794839758149,355.0255470839514,22.039372693470668
2016-03-31 07:00:00,585.2724460767245,331.6206094765334,20.586434596383988
2016-03-31 08:00:00,549.0617310353139,311.1032940414592,19.312755095691124
2016-03-31 09:00:00,524.3847993033896,297.1211235227418,18.44476610262635
2016-03-31 10:00:00,511.7781059186023,289.9780581490494,18.001336943125875
2016-03-31 11:00:00,502.390142759718,284.6587541473634,17.671123739242535
2016-03-31 12:00:00,507.48646561739804,287.5463763197072,17.850382335636343
