,HE Vrutok,HE Tikvesh,HE Shpilje,HE Kozjak,HE Globochica,HDAM,HROR
2010-01-07 18:00:00+00:00,0.622511529,0.677477336,0.763196818,0.931531255,0.376784182,0.845638822,0.913953
2010-01-07 19:00:00+00:00,0.62300348,0.678477567,0.765531001,0.932358557,0.38593655,0.847682526,0.9138008
2010-01-07 20:00:00+00:00,0.623132323,0.678407257,0.766316625,0.932432812,0.381985465,0.846899193,0.9136486
2010-01-07 21:00:00+00:00,0.623260521,0.67833571,0.767094987,0.932507314,0.378041846,0.846117234,0.9134964
2010-01-07 22:00:00+00:00,0.623388072,0.678262927,0.767866084,0.932582062,0.374105694,0.845336649,0.9133442
2010-01-07 23:00:00+00:00,0.623561958,0.679075841,0.768629914,0.932840132,0.370177007,0.844570594,0.913192
2010-01-08 00:00:00+00:00,0.623686601,0.678998582,0.769393041,0.932914018,0.366255787,0.843792304,0.9122499
2010-01-08 01:00:00+00:00,0.623808982,0.678918082,0.770155467,0.932986794,0.362342032,0.843014535,0.9113079
2010-01-08 02:00:00+00:00,0.623956872,0.679795843,0.770917192,0.933166683,0.358435744,0.842246265,0.9103659
2010-01-08 03:00:00+00:00,0.624074728,0.679708861,0.771678214,0.933237241,0.354536922,0.841468146,0.9094239
2010-01-08 04:00:00+00:00,0.624366688,0.680462825,0.77265872,0.934059983,0.354391543,0.841524639,0.9084819
2010-01-08 05:00:00+00:00,0.624556237,0.681142806,0.773418338,0.934425325,0.350507653,0.840772297,0.9075398
2010-01-08 06:00:00+00:00,0.625029768,0.682115398,0.774194622,0.935245848,0.350377206,0.840880147,0.9065978
2010-01-08 07:00:00+00:00,0.625138575,0.682899262,0.774952837,0.935311968,0.346508248,0.840108307,0.9056558
2010-01-08 08:00:00+00:00,0.625245119,0.682796057,0.77571035,0.935376978,0.342646756,0.839329308,0.9047138
2010-01-08 09:00:00+00:00,0.625349401,0.682689605,0.776467161,0.935440878,0.338792731,0.838550132,0.9037718
2010-01-08 10:00:00+00:00,0.625451421,0.683389508,0.77722327,0.935503669,0.334946171,0.837798315,0.9028297
2010-01-08 11:00:00+00:00,0.625551178,0.683276559,0.777978677,0.935565349,0.331107078,0.837018784,0.9018877
2010-01-08 12:00:00+00:00,0.625648673,0.683699294,0.778733381,0.935625919,0.327275451,0.836262927,0.9009457
2010-01-08 13:00:00+00:00,0.625743906,0.683579843,0.779487384,0.935685379,0.323451289,0.835483039,0.8998808
2010-01-08 14:00:00+00:00,0.626199339,0.684526445,0.780856481,0.936497023,0.332745513,0.837559634,0.8987543
2010-01-08 15:00:00+00:00,0.626290047,0.684400489,0.781609079,0.936554262,0.328936284,0.836779389,0.8976278
2010-01-08 16:00:00+00:00,0.626378493,0.684271279,0.782360976,0.936610391,0.325134521,0.835998965,0.8965013
2010-01-08 17:00:00+00:00,0.626464677,0.684138813,0.783112171,0.936665409,0.321340225,0.835218361,0.8953748
2010-01-08 18:00:00+00:00,0.626548598,0.684003092,0.783862663,0.936719317,0.317553394,0.834437577,0.8942484
2010-01-08 19:00:00+00:00,0.626630257,0.683864113,0.784612453,0.936772113,0.313774029,0.833656613,0.8931219
2010-01-08 20:00:00+00:00,0.627016539,0.684045775,0.785361541,0.937577093,0.310002131,0.833062825,0.8919954
2010-01-08 21:00:00+00:00,0.627093673,0.683900279,0.786109927,0.937627668,0.306237698,0.832281499,0.8908689
2010-01-08 22:00:00+00:00,0.627168546,0.684255441,0.786857611,0.937677131,0.302480732,0.831555607,0.8896404
2010-01-08 23:00:00+00:00,0.627241155,0.68479088,0.787604592,0.937725484,0.298731232,0.830798508,0.8881026
2010-01-09 00:00:00+00:00,0.627313726,0.685702101,0.788352126,0.937776061,0.294989198,0.830042953,0.8871797
2010-01-09 01:00:00+00:00,0.627384314,0.686614794,0.789100212,0.938552556,0.29125463,0.829288398,0.8862568
2010-01-09 02:00:00+00:00,0.627816354,0.687525189,0.789993249,0.939349522,0.300638447,0.831363525,0.885334
2010-01-09 03:00:00+00:00,0.62788492,0.687363978,0.79074244,0.939391633,0.296918811,0.830583814,0.8844111
2010-01-09 04:00:00+00:00,0.627952476,0.687200469,0.791492183,0.939432183,0.293206641,0.829804597,0.8834883
2010-01-09 05:00:00+00:00,0.628019021,0.687034659,0.792242478,0.939471173,0.289501937,0.829025874,0.8825654
2010-01-09 06:00:00+00:00,0.628447018,0.687935854,0.794534622,0.940261895,0.298915619,0.83119152,0.8816426
2010-01-09 07:00:00+00:00,0.628511541,0.687765442,0.795286022,0.940297762,0.295225847,0.830413784,0.8807197
2010-01-09 08:00:00+00:00,0.628575054,0.687592729,0.796037974,0.940332068,0.291543542,0.829636541,0.8797969
2010-01-09 09:00:00+00:00,0.628637556,0.687417713,0.796790478,0.940364811,0.287868703,0.828859791,0.878874
2010-01-09 10:00:00+00:00,0.628699047,0.688023554,0.797543535,0.940395993,0.28420133,0.828211453,0.8779512
2010-01-09 11:00:00+00:00,0.628759527,0.688233018,0.798297143,0.940425613,0.280541423,0.827469616,0.8770283
2010-01-09 12:00:00+00:00,0.628818996,0.688051093,0.799051304,0.94045367,0.276888982,0.826694344,0.8761055
2010-01-09 13:00:00+00:00,0.628877455,0.687866864,0.799806017,0.940480165,0.273244007,0.825919565,0.8751826
2010-01-09 14:00:00+00:00,0.628934903,0.68768033,0.800561282,0.940505096,0.269606498,0.825145278,0.8742597
2010-01-09 15:00:00+00:00,0.629047261,0.688343725,0.801317099,0.940746377,0.265976455,0.824530642,0.8733369
2010-01-09 16:00:00+00:00,0.629102687,0.68815258,0.802073469,0.940768183,0.262353879,0.823757339,0.872414
2010-01-09 17:00:00+00:00,0.629157103,0.687959129,0.80283039,0.940788425,0.258738768,0.822984528,0.8714912
2010-01-09 18:00:00+00:00,0.629210507,0.687763371,0.803587864,0.940807104,0.255131124,0.822212209,0.8705683
2010-01-09 19:00:00+00:00,0.629625363,0.688480103,0.80434589,0.941577513,0.251530946,0.821697851,0.8696455
2010-01-09 20:00:00+00:00,0.630039208,0.68827973,0.805223992,0.942346359,0.261049152,0.823754924,0.8687226
2010-01-09 21:00:00+00:00,0.63008958,0.688077048,0.805983122,0.942360346,0.257463906,0.822984078,0.8677998
2010-01-09 22:00:00+00:00,0.630501404,0.688941363,0.808284101,0.943126062,0.266997045,0.825167312,0.8668769
2010-01-09 23:00:00+00:00,0.630549754,0.688734063,0.809044335,0.94313692,0.263426731,0.824397448,0.8659541
2010-01-10 00:00:00+00:00,0.630597677,0.68946536,0.809801818,0.943146702,0.259863883,0.823715595,0.8654439
2010-01-10 01:00:00+00:00,0.630645173,0.689256421,0.81055655,0.943155407,0.256308502,0.822948046,0.8649336
2010-01-10 02:00:00+00:00,0.63069224,0.689046662,0.811308531,0.943163036,0.252760586,0.822181655,0.8644234
2010-01-10 03:00:00+00:00,0.631101342,0.689905389,0.812938138,0.943922882,0.262331056,0.824377193,0.8639132
2010-01-10 04:00:00+00:00,0.631510017,0.690763296,0.813962408,0.944681651,0.271908991,0.826486202,0.863403
2010-01-10 05:00:00+00:00,0.631918264,0.691620384,0.816247429,0.945439344,0.281494393,0.828596646,0.8628928
2010-01-10 06:00:00+00:00,0.632308134,0.692235442,0.816988401,0.946126015,0.277976342,0.827976582,0.8623826
2010-01-10 07:00:00+00:00,0.632353063,0.692021584,0.81772662,0.946128259,0.274465757,0.82721598,0.8618724
2010-01-10 08:00:00+00:00,0.632760027,0.692876212,0.818465695,0.94688272,0.275332944,0.827558291,0.8613622
2010-01-10 09:00:00+00:00,0.632804101,0.692660714,0.819198407,0.946882811,0.271837291,0.826800004,0.860852
2010-01-10 10:00:00+00:00,0.632847748,0.692444396,0.819928366,0.946881823,0.268349104,0.826042874,0.8603418
2010-01-10 11:00:00+00:00,0.633253429,0.692227257,0.820910702,0.947633053,0.277979302,0.828115313,0.8598316
2010-01-10 12:00:00+00:00,0.633518531,0.692329938,0.821635153,0.948383204,0.274506048,0.827523154,0.8593214
2010-01-10 13:00:00+00:00,0.633560895,0.692111159,0.822356848,0.948378985,0.271040259,0.826769497,0.8588112
2010-01-10 14:00:00+00:00,0.633602831,0.69189156,0.823075789,0.948373687,0.267581937,0.826016999,0.858301
2010-01-10 15:00:00+00:00,0.633644339,0.69167114,0.823791975,0.948367312,0.26413108,0.825265657,0.8577908
2010-01-10 16:00:00+00:00,0.63368542,0.692027802,0.824505405,0.948359859,0.26068769,0.82469644,0.8572806
