,CZ_P2HT_OTH,CZ_STUR_BIO_CHP,CZ_COMC_GAS_CHP,CZ_GTUR_GAS_CHP
2016-11-10 05:00:00,6098.33850226702,3414.1078858616293,326.57409867772594,244.86040673155406
2016-11-10 06:00:00,5950.25050672674,3331.2019610449665,318.6437905043473,238.91437949699275
2016-11-10 07:00:00,5693.635929617231,3187.53826461176,304.9017402400088,228.61079439739197
2016-11-10 08:00:00,5302.833313227542,2968.7504269186907,283.9737428582768,212.91929292279167
2016-11-10 09:00:00,4954.79979302277,2773.906538631155,265.3360871872678,198.94505563145813
2016-11-10 10:00:00,4665.039166369949,2611.686281408659,249.81902209711896,187.31059078982557
2016-11-10 11:00:00,4563.99717663308,2555.118700938084,244.4080898055357,183.25355415685777
2016-11-10 12:00:00,4489.151258309474,2513.2167894783993,240.39999181177035,180.2483418361409
2016-11-10 13:00:00,4519.624239341228,2530.2768534298425,242.03186028066054,181.4718925667185
2016-11-10 14:00:00,4626.546979803523,2590.1367269436782,247.7577145574682,185.76505302488547
2016-11-10 15:00:00,4877.815419889917,2730.8074297011926,261.21347210796625,195.8539801015779
2016-11-10 16:00:00,5103.957015967671,2857.4110621829554,273.3236539034145,204.93401447060106
2016-11-10 17:00:00,5265.9449677680495,2948.0987705564166,281.99832313277807,211.43815256472402
2016-11-10 18:00:00,5304.437154334476,2969.6483250213973,284.05963067242885,212.98369032966414
2016-11-10 19:00:00,5152.606862878018,2884.6473046317515,275.928917599362,206.88740247906708
2016-11-10 20:00:00,4643.654618277491,2599.7143067058923,248.6738512417575,186.45195869819221
2016-11-10 21:00:00,3535.400413385798,1979.2667177349833,189.32537166264586,141.9533505492914
2016-11-10 22:00:00,2714.768380337681,1519.842188516293,145.37944008814694,109.00334403285977
2016-11-10 23:00:00,2657.564714190353,1487.8171561863905,142.31610805005482,106.70650318774042
2016-11-11 00:00:00,2814.7411426699273,1575.8111702517294,150.7331138369621,113.0174490612459
2016-11-11 01:00:00,2874.617877328813,1609.3326994194779,153.93959223197444,115.42161891781943
2016-11-11 02:00:00,3235.4821263890594,1811.3597725286736,173.26435041620033,129.911035464133
2016-11-11 03:00:00,4041.1449757724554,2262.403919455427,216.40866239194617,162.25999951642123
2016-11-11 04:00:00,5505.451906403591,3082.184887227409,294.8242367128273,221.0548319910181
2016-11-11 05:00:00,6620.121475723021,3706.224068609148,354.5162675485473,265.8110297674089
2016-11-11 06:00:00,6462.945047243447,3618.230054543809,346.09926176164004,259.5000838939034
2016-11-11 07:00:00,6257.653385555839,3503.299097397244,335.1056215501693,251.2572158142228
2016-11-11 08:00:00,5780.777963094002,3236.3240615255368,309.5683114756071,232.10972017079808
2016-11-11 09:00:00,5387.836891895066,3016.33902636219,288.5257970083389,216.33235548703442
2016-11-11 10:00:00,5112.510835204656,2862.1998520640627,273.78172224555914,205.27746730725443
2016-11-11 11:00:00,4977.253568519852,2786.4771120690602,266.5385165853974,199.8466193276732
2016-11-11 12:00:00,4932.880631227999,2761.6352645608185,264.16228706052226,198.06495773753392
2016-11-11 13:00:00,4985.807387756836,2791.265901950167,266.996584927542,200.19007216432655
2016-11-11 14:00:00,5095.403196730689,2852.6222723018486,272.8655855612699,204.59056163394771
2016-11-11 15:00:00,5331.702453152362,2984.912592767426,285.51972351301487,214.07844624649675
2016-11-11 16:00:00,5587.247802857248,3127.977690465494,299.20451523458524,224.33909974151587
2016-11-11 17:00:00,5675.459063738641,3177.3620861144086,303.9283450129515,227.88095711950362
2016-11-11 18:00:00,5715.555091412002,3199.809538682097,306.0755403667544,229.49089229131624
2016-11-11 19:00:00,5560.517117741674,3113.012722087035,297.77305166538326,223.2658096269741
2016-11-11 20:00:00,5005.053481040049,2802.040679182657,268.02723869736735,200.9628410467966
2016-11-11 21:00:00,3793.08421789993,2123.529012903328,203.12468046975235,152.29986725347382
2016-11-11 22:00:00,2947.8599545454845,1650.336712776455,157.86180241158766,118.3624338316638
2016-11-11 23:00:00,2933.959998285387,1642.5549292196565,157.1174413556027,117.8043229721021
2016-11-12 00:00:00,3111.986361155108,1742.2216186201933,166.65098872648747,124.95243513495012
2016-11-12 01:00:00,3177.209232837108,1778.7361414636327,170.14375983534012,127.57126301443196
2016-11-12 02:00:00,3573.3579862499137,2000.5169728323951,191.35804993091259,143.47742251194066
2016-11-12 03:00:00,4453.332140254604,2493.163731851264,238.48183062903976,178.81013308265494
2016-11-12 04:00:00,6049.154041654363,3386.5723440452643,323.94020571039437,242.8855529207972
2016-11-12 05:00:00,7263.79637330604,4066.580507162441,388.9859102949296,291.6558557255742
2016-11-12 06:00:00,7091.116147459433,3969.9068114375955,379.7386556378852,284.7224015856345
2016-11-12 07:00:00,6872.459143214039,3847.4933701018012,368.0292836418135,275.94288844868305
2016-11-12 08:00:00,6346.399260139544,3552.982792413729,339.85808059991973,254.82053899450148
2016-11-12 09:00:00,5920.8467530996095,3314.7404958286616,317.06918057822514,237.73376037099683
2016-11-12 10:00:00,5620.393852400559,3146.5342512547827,300.9795300603956,225.66997948354762
2016-11-12 11:00:00,5479.255834990329,3067.5192182165197,293.4214024150094,220.00300767876718
2016-11-12 12:00:00,5424.725237354558,3036.990682724463,290.50121673383757,217.81349584510204
2016-11-12 13:00:00,5490.4827227388705,3073.8045049354723,294.02261711407425,220.45378952687471
2016-11-12 14:00:00,5611.840033163576,3141.7454613736763,300.52146171825103,225.32652664689428
2016-11-12 15:00:00,5868.454610273084,3285.409157806882,314.26351198258936,235.630111746495
2016-11-12 16:00:00,6150.196031391233,3443.13992451584,329.35113800197763,246.94258955376503
2016-11-12 17:00:00,6240.545747081873,3493.721517635031,334.1894848658801,250.57031014091612
2016-11-12 18:00:00,6276.899478839053,3514.073874629735,336.1362753199947,252.0299846966929
2016-11-12 19:00:00,6104.219252992445,3417.4001789048903,326.8890206629504,245.09653055675324
2016-11-12 20:00:00,5492.621177548117,3075.0017024057493,294.1371341996104,220.53965273603808
2016-11-12 21:00:00,4161.433058792538,2329.746277158492,222.8502484533548,167.08980503185907
2016-11-12 22:00:00,3249.916696351469,1819.4408554530419,174.0373407435694,130.49061212598556
2016-11-12 23:00:00,3210.3552823804202,1797.292702252922,171.9187746611505,128.90214275646375
2016-11-13 00:00:00,3406.5585111287323,1907.135570150811,182.4257172590926,136.78009219720016
2016-11-13 01:00:00,3478.731360940782,1947.5409847726503,186.29066889593778,139.67797550646287
2016-11-13 02:00:00,3909.0953913015205,2188.4769756658397,209.3372323600887,156.95794635058502
2016-11-13 03:00:00,4873.003896569114,2728.11373539307,260.9558086655099,195.66078788096038
2016-11-13 04:00:00,6616.913793509153,3704.4282724037334,354.3444919202432,265.68223495366396
2016-11-13 05:00:00,7939.0134793254365,4444.595608402314,425.14468005297005,318.7671640188987
2016-11-13 06:00:00,7753.502524623353,4340.738727855808,415.21032288270874,311.318530623979
2016-11-13 07:00:00,7507.045607857763,4202.761719406417,402.01222877466705,301.42279576790406
2016-11-13 08:00:00,6935.0089463844815,3882.5113961073944,371.3789083937459,278.45438731671067
2016-11-13 09:00:00,6471.498866480431,3623.0188444249166,346.5573301037847,259.8435367305568
2016-11-13 10:00:00,6143.246053261184,3439.249032737441,328.9789574739852,246.66353412398422
2016-11-13 11:00:00,5984.465783674676,3350.3571205693943,320.47606387292575,240.28819084360623
2016-11-13 12:00:00,5926.192890122724,3317.7334895043537,317.35547329206554,237.9484183939052
2016-11-13 13:00:00,5991.415761804724,3354.248012347794,320.84824440091825,240.5672462733871
2016-11-13 14:00:00,6122.930732573348,3427.875656769811,327.8910451613916,245.84783363693242
2016-11-13 15:00:00,6398.79140296607,3582.314130435508,342.6637491955555,256.9241876190033
2016-11-13 16:00:00,6704.590440688235,3753.513368685078,359.03969242722536,269.2026265293608
2016-11-13 17:00:00,6802.959361913547,3808.584452317808,364.30747836188857,273.1523341508745
2016-11-13 18:00:00,6844.12461699153,3831.6305036206345,366.51193225845947,274.8052009272688
2016-11-13 19:00:00,6657.544434884824,3727.17502433899,356.52031654543,267.31363592776734
2016-11-13 20:00:00,5987.673465888544,3352.152916774809,320.64783950122995,240.4169856573512
2016-11-13 21:00:00,4547.958765563736,2546.1397199110093,243.54921166401456,182.60958008813276
2016-11-13 22:00:00,3551.973438157454,1988.5449981296279,190.21287907555106,142.61879042030728
2016-11-13 23:00:00,3720.3767543855693,2082.824298913919,199.2310995615231,149.38051814192025
2016-11-14 00:00:00,3904.818481683029,2186.082580725286,209.10819818901638,156.78621993225832
2016-11-14 01:00:00,3999.4451069921606,2239.058568785031,214.17557922399118,160.5856669377361
2016-11-14 02:00:00,4344.805558685374,2432.405960234721,232.67008853808,174.45257521761548
2016-11-14 03:00:00,5177.199093184346,2898.4150755399332,277.2458640830278,207.87482938444546
2016-11-14 04:00:00,7053.693188297629,3948.9558557077526,377.7346066410025,283.219795425276
2016-11-14 05:00:00,8553.819236983634,4788.789881106871,458.06834214461423,343.4528366533589
2016-11-14 06:00:00,8322.331503882764,4659.193254949415,445.67186763532555,334.1581442614273
2016-11-14 07:00:00,8071.0630637963695,4518.522552191901,432.21611008482756,324.0692171847349
2016-11-14 08:00:00,7640.6990334356315,4277.586561298712,409.16954662067667,306.7892463406128
2016-11-14 09:00:00,7252.034871855187,4059.995921075919,388.3560663244808,291.18360807517587
2016-11-14 10:00:00,6927.524354552121,3878.3212049614267,370.97809859436944,278.15386608463905
2016-11-14 11:00:00,6721.163465459891,3762.7916490797234,359.92719984013064,269.86806640037673
2016-11-14 12:00:00,6647.921388243218,3721.787635722746,356.0049896605174,266.9272514865324
2016-11-14 13:00:00,6728.648057292252,3766.981840225691,360.3280096395071,270.1685876324484
2016-11-14 14:00:00,6852.678436228514,3836.4192935017413,366.97000060060407,275.14865376392214
2016-11-14 15:00:00,7140.8352217743995,3997.7416526215297,382.4011778766008,286.7187211986822
2016-11-14 16:00:00,7361.630680829041,4121.3522914276,394.22506695820863,295.584097544797
2016-11-14 17:00:00,7437.011212854959,4163.553502254855,398.26179422335804,298.6107756678047
2016-11-14 18:00:00,7393.707502967729,4139.310253481751,395.94282324125095,296.87204568224706
2016-11-14 19:00:00,7169.7043616992205,4013.903818470265,383.94715853133886,287.87787452238723
2016-11-14 20:00:00,6482.725754228972,3629.304131143869,347.1585448028495,260.29431857866433
2016-11-14 21:00:00,5061.722533485066,2833.7664121449907,271.0619414640755,203.23821608962513
2016-11-14 22:00:00,4059.3218416510454,2272.5800979527794,217.38205761900352,162.98983679430964
2016-11-14 23:00:00,3454.673744336765,1934.0725132320372,185.00235168365606,138.71201440337532
2016-11-15 00:00:00,3611.850172816339,2022.0665272973763,193.4193574705634,145.0229602768808
2016-11-15 01:00:00,3709.149866637029,2076.5390121949667,198.62988486245837,148.92973629381277
2016-11-15 02:00:00,4127.752395546915,2310.8904170016344,221.0466043561604,165.7374594875365
2016-11-15 03:00:00,5113.045448906967,2862.499151431632,273.8103515169432,205.2989331095453
2016-11-15 04:00:00,7120.519901086564,3986.3682766539,381.3132655640073,285.9030207116304
2016-11-15 05:00:00,8469.35027201842,4741.50058103094,453.5449172659362,340.061239891407
2016-11-15 06:00:00,8135.216708073747,4554.438476300203,435.65162265091215,326.6451134596351
2016-11-15 07:00:00,7789.321642678222,4360.791785482943,417.1284840654393,312.7567393774649
2016-11-15 08:00:00,7292.130899528548,4082.4433736436067,390.5032616782836,292.7935432469884
2016-11-15 09:00:00,6788.524791951137,3800.50336939344,363.5344880345195,272.57275748902197
2016-11-15 10:00:00,6590.183108393579,3689.4633040252743,352.91302835104125,264.60894483912216
2016-11-15 11:00:00,6379.545309682857,3571.5393532030175,341.6330954257301,256.15141873653323
2016-11-15 12:00:00,6131.484551810331,3432.664446650919,328.34911350353633,246.19128647358585
