ID,Name,Fuel,Fuel (detailed),Technology,Country,Model_Node,Province,Pmin,Pmax,Heat_Rate,IC,Status,Year_Built,Year_End,Fuel info Source,comments
232,Rabigh Gas Turbine Power Plant,Oil,Crude,GT,Saudi Arabia,WOA,Makkah,0,1680,3274.328859,,Active,2000,2100,,
233,Rabigh IPP Power Plant,Oil,HFO_ipp,ST,Saudi Arabia,WOA,Makkah,0,1204,2236.42638,,Active,2012,2100,,
234,Rabigh IWSPP Power Plant,Oil,HFO_ipp,ST,Saudi Arabia,WOA,Makkah,0,590,2299.163507,,Active,2008,2100,,
235,Rabigh Power Plant Extension Project Stage VII,Oil,Crude,GT,Saudi Arabia,WOA,Makkah,0,720,2855.739443,,Permitting,2017,2100,,
303,Hamriyah Desalination Power Plant,Gas,Gas,GT,United Arab Emirates,UAE,Sharjah,0,440,3058.89281,,Active,2006,2100,,
38,Shuwaikh Emergency Power Plant,Gas,Gas,GT,Kuwait,KUW,,0,252,3058.89281,,Active,2007,2100,,
134,Qatalum IC Power Plant,Oil,Crude,GT,Qatar ,QAT,Al Wakrah,0,13.3,2913.586366,,Active,2007,2100,,
138,Ras Abu Fontas B2 Cogeneration Plant,Gas,Gas,CC,Qatar ,QAT,Al Wakrah,0,567,1860.898697,,Active,2007,2100,,
236,Rabigh Steam Turbine Power Plant,Oil,HFO,ST,Saudi Arabia,WOA,Makkah,0,1560,2457.182317,,Active,1985,2100,,
304,Hamriyah Oil Fired Power Plant,Oil,Crude,GT,United Arab Emirates,UAE,Sharjah,0,20,2913.586366,,Active,2007,2100,,
335,Umm Sas Al Nakhl Combined Cycle Power Plant,Gas,Gas,CC,United Arab Emirates,UAE,Abu Dhabi,0,1691,1860.898697,,Active,2007,2100,,
25,Az Zour South Gas Fired Power Plant,Gas,Gas,CC,Kuwait,KUW,Al Ahmadi ,0,825,1860.898697,,Active,2008,2100,,
27,Az Zour South II Power Plant,Gas,Gas,CC,Kuwait,KUW,Al Ahmadi ,0,1560,1860.898697,,Active,2008,2100,,
29,Doha West Power Plant II,Gas,Gas,GT,Kuwait,KUW,,0,84.6,3058.89281,,Active,2008,2100,,
39,Subiya Emergency Power Plant,Gas,Gas,GT,Kuwait,KUW,,0,300,3058.89281,,Active,2008,2100,,
237,Rafha Gas Turbine Power Plant,Oil,Diesel,GT,Saudi Arabia,NEOA,Northern Borders,0,176,3002.998506,,Active,2006,2100,,
162,Rafha Power Plant,Oil,Diesel,DG,Saudi Arabia,NEOA,Northern Borders,0,58.9,2476.989981,,Active,1981,2100,,
291,Al Zawra Power Station,Gas,Gas,GT,United Arab Emirates,UAE,Ajman,0,200,3058.89281,,Active,2008,2100,,
292,"Aweer ""H"" Power Station",Gas,Gas,GT,United Arab Emirates,UAE,Dubai,0,1821,3058.89281,,Active,2008,2100,,
316,Khorfakkan Oil Fired Power Plant,Oil,Crude,GT,United Arab Emirates,UAE,Sharjah,0,6,2913.586366,,Active,2008,2100,,
317,Khorfakkan Power Plant,Gas,Gas,GT,United Arab Emirates,UAE,Sharjah,0,146,3058.89281,,Active,2008,2100,,
131,Mesaieed A Combined Cycle Power Plant,Gas,Gas,CC,Qatar ,QAT,Al Wakrah,0,2010,1860.898697,,Active,2009,2100,,
238,Ras Al-Khair IWPP,Gas,Gas_ipp,CC,Saudi Arabia,EOA,Eastern Province,0,2650,1593.693192,,Active,2014,2100,,
239,Ras Tanura Cogeneration Plant,Gas,Gas_ipp,GT,Saudi Arabia,EOA,Eastern Province,0,320,2491.302093,,Financed,2017,2100,,
240,Ras Tanura Refinery Cogeneration Plant,Gas,Gas_ipp,GT,Saudi Arabia,EOA,Eastern Province,0,148,3058.89281,,Active,2006,2100,,
241,Riyadh Cement Power Plant,Gas,Gas_ipp,GT,Saudi Arabia,RIYADH,Riyadh,0,97,3280.247904,,Active,2000,2100,,
287,Al Ghail Power Plant,Gas,Gas,GT,United Arab Emirates,UAE,Ras Al Khaimah,0,84,3058.89281,,Active,2009,2100,,
288,Al Hamra 1 Gas Fired Power Plant,Gas,Gas,GT,United Arab Emirates,UAE,Ras Al Khaimah,0,45,3058.89281,,Active,2009,2100,,
294,Banyan Tree Power Plant,Oil,Crude,GT,United Arab Emirates,UAE,Ras Al Khaimah,0,8,2913.586366,,Active,2009,2100,,
299,Fujairah F1 Gas Turbine Power Plant Desalination,Gas,Gas,GT,United Arab Emirates,UAE,Fujairah,0,220,3058.89281,,Active,2009,2100,,
328,Taweelah A10 Power Plant,Gas,Gas,GT,United Arab Emirates,UAE,Abu Dhabi,0,216.8,3058.89281,,Active,2009,2100,,
37,Shuaiba North Cogeneration Power Plant,Gas,Gas,CC,Kuwait,KUW,,0,875.5,1860.898697,,Active,2010,2100,,
242,Riyadh Combined Cycle Power Plant 12,Gas,Gas,CC,Saudi Arabia,RIYADH,Riyadh,0,2170,1593.693192,,Under Construction,2015,2100,,
243,Riyadh Combined Cycle Power Plant 13 (PP13),Gas,Gas,CC,Saudi Arabia,RIYADH,Riyadh,0,2000,1593.693192,,Under Construction,2017,2100,,
297,Emirates Aluminium Combined Cycle Power Plant,Gas,Gas,CC,United Arab Emirates,UAE,Abu Dhabi,0,1700,1860.898697,,Active,2010,2100,,
298,Emirates Aluminium Gas Turbine Power Plant,Gas,Gas,GT,United Arab Emirates,UAE,Abu Dhabi,0,500,3058.89281,,Active,2010,2100,,
244,Riyadh Combined Cycle Power Plant 14 (PP14),Gas,Gas,CC,Saudi Arabia,RIYADH,Riyadh,0,1755,1593.693192,,Under Construction,2017,2100,,
