,FI_P2HT_OTH,FI_STUR_BIO_CHP,FI_COMC_GAS_CHP
2016-03-10 21:00:00,2989.838556124071,3804.6734064250813,283.45205340009005
2016-03-10 22:00:00,2842.1965578900135,3616.7938357365597,269.45483355629074
2016-03-10 23:00:00,2903.508509423966,3694.815423564252,275.2675215105177
2016-03-11 00:00:00,2965.1728284954697,3773.285411321988,281.1136157173551
2016-03-11 01:00:00,3159.679709223871,4020.8021727063883,299.55386715835095
2016-03-11 02:00:00,3528.6085210402416,4490.276899462671,334.53021364154415
2016-03-11 03:00:00,4655.1275385922345,5923.811475813996,441.33000323731176
2016-03-11 04:00:00,5575.511546676627,7095.0320930894595,528.587135055937
2016-03-11 05:00:00,5379.59519579802,6845.721731984882,510.0132586044992
2016-03-11 06:00:00,5352.1105278690075,6810.746537441434,507.4075709008802
2016-03-11 07:00:00,5127.30003891118,6524.667382073231,486.09438173538143
2016-03-11 08:00:00,4907.422695479075,6244.8658257256475,465.2488801064296
2016-03-11 09:00:00,4729.829456553142,6018.872260983367,448.41212879073765
2016-03-11 10:00:00,4610.729228860751,5867.313084628427,437.1208154083888
2016-03-11 11:00:00,4509.599745583485,5738.622304705739,427.5332209091754
2016-03-11 12:00:00,4548.007807176593,5787.497897080558,431.1745024437199
2016-03-11 13:00:00,4597.339262433797,5850.273887286747,435.85137780918984
2016-03-11 14:00:00,4749.562038656024,6043.982657065843,450.2828789369257
2016-03-11 15:00:00,4855.272299921459,6178.502636079104,460.3047547200756
2016-03-11 16:00:00,4820.035546166314,6133.662643074685,456.9641294590257
2016-03-11 17:00:00,4766.828047996045,6065.954253638009,451.91978531484017
2016-03-11 18:00:00,4596.634527358694,5849.377087426657,435.7845653039688
2016-03-11 19:00:00,4170.97454199654,5307.709971933258,395.4298121504852
2016-03-11 20:00:00,3481.743638545899,4430.639708766793,330.08718204434774
2016-03-11 21:00:00,2950.72575945586,3754.9010141901754,279.74395936032465
2016-03-11 22:00:00,2819.2926679491693,3587.6478402836865,267.2834271366082
2016-03-11 23:00:00,2883.071192245982,3668.8082276216874,273.3299588591087
2016-03-12 00:00:00,2944.3831437799345,3746.829815449379,279.1426468133356
2016-03-12 01:00:00,3134.3092465201667,3988.517377743205,297.1486169703949
2016-03-12 02:00:00,3502.885690798986,4457.543704569444,332.09155720097766
2016-03-12 03:00:00,4621.300254987295,5880.765082529753,438.12300298670385
2016-03-12 04:00:00,5535.694014933314,7044.362900994466,524.8122285109506
2016-03-12 05:00:00,5338.720561442052,6793.707340099754,506.13813330168125
2016-03-12 06:00:00,5314.05483381345,6762.31934499666,503.79969561894626
2016-03-12 07:00:00,5092.415652693587,6480.275788998854,482.7871627269419
2016-03-12 08:00:00,4871.128839111275,6198.680632931094,461.8080360875481
2016-03-12 09:00:00,4695.2974378731,5974.929067839035,445.1383160349087
2016-03-12 10:00:00,4574.083004955401,5820.679491903828,433.6465651368968
2016-03-12 11:00:00,4475.067726903442,5694.679111561407,424.25940815334644
2016-03-12 12:00:00,4513.123420958999,5743.106304006182,427.86728343528046
2016-03-12 13:00:00,4561.045406065997,5804.088694492193,432.4105337903083
2016-03-12 14:00:00,4716.439490126188,6001.833063641688,447.1426911915387
