PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,RampUpMax,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Extendable,Investment,FixedCost,EconomicLifetime
366.0,MONTEYNARD,FR,HDAM,WAT,0.85,0,0,0.2459016393,0.2459016393,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,151524.0,0.0,0.0,0.86,,,,
360.0,AIGLE,FR,HDAM,WAT,0.85,0,0,0.25,0.25,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,149040.0,0.0,0.0,0.86,,,,
357.0,VILLARODIN,FR,HDAM,WAT,0.85,0,0,0.2521008403,0.2521008403,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,147798.0,0.0,0.0,0.86,,,,
348.0,DONZERE MONDRAGON,FR,HROR,WAT,1.0,0,0,0.632183908,0.632183908,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
320.0,COCHE,FR,HPHS,WAT,0.86,0,0,0.9375,0.9375,0.0,0,0,0.0,0.86,0.3,18000.0,0.0,,,11840.0,0.0,320.0,0.86,,,,
297.0,MALGOVERT,FR,HDAM,WAT,0.85,0,0,0.303030303,0.303030303,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,122958.0,0.0,0.0,0.86,,,,
295.0,MONTELIMAR,FR,HROR,WAT,1.0,0,0,0.7457627119,0.7457627119,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
293.0,CHASTANG,FR,HROR,WAT,1.0,0,0,0.7508532423000001,0.7508532423000001,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
285.0,VOUGLANS,FR,HDAM,WAT,0.85,0,0,0.3157894737,0.3157894737,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,117990.0,0.0,0.0,0.86,,,,
240.0,RANCE,FR,Other,Other,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
235.0,BORT,FR,HDAM,WAT,0.85,0,0,0.3829787234000001,0.3829787234000001,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,97290.0,0.0,0.0,0.86,,,,
214.0,SISTERON,FR,HDAM,WAT,0.85,0,0,0.4205607477,0.4205607477,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,88596.0,0.0,0.0,0.86,,,,
210.0,VALLABREGUES,FR,HROR,WAT,1.0,0,0,1.0476190476,1.0476190476,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
