,DK_P2HT_OTH,DK_STUR_BIO_CHP,DK_COMC_GAS_CHP,DK_ICEN_GAS_CHP
2016-04-18 22:00:00,1016.5181218592325,373.1115379682875,201.54820628914482,47.35646443443649
2016-04-18 23:00:00,1077.0026512372456,395.31229887380107,213.5406618511616,50.17425331859783
2016-04-19 00:00:00,1101.5744912970633,404.331357991666,218.41259692323092,51.318980052788376
2016-04-19 01:00:00,1244.847220261232,456.91941038660127,246.8197260357582,57.993617472145544
2016-04-19 02:00:00,1589.2310094072939,583.3249927923691,315.1017698919913,74.03740293133916
2016-04-19 03:00:00,2244.732096541511,823.9257391058726,445.0700070453484,104.57518996343767
2016-04-19 04:00:00,2719.5356521589133,998.201712214154,539.2107832071802,126.69483270410416
2016-04-19 05:00:00,2637.881537498596,968.2306849917106,523.0209681984575,122.89081771048635
2016-04-19 06:00:00,2510.107969187543,921.3315775788132,497.686905823697,116.93823869269552
2016-04-19 07:00:00,2318.447616720964,850.9829164594672,459.68581226155635,108.0093701660093
2016-04-19 08:00:00,2155.5174157089414,791.17961677024,427.3811350913736,100.4189513592997
2016-04-19 09:00:00,2039.4627249648788,748.5819067827858,404.3706109817538,95.01231893781512
2016-04-19 10:00:00,1981.624393747154,727.3524291668886,392.90282535057537,92.31780831733585
2016-04-19 11:00:00,1959.6987518476242,719.3046533386397,388.5555602093442,91.29635984682734
2016-04-19 12:00:00,1973.3077709576771,724.2998245423804,391.253862710798,91.93036234576365
2016-04-19 13:00:00,2020.5613095342499,741.6441689998128,400.6229686186236,94.13175991151469
2016-04-19 14:00:00,2119.226698082134,777.8591602269319,420.1856617541635,98.72827802880289
2016-04-19 15:00:00,2228.098850962557,817.8205298568562,441.7720817657937,103.80029802029328
2016-04-19 16:00:00,2283.6690123286066,838.2174789387968,452.7901503133966,106.38914155761651
2016-04-19 17:00:00,2322.605928115703,852.5092187717212,460.51029358144496,108.20309315179537
2016-04-19 18:00:00,2260.6092855032393,829.7534388435698,448.2180266303778,105.31485954553001
2016-04-19 19:00:00,2037.5725834218158,747.8881330044885,403.9958467454408,94.92426303518508
2016-04-19 20:00:00,1529.1245083378935,561.2629866425151,303.18426717723713,71.23722522770383
2016-04-19 21:00:00,1147.3159166391858,421.12068342646063,227.48189144200612,53.449932896435385
2016-04-19 22:00:00,794.2374763950345,291.52374164052515,157.47593209873307,37.001090285143576
2016-04-19 23:00:00,835.8205903424184,306.78676476306566,165.7207452976196,38.93832014300449
2016-04-20 00:00:00,867.1969399572627,318.3034094828009,171.94183162041583,40.40004812666319
2016-04-20 01:00:00,990.812196873577,363.6762145834443,196.45141267528768,46.15890415866792
2016-04-20 02:00:00,1328.769504773225,487.7229661430014,263.4592581280565,61.9032995489194
2016-04-20 03:00:00,2012.244686744773,738.5915643753048,398.9740059788463,93.74431393994253
2016-04-20 04:00:00,2493.852751917202,915.3651230854566,494.4639333914051,116.18095793007718
2016-04-20 05:00:00,2429.9659677616755,891.9155693790077,481.7969022040248,113.20466842118175
2016-04-20 06:00:00,2226.9647660367195,817.4042655898779,441.54722322400596,103.74746447871527
2016-04-20 07:00:00,2050.0475176060313,752.4670399412507,406.46929070510686,95.50543199254336
2016-04-20 08:00:00,1880.312807038982,690.1661546501532,372.81546228419717,87.5980119363656
2016-04-20 09:00:00,1749.893040567641,642.2957639476396,346.95672997859845,81.5221546548927
2016-04-20 10:00:00,1676.9335770054129,615.5160961053638,332.49083045691566,78.12319681337308
2016-04-20 11:00:00,1639.5087744527673,601.7793752950772,325.07049857791776,76.37968994129827
2016-04-20 12:00:00,1617.5831325532376,593.7315994668287,320.7232334366867,75.35824147078979
2016-04-20 13:00:00,1648.5814538594693,605.1094894309043,326.8693669122203,76.80235827392247
2016-04-20 14:00:00,1725.699228816436,633.4154595854342,342.15974775379175,80.39503910122818
2016-04-20 15:00:00,1820.2063059695815,668.1041485002992,360.897959569443,84.79783423273028
2016-04-20 16:00:00,1910.9331000366008,701.4052898585694,378.8866429124681,89.02451755897226
2016-04-20 17:00:00,2006.952290424197,736.6489977960723,397.92466611716986,93.49775741257841
