0,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK
2016-08-16 04:00:00,180.2289545,264.2305178,110.35900124999999,162.46099999999998,205.04590565,1584.5936367499999,111.21589455000002,31.30655625,185.23177299999998,810.73488744,302.550706,1210.0183584000001,46.59571619999999,122.54855320000001,104.48652299999999,678.9514072000001,45.77249285,13.1988534,22.8994728375,334.68452445,344.90294479999994,502.00324485,138.3822325,183.49020525,428.69029079999996,39.51385,91.814
2016-08-16 05:00:00,213.855381,285.78460615,128.0846796,179.251,231.1865794,1907.17264155,134.47263045000003,35.584968749999994,227.89795460000002,852.60824006,313.14707519999996,1263.30926645,55.0236489,137.93115200000003,107.540292,806.9781564,50.7102611,13.4487924,26.570815087499998,365.08195815,379.8005794,560.88682215,140.50857949999997,205.80741625000002,490.09672724999996,45.676100000000005,101.72800000000001
2016-08-16 06:00:00,236.7854875,322.89307640000004,142.13159675,205.62689999999998,254.257062,2303.5740478499997,148.70210229999998,37.495799999999996,268.982573,920.6776854999999,323.12727559999996,1367.2585758999999,61.4788443,143.89579120000002,110.50305,996.6615155999999,54.7759894,14.185890599999999,28.5847367625,408.92661725000005,393.78948080000004,616.3200362999999,143.07866700000002,223.64050400000002,535.13193225,48.5764,108.295
2016-08-16 07:00:00,250.19462599999997,358.72350293,149.51151135,228.9401,274.88280465,2616.8464085,162.07205239999996,37.9504875,297.36957040000004,1023.6491804199999,330.4632396,1501.0127233,65.30456684999999,149.2159588,119.484954,1179.5806212,54.669829400000005,14.777713599999998,29.3046427875,440.24266355,394.83760240000004,646.58605215,161.10897974999997,237.058113,558.55470885,50.07075,113.3545
2016-08-16 08:00:00,260.583309,389.27203287,156.0192042,240.0093,288.4445325,2923.0412906499996,174.08380190000003,37.9735125,317.2393048,1147.66699882,333.16622520000004,1607.7226494999998,66.42912494999999,151.9420244,140.605692,1312.4486047999999,54.47823165,15.154349999999999,29.5887205875,455.98370785,396.01593799999995,652.2803950499999,177.95491324999998,243.05810649999998,574.69324215,51.115199999999994,115.53
2016-08-16 09:00:00,269.5832965,411.39205589,158.89884505,251.45600000000002,299.9267592,3146.43763855,178.6739163,37.235587499999994,330.5092896,1240.495054995,335.4261972,1676.6606482999998,68.462826,154.5600816,151.416101,1398.2638428,54.346140649999995,15.562609799999999,29.2283329125,463.21275734999995,391.14279,657.37168185,192.31077975,246.74490175,583.9414343999999,52.753499999999995,116.906
2016-08-16 10:00:00,271.3145875,421.6674542199999,162.99567545,259.91339999999997,300.26894515,3229.328802,177.89652989999996,37.77328125,332.6421156,1299.18609668,335.695564,1733.5083394499998,69.95176649999999,156.59086000000002,158.14651800000001,1428.0066416,55.97462605,16.044235,30.113380949999996,465.2536326,387.55614080000004,657.0522878999999,205.90257275000002,250.584188,580.4428815,55.28465,117.5675
2016-08-16 11:00:00,268.99722199999997,425.37810512,160.2912169,247.87909999999997,291.293304,3220.7452045,177.6141575,37.70323125,324.3573636,1336.4443403399998,334.7006384,1712.7512493999998,70.23263385,156.95238039999998,163.418946,1416.2517464,56.9861717,15.4089446,30.01957035,465.2635202,386.3774826,652.2970263,215.12045550000002,249.49850475,577.5358446,53.95125,116.53450000000001
2016-08-16 12:00:00,265.0453605,426.13926595,157.4807481,247.9123,279.29922354999997,3144.8710484999997,174.4529609,37.624068750000006,308.307929,1331.15266449,331.5846068,1697.5408741999997,68.90167799999999,154.536758,166.319302,1387.9120056000002,57.40024689999999,15.1684052,29.698949025,463.73489390000003,385.2839446,641.0419671000001,220.310342,246.98251224999998,565.36536225,52.280199999999994,114.195
2016-08-16 13:00:00,260.0741685,419.97326917,153.29971534999999,242.21030000000002,271.80166145,2997.35918375,169.23694575,36.96615,288.8598718,1298.26357349,329.1948968,1650.9907119,67.0739175,154.69827999999998,164.602643,1333.2745632,56.70227524999999,15.1892992,29.2720672125,459.1110197,381.3329874,634.53658695,231.89109549999998,240.15098175000003,555.7078653,50.114050000000006,110.4075
2016-08-16 14:00:00,251.013211,404.87553985,145.59284975,236.1761,258.04708005,2727.31083385,164.03855245,36.0528,270.549429,1269.8382448050002,329.1971608,1590.6702876,65.70468915000001,152.97997080000002,161.020783,1257.7262808,55.302853999999996,15.278222199999998,28.3708054875,457.25549985,379.89220559999995,618.8144424,243.01133924999996,229.90885975,535.82469465,49.018600000000006,106.139
