,CH_P2HT_OTH,CH_STUR_BIO_CHP,CH_ICEN_GAS_CHP
2016-07-01 08:00:00,2331.207754810813,159.4453448443137,34.096773743630166
2016-07-01 09:00:00,2152.389788282742,147.2149066611063,31.481341578298125
2016-07-01 10:00:00,2077.4440228996527,142.08891418726205,30.385167803122194
2016-07-01 11:00:00,1952.5344139278382,133.5455933975216,28.558211511162312
2016-07-01 12:00:00,1900.5983133553468,129.99337054284004,27.79858231608426
2016-07-01 13:00:00,1883.5054194960462,128.82428454003346,27.548577770868697
2016-07-01 14:00:00,1982.1182686843208,135.56901147930225,28.990911685573867
2016-07-01 15:00:00,2091.249821786011,143.0331759587597,30.587094551180922
2016-07-01 16:00:00,2214.844592768649,151.48656705597654,32.39481972427806
2016-07-01 17:00:00,2372.625151469888,162.27813015880656,34.702553987806326
2016-07-01 18:00:00,2358.81935258353,161.33386838730894,34.50062723974761
2016-07-01 19:00:00,2181.973643039224,149.23832474288696,31.914041752709675
2016-07-01 20:00:00,1635.0010395415936,111.82757265307617,23.913896305811676
2016-07-01 21:00:00,1067.6484472117204,73.02291032914985,15.615668516541277
2016-07-01 22:00:00,1212.9380450157785,82.96014135300584,17.740707150873558
2016-07-01 23:00:00,1218.854815967075,83.36482496936198,17.82724718575587
2016-07-02 00:00:00,1295.772838333929,88.62571198199161,18.9522676392259
2016-07-02 01:00:00,1449.6088830676376,99.14748600725089,21.20230854616596
2016-07-02 02:00:00,2034.7117882514008,139.1661991802456,29.76015644008329
2016-07-02 03:00:00,3214.778883537754,219.87809822016186,47.02008561938846
2016-07-02 04:00:00,3942.5417105472206,269.6541830319654,57.664509909912596
2016-07-02 05:00:00,3860.364336223659,264.0335772492414,56.46256498099162
2016-07-02 06:00:00,3504.043241156693,239.66263057535022,51.25093176919028
2016-07-02 07:00:00,3233.8440343808206,221.18207876175376,47.298936842898115
2016-07-02 08:00:00,2945.8945147510585,201.487476099089,43.087321811959036
2016-07-02 09:00:00,2778.91009012558,190.06640514859387,40.644969716391614
2016-07-02 10:00:00,2655.315319142943,181.613014051377,38.837244543294474
2016-07-02 11:00:00,2474.5250956311056,169.24768132938428,36.192965699668335
2016-07-02 12:00:00,2380.5141794049505,162.81770831394806,34.817940700982746
2016-07-02 13:00:00,2402.2090062263705,164.30154824058718,35.135254162217876
2016-07-02 14:00:00,2517.257330279358,172.17039633640078,36.81797706270724
2016-07-02 15:00:00,2713.1681906667304,185.5699205224147,39.68341377325484
2016-07-02 16:00:00,2898.5603471406866,198.25000716824,42.39500153290056
2016-07-02 17:00:00,3074.0912186958153,210.2556211201384,44.96235590107575
2016-07-02 18:00:00,3035.303498015094,207.60269519069269,44.395037894625055
2016-07-02 19:00:00,2815.725553822536,192.5844365392542,41.18344104454821
2016-07-02 20:00:00,2120.833676542494,145.05659404054032,31.019794725592472
2016-07-02 21:00:00,1452.2385590459917,99.32734539229806,21.240770783891435
2016-07-02 22:00:00,1122.2142237625656,76.75499256887858,16.413759949344804
2016-07-02 23:00:00,1189.928380205181,81.38637173384315,17.40416257077569
2016-07-03 00:00:00,1225.4290059129598,83.81447343197989,17.923402780069548
2016-07-03 01:00:00,1446.321788094695,98.92266177594193,21.154230749009123
2016-07-03 02:00:00,2124.7781905100246,145.32638311811104,31.07748808218067
2016-07-03 03:00:00,3372.559442238993,230.66966132299186,49.32781988291672
2016-07-03 04:00:00,3757.8069730678526,257.01906123240184,54.962537709698246
2016-07-03 05:00:00,3678.916693717233,251.6232796809868,53.8086705779341
2016-07-03 06:00:00,3243.7053192996477,221.85655145568066,47.44317023436864
2016-07-03 07:00:00,2980.7377214642493,203.87061295096396,43.596946461821524
2016-07-03 08:00:00,2747.353978385332,187.90809252802785,40.18342286368596
2016-07-03 09:00:00,2586.2863247111504,176.8917051938889,37.82761080300086
2016-07-03 10:00:00,2468.6083246798094,168.84299771302815,36.10642566478602
2016-07-03 11:00:00,2345.0135536971716,160.38960661581132,34.298700491688884
2016-07-03 12:00:00,2327.9206598378705,159.22052061300474,34.04869594647332
2016-07-03 13:00:00,2335.152268778344,159.71513392188442,34.15446710021836
2016-07-03 14:00:00,2461.376715739336,168.34838440414845,36.00065451104098
2016-07-03 15:00:00,2613.2405034892786,178.73526389062238,38.22184873968694
2016-07-03 16:00:00,2778.2526711309915,190.0214403023321,40.635354156960254
2016-07-03 17:00:00,2964.959665594125,202.79145664068093,43.3661730354687
2016-07-03 18:00:00,2961.672570621183,202.56663240937198,43.318095238311855
2016-07-03 19:00:00,2720.3997996072035,186.06453383129443,39.78918492699989
2016-07-03 20:00:00,2057.064034067409,140.69500395314648,30.08708546074979
2016-07-03 21:00:00,1377.9502126574912,94.24631776471558,20.154212568146875
2016-07-03 22:00:00,792.8473074737283,54.2276045917209,11.596364674229546
2016-07-03 23:00:00,837.5517991057462,57.285214137522736,12.250222715562554
2016-07-04 00:00:00,850.0427600029277,58.13954621649679,12.432918344758544
2016-07-04 01:00:00,1016.3697656338175,69.5156523207301,14.865654880894592
2016-07-04 02:00:00,1469.988871899881,100.54139624136644,21.500390888538366
2016-07-04 03:00:00,2415.3573861181408,165.200845165823,35.327565350845234
2016-07-04 04:00:00,3054.3686488581607,208.90667573228464,44.673889118134724
2016-07-04 05:00:00,2949.1816097240007,201.71230033039794,43.13539960911587
2016-07-04 06:00:00,2550.7856990033715,174.46360349575212,37.308370593707
2016-07-04 07:00:00,2413.3851291343753,165.06595062703764,35.29871867255113
2016-07-04 08:00:00,2170.140101136631,148.42895751017468,31.740961682945052
2016-07-04 09:00:00,2020.2485703704535,138.17697256248616,29.548614132593197
2016-07-04 10:00:00,1927.5524921334754,131.83692923957352,28.19282025277034
2016-07-04 11:00:00,1796.068693215776,122.84395998721516,26.269708366496783
2016-07-04 12:00:00,1751.3642015837581,119.7863504414133,25.61585032516377
2016-07-04 13:00:00,1702.715195984209,116.45895181804072,24.904298927242554
2016-07-04 14:00:00,1788.179665280714,122.30438183207367,26.154321653320373
2016-07-04 15:00:00,1908.4873412904087,130.53294869798154,27.91396902926067
2016-07-04 16:00:00,2020.9059893650424,138.22193740874795,29.55822969202456
2016-07-04 17:00:00,2176.714291082516,148.8786059727926,31.837117277258727
2016-07-04 18:00:00,2197.7516989093483,150.31748105316993,32.1448151790625
2016-07-04 19:00:00,2020.9059893650424,138.22193740874795,29.55822969202456
2016-07-04 20:00:00,1527.1843244290803,104.45333786614232,22.336944559067362
2016-07-04 21:00:00,995.3323578069857,68.07677724035277,14.557956979090823
2016-07-04 22:00:00,556.1764694218691,38.04025993747585,8.134763278937145
2016-07-04 23:00:00,598.9087040701215,40.962974944492316,8.759774641976051
2016-07-05 00:00:00,600.2235420592984,41.0529046370159,8.779005760838785
2016-07-05 01:00:00,734.3370169553519,50.22573327442142,10.740579884837814
2016-07-05 02:00:00,1097.8897209627912,75.09129325719229,16.057984250384198
2016-07-05 03:00:00,1893.3667044148733,129.49875723396033,27.69281116233921
2016-07-05 04:00:00,2392.3477213075435,163.6270755466603,34.99102077074736
2016-07-05 05:00:00,2298.3368050813883,157.1971025312241,33.61599577206177
2016-07-05 06:00:00,1963.0531178412546,134.26503093771026,28.712060462064198
2016-07-05 07:00:00,1873.6441345772187,128.14981184610662,27.404344379398182
2016-07-05 08:00:00,1672.4739222331382,114.39056888999828,24.461983193399632
2016-07-05 09:00:00,1557.4255981801512,106.52172079418476,22.77926029291028
2016-07-05 10:00:00,1496.9430506780093,102.3849549380999,21.89462882522444
2016-07-05 11:00:00,1363.4869947765442,93.25709114695616,19.94267026065678
2016-07-05 12:00:00,1319.439922139115,90.24444644741611,19.29842777875514
2016-07-05 13:00:00,1250.4109277073228,85.52313758992797,18.28879403846152
2016-07-05 14:00:00,1328.643788063354,90.87395429508119,19.433045610794288
2016-07-05 15:00:00,1410.8211623869163,96.49456007780518,20.63499053971526
2016-07-05 16:00:00,1485.7669277700047,101.62055255164942,21.73116431489119
2016-07-05 17:00:00,1608.0468607634655,109.98401395634271,23.519658369125597
