,HE Fierza,HE Koman,HE Ulza,HE Shkopetit,HE Vau Dejes
2015-01-10 13:00:00+00:00,1.483559483,0.472608881,0.664461426,0.599090563,0.572925097
2015-01-10 14:00:00+00:00,1.482623963,0.473109929,0.664731423,0.59948187,0.573199355
2015-01-10 15:00:00+00:00,1.481688443,0.473610977,0.665001419,0.599873177,0.573473613
2015-01-10 16:00:00+00:00,1.480752923,0.474112026,0.665271416,0.600264483,0.573747871
2015-01-10 17:00:00+00:00,1.479817403,0.474613074,0.665541412,0.60065579,0.574022129
2015-01-10 18:00:00+00:00,1.478881883,0.475114123,0.665811409,0.601047097,0.574296387
2015-01-10 19:00:00+00:00,1.477946363,0.475615171,0.666081405,0.601438403,0.574570645
2015-01-10 20:00:00+00:00,1.477010843,0.476116219,0.666351402,0.60182971,0.574844903
2015-01-10 21:00:00+00:00,1.476075323,0.476617268,0.666621398,0.602221017,0.575119161
2015-01-10 22:00:00+00:00,1.475139803,0.477118316,0.666891395,0.602612324,0.575393419
2015-01-10 23:00:00+00:00,1.474204283,0.477619365,0.667161391,0.60300363,0.575667677
2015-01-11 00:00:00+00:00,1.472096814,0.478120413,0.667431388,0.603394937,0.575941935
2015-01-11 01:00:00+00:00,1.469989344,0.478621461,0.667701384,0.603786244,0.576216194
2015-01-11 02:00:00+00:00,1.467881875,0.47912251,0.667971381,0.60417755,0.576490452
2015-01-11 03:00:00+00:00,1.465774405,0.479623558,0.668241377,0.604568857,0.57676471
2015-01-11 04:00:00+00:00,1.463666936,0.480124606,0.668511374,0.604960164,0.577038968
2015-01-11 05:00:00+00:00,1.461559467,0.480625655,0.66878137,0.605351471,0.577313226
2015-01-11 06:00:00+00:00,1.459451997,0.481126703,0.669051367,0.605742777,0.577587484
2015-01-11 07:00:00+00:00,1.457344528,0.481627752,0.669321363,0.606134084,0.577861742
2015-01-11 08:00:00+00:00,1.455237058,0.4821288,0.66959136,0.606525391,0.578136
2015-01-11 09:00:00+00:00,1.453129589,0.482629848,0.669861357,0.606916697,0.578410258
2015-01-11 10:00:00+00:00,1.45102212,0.483130897,0.670131353,0.607308004,0.578684516
2015-01-11 11:00:00+00:00,1.44891465,0.483631945,0.67040135,0.607699311,0.578958774
2015-01-11 12:00:00+00:00,1.446807181,0.484132994,0.670671346,0.608090617,0.579233032
2015-01-11 13:00:00+00:00,1.444699711,0.484634042,0.670941343,0.608481924,0.57950729
