,PHOT,WTOF,WTON,HE Raven,HE Vrben,HE Matka ,HE Dosnica,HE Kalimanci,HE Pesocani,HE Popova Sapka,HE Pena cascade,HE Sapuncica,HE Strezevo 1,HE Turija,HE Zrnovci,HROR
2010-01-03 21:00:00+00:00,0,0,0,0.998406739,1,0.975427739,1,0.721939584,1,1,1,1,1,0.649065569,0.718145151,0.9338321
2010-01-03 22:00:00+00:00,0,0,0,0.995727819,1,0.976050611,1,0.720015819,1,1,1,1,1,0.648378617,0.716421048,0.9328837
2010-01-03 23:00:00+00:00,0,0,0,0.993048899,1,0.976673483,1,0.718092055,1,1,1,1,1,0.647691666,0.714696944,0.9319354
2010-01-04 00:00:00+00:00,0,0,0,0.986757867,1,0.975452361,1,0.71664923,1,1,1,1,1,0.647208856,0.713160226,0.9299789
2010-01-04 01:00:00+00:00,0,0,0,0.980466836,1,0.974231239,1,0.715206405,1,1,1,1,1,0.646726047,0.711623508,0.9280225
2010-01-04 02:00:00+00:00,0,0,0,0.974175804,1,0.973010117,1,0.71376358,1,1,1,1,1,0.646243238,0.71008679,0.926066
2010-01-04 03:00:00+00:00,0,0,0,0.967884772,1,0.971788995,1,0.712320755,1,1,1,1,1,0.645760428,0.708550072,0.9241096
2010-01-04 04:00:00+00:00,0,0,0,0.96159374,1,0.970567873,1,0.71087793,1,1,1,1,1,0.645277619,0.707013354,0.9221532
2010-01-04 05:00:00+00:00,0,0,0,0.955302709,1,0.969346752,1,0.709435105,1,1,1,1,1,0.64479481,0.705476635,0.9201967
2010-01-04 06:00:00+00:00,0,0,0,0.949011677,1,0.96812563,1,0.70799228,1,1,1,1,1,0.644312,0.703939917,0.9182403
2010-01-04 07:00:00+00:00,0,0,0,0.942720645,1,0.966904508,1,0.706549455,1,1,1,1,1,0.643829191,0.702403199,0.9162839
2010-01-04 08:00:00+00:00,0,0,0,0.936429613,1,0.965683386,1,0.70510663,1,1,1,1,1,0.643346382,0.700866481,0.9143274
2010-01-04 09:00:00+00:00,0,0,0,0.930138582,1,0.964462264,1,0.703663805,1,1,1,1,1,0.642863572,0.699329763,0.912371
2010-01-04 10:00:00+00:00,0,0,0,0.92384755,1,0.963241142,1,0.70222098,1,1,1,1,1,0.642380763,0.697793044,0.9104146
2010-01-04 11:00:00+00:00,0,0,0,0.917556518,1,0.96202002,1,0.700778155,1,1,1,1,1,0.641897954,0.696256326,0.9084581
2010-01-04 12:00:00+00:00,0,0,0,0.911265487,1,0.960798898,1,0.69933533,1,1,1,1,1,0.641415144,0.694719608,0.9065017
2010-01-04 13:00:00+00:00,0,0,0,0.904974455,1,0.959577776,1,0.697892505,1,0.996075643,0.992495634,1,1,0.640932335,0.69318289,0.9040741
2010-01-04 14:00:00+00:00,0,0,0,0.898683423,1,0.958356654,0.998420223,0.69644968,1,0.988038545,0.984487422,1,1,0.640449526,0.691646172,0.9013022
2010-01-04 15:00:00+00:00,0,0,0,0.892392391,1,0.957135532,0.995013737,0.695006855,1,0.980001447,0.97647921,1,1,0.639966716,0.690109454,0.8984364
2010-01-04 16:00:00+00:00,0,0,0,0.88610136,1,0.95591441,0.991607251,0.69356403,1,0.971964349,0.968470998,1,1,0.639483907,0.688572735,0.8955706
2010-01-04 17:00:00+00:00,0,0,0,0.879810328,1,0.954693289,0.988200765,0.692121205,1,0.963927251,0.960462786,1,1,0.639001098,0.687036017,0.8927049
2010-01-04 18:00:00+00:00,0,0,0,0.873519296,1,0.953472167,0.984794278,0.69067838,1,0.955890152,0.952454574,1,1,0.638518288,0.685499299,0.8898391
2010-01-04 19:00:00+00:00,0,0,0,0.867228264,1,0.952251045,0.981387792,0.689235555,1,0.947853054,0.944446362,1,1,0.638035479,0.683962581,0.8869733
2010-01-04 20:00:00+00:00,0,0,0,0.860937233,1,0.951029923,0.977981306,0.68779273,1,0.939815956,0.93643815,1,1,0.63755267,0.682425863,0.8841075
2010-01-04 21:00:00+00:00,0,0,0,0.854646201,1,0.949808801,0.97457482,0.686349905,1,0.931778858,0.928429939,1,1,0.63706986,0.680889145,0.8812418
2010-01-04 22:00:00+00:00,0,0,0,0.848355169,1,0.948587679,0.971168333,0.68490708,1,0.92374176,0.920421727,1,1,0.636587051,0.679352426,0.878376
2010-01-04 23:00:00+00:00,0,0,0,0.842064138,1,0.947366557,0.967761847,0.683464255,1,0.915704662,0.912413515,1,1,0.636104242,0.677815708,0.8755102
2010-01-05 00:00:00+00:00,0,0,0,0.847271017,1,0.947297579,0.968725231,0.681891737,1,0.912008536,0.908730674,1,1,0.634998475,0.676239446,0.8761361
2010-01-05 01:00:00+00:00,0,0,0,0.852477897,1,0.947228601,0.969688614,0.680319219,1,0.908312411,0.905047832,1,1,0.633892709,0.674663185,0.8767619
2010-01-05 02:00:00+00:00,0,0,0,0.857684777,1,0.947159623,0.970651998,0.6787467,1,0.904616285,0.901364991,1,1,0.632786943,0.673086923,0.8773878
2010-01-05 03:00:00+00:00,0,0,0,0.862891656,1,0.947090644,0.971615382,0.677174182,1,0.90092016,0.89768215,1,1,0.631681177,0.671510661,0.8780136
2010-01-05 04:00:00+00:00,0,0,0,0.868098536,1,0.947021666,0.972578766,0.675601664,1,0.897224034,0.893999309,1,1,0.63057541,0.669934399,0.8786395
2010-01-05 05:00:00+00:00,0,0,0,0.873305416,1,0.946952688,0.973542149,0.674029145,1,0.893527909,0.890316468,1,1,0.629469644,0.668358138,0.8792654
2010-01-05 06:00:00+00:00,0,0,0,0.878512296,1,0.94688371,0.974505533,0.672456627,1,0.889831783,0.886633627,1,1,0.628363878,0.666781876,0.8798912
2010-01-05 07:00:00+00:00,0,0,0,0.883719175,1,0.946814732,0.975468917,0.670884109,1,0.886135658,0.882950785,1,1,0.627258112,0.665205614,0.8805171
2010-01-05 08:00:00+00:00,0,0,0,0.888926055,1,0.946745754,0.976432301,0.66931159,1,0.882439532,0.879267944,1,1,0.626152345,0.663629352,0.8811429
2010-01-05 09:00:00+00:00,0,0,0,0.894132935,1,0.946676776,0.977395684,0.667739072,1,0.878743407,0.875585103,1,1,0.625046579,0.662053091,0.8817688
2010-01-05 10:00:00+00:00,0,0,0,0.899339814,1,0.946607798,0.978359068,0.666166554,1,0.875047281,0.871902262,1,1,0.623940813,0.660476829,0.8823946
2010-01-05 11:00:00+00:00,0,0,0,0.904546694,1,0.946538819,0.979322452,0.664594035,1,0.871351156,0.868219421,1,1,0.622835047,0.658900567,0.8830205
2010-01-05 12:00:00+00:00,0,0,0,0.909753574,1,0.946469841,0.980285835,0.663021517,1,0.86765503,0.864536579,1,1,0.62172928,0.657324305,0.8836464
2010-01-05 13:00:00+00:00,0,0,0,0.914960454,1,0.946400863,0.981249219,0.661448999,1,0.863958905,0.860853738,1,1,0.620623514,0.655748044,0.8842722
2010-01-05 14:00:00+00:00,0,0,0,0.920167333,1,0.946331885,0.982212603,0.65987648,1,0.86026278,0.857170897,1,1,0.619517748,0.654171782,0.8848981
2010-01-05 15:00:00+00:00,0,0,0,0.925374213,1,0.946262907,0.983175987,0.658303962,1,0.856566654,0.853488056,1,1,0.618411982,0.65259552,0.8855239
2010-01-05 16:00:00+00:00,0,0,0,0.930581093,1,0.946193929,0.98413937,0.656731444,1,0.852870529,0.849805215,1,1,0.617306215,0.651019258,0.8861498
2010-01-05 17:00:00+00:00,0,0,0,0.935787972,1,0.946124951,0.985102754,0.655158925,1,0.849174403,0.846122373,1,1,0.616200449,0.649442997,0.8867757
2010-01-05 18:00:00+00:00,0,0,0,0.940994852,1,0.946055973,0.986066138,0.653586407,1,0.845478278,0.842439532,1,1,0.615094683,0.647866735,0.8874015
2010-01-05 19:00:00+00:00,0,0,0,0.946201732,1,0.945986995,0.987029521,0.652013889,1,0.841782152,0.838756691,1,1,0.613988917,0.646290473,0.8880274
2010-01-05 20:00:00+00:00,0,0,0,0.951408612,1,0.945918016,0.987992905,0.65044137,1,0.838086027,0.83507385,1,1,0.61288315,0.644714211,0.8886532
2010-01-05 21:00:00+00:00,0,0,0,0.956615491,1,0.945849038,0.988956289,0.648868852,1,0.834389901,0.831391009,1,1,0.611777384,0.64313795,0.8892791
2010-01-05 22:00:00+00:00,0,0,0,0.961822371,1,0.94578006,0.989919673,0.647296334,1,0.830693776,0.827708168,1,1,0.610671618,0.641561688,0.8899049
2010-01-05 23:00:00+00:00,0,0,0,0.967029251,1,0.945711082,0.990883056,0.645723815,1,0.82699765,0.824025326,1,1,0.609565852,0.639985426,0.8905308
2010-01-06 00:00:00+00:00,0,0,0,0.968068013,1,0.947097609,0.994543619,0.648137926,1,0.828055526,0.8250794,1,1,0.611862443,0.644305005,0.8917958
2010-01-06 01:00:00+00:00,0,0,0,0.969106776,1,0.948484136,0.998204182,0.650552037,1,0.829113402,0.826133474,1,1,0.614159034,0.648624584,0.8930608
2010-01-06 02:00:00+00:00,0,0,0,0.970145539,1,0.949870663,1,0.652966148,1,0.830171278,0.827187548,1,1,0.616455625,0.652944162,0.8942299
2010-01-06 03:00:00+00:00,0,0,0,0.971184302,1,0.951257189,1,0.655380259,1,0.831229154,0.828241622,1,1,0.618752216,0.657263741,0.8953068
2010-01-06 04:00:00+00:00,0,0,0,0.972223065,1,0.952643716,1,0.65779437,1,0.83228703,0.829295695,1,1,0.621048807,0.66158332,0.8963838
2010-01-06 05:00:00+00:00,0,0,0,0.973261827,1,0.954030243,1,0.660208481,1,0.833344906,0.830349769,1,1,0.623345398,0.665902898,0.8974607
2010-01-06 06:00:00+00:00,0,0,0,0.97430059,1,0.95541677,1,0.662622592,1,0.834402782,0.831403843,1,1,0.625641989,0.670222477,0.8985376
2010-01-06 07:00:00+00:00,0,0,0,0.975339353,1,0.956803297,1,0.665036703,1,0.835460658,0.832457917,1,1,0.62793858,0.674542056,0.8996145
2010-01-06 08:00:00+00:00,0,0,0,0.976378116,1,0.958189824,1,0.667450814,1,0.836518534,0.833511991,1,1,0.630235171,0.678861634,0.9006914
2010-01-06 09:00:00+00:00,0,0,0,0.977416878,1,0.959576351,1,0.669864925,1,0.83757641,0.834566065,1,1,0.632531762,0.683181213,0.9017683
2010-01-06 10:00:00+00:00,0,0,0,0.978455641,1,0.960962878,1,0.672279036,1,0.838634286,0.835620138,1,1,0.634828353,0.687500792,0.9028452
2010-01-06 11:00:00+00:00,0,0,0,0.979494404,1,0.962349404,1,0.674693147,1,0.839692161,0.836674212,1,1,0.637124944,0.69182037,0.9039221
2010-01-06 12:00:00+00:00,0,0,0,0.980533167,1,0.963735931,1,0.677107258,1,0.840750037,0.837728286,1,1,0.639421535,0.696139949,0.904999
2010-01-06 13:00:00+00:00,0,0,0,0.98157193,1,0.965122458,1,0.679521369,1,0.841807913,0.83878236,1,1,0.641718126,0.700459528,0.9060759
2010-01-06 14:00:00+00:00,0,0,0,0.982610692,1,0.966508985,1,0.68193548,1,0.842865789,0.839836434,1,1,0.644014717,0.704779107,0.9071528
2010-01-06 15:00:00+00:00,0,0,0,0.983649455,1,0.967895512,1,0.684349591,1,0.843923665,0.840890507,1,1,0.646311308,0.709098685,0.9082297
2010-01-06 16:00:00+00:00,0,0,0,0.984688218,1,0.969282039,1,0.686763702,1,0.844981541,0.841944581,1,1,0.648607899,0.713418264,0.9093066
2010-01-06 17:00:00+00:00,0,0,0,0.985726981,1,0.970668566,1,0.689177813,1,0.846039417,0.842998655,1,1,0.65090449,0.717737843,0.9103835
2010-01-06 18:00:00+00:00,0,0,0,0.986765743,1,0.972055093,1,0.691591924,1,0.847097293,0.844052729,1,1,0.653201081,0.722057421,0.9114604
2010-01-06 19:00:00+00:00,0,0,0,0.987804506,1,0.973441619,1,0.694006035,1,0.848155169,0.845106803,1,1,0.655497672,0.726377,0.9125373
2010-01-06 20:00:00+00:00,0,0,0,0.988843269,1,0.974828146,1,0.696420146,1,0.849213045,0.846160876,1,1,0.657794263,0.730696579,0.9136143
2010-01-06 21:00:00+00:00,0,0,0,0.989882032,1,0.976214673,1,0.698834257,1,0.850270921,0.84721495,1,1,0.660090854,0.735016157,0.9146912
2010-01-06 22:00:00+00:00,0,0,0,0.990920795,1,0.9776012,1,0.701248367,1,0.851328797,0.848269024,1,1,0.662387445,0.739335736,0.9157681
2010-01-06 23:00:00+00:00,0,0,0,0.991959557,1,0.978987727,1,0.703662478,1,0.852386673,0.849323098,1,1,0.664684036,0.743655315,0.916845
2010-01-07 00:00:00+00:00,0,0,0,0.99069015,1,0.979299995,1,0.703838541,1,0.853666704,0.850598528,1,1,0.664193124,0.742527683,0.9166928
2010-01-07 01:00:00+00:00,0,0,0,0.989420743,1,0.979612262,1,0.704014603,1,0.854946735,0.851873959,1,1,0.663702213,0.741400051,0.9165406
2010-01-07 02:00:00+00:00,0,0,0,0.988151336,1,0.97992453,1,0.704190665,1,0.856226766,0.853149389,1,1,0.663211301,0.74027242,0.9163883
2010-01-07 03:00:00+00:00,0,0,0,0.986881929,1,0.980236798,1,0.704366727,1,0.857506797,0.85442482,1,1,0.66272039,0.739144788,0.9162361
2010-01-07 04:00:00+00:00,0,0,0,0.985612522,1,0.980549065,1,0.704542789,1,0.858786828,0.855700251,1,1,0.662229478,0.738017156,0.9160839
2010-01-07 05:00:00+00:00,0,0,0,0.984343115,1,0.980861333,1,0.704718851,1,0.860066859,0.856975681,1,1,0.661738566,0.736889525,0.9159317
2010-01-07 06:00:00+00:00,0,0,0,0.983073708,1,0.981173601,1,0.704894914,1,0.86134689,0.858251112,1,1,0.661247655,0.735761893,0.9157795
2010-01-07 07:00:00+00:00,0,0,0,0.981804301,1,0.981485868,1,0.705070976,1,0.862626922,0.859526542,1,1,0.660756743,0.734634261,0.9156273
2010-01-07 08:00:00+00:00,0,0,0,0.980534894,1,0.981798136,1,0.705247038,1,0.863906953,0.860801973,1,1,0.660265832,0.73350663,0.9154751
2010-01-07 09:00:00+00:00,0,0,0,0.979265486,1,0.982110404,1,0.7054231,1,0.865186984,0.862077403,1,1,0.65977492,0.732378998,0.9153229
2010-01-07 10:00:00+00:00,0,0,0,0.977996079,1,0.982422671,1,0.705599162,1,0.866467015,0.863352834,1,1,0.659284009,0.731251366,0.9151707
2010-01-07 11:00:00+00:00,0,0,0,0.976726672,1,0.982734939,1,0.705775224,1,0.867747046,0.864628264,1,1,0.658793097,0.730123735,0.9150185
2010-01-07 12:00:00+00:00,0,0,0,0.975457265,1,0.983047207,1,0.705951287,1,0.869027077,0.865903695,1,1,0.658302186,0.728996103,0.9148663
2010-01-07 13:00:00+00:00,0,0,0,0.974187858,1,0.983359474,1,0.706127349,1,0.870307108,0.867179125,1,1,0.657811274,0.727868471,0.9147141
2010-01-07 14:00:00+00:00,0,0,0,0.972918451,1,0.983671742,1,0.706303411,1,0.871587139,0.868454556,1,1,0.657320363,0.72674084,0.9145618
2010-01-07 15:00:00+00:00,0,0,0,0.971649044,1,0.98398401,1,0.706479473,1,0.87286717,0.869729986,1,1,0.656829451,0.725613208,0.9144096
2010-01-07 16:00:00+00:00,0,0,0,0.970379637,1,0.984296277,1,0.706655535,1,0.874147201,0.871005417,1,1,0.65633854,0.724485576,0.9142574
2010-01-07 17:00:00+00:00,0,0,0,0.96911023,1,0.984608545,1,0.706831597,1,0.875427233,0.872280847,1,1,0.655847628,0.723357945,0.9141052
2010-01-07 18:00:00+00:00,0,0,0,0.967840823,1,0.984920812,1,0.70700766,1,0.876707264,0.873556278,1,1,0.655356717,0.722230313,0.913953
2010-01-07 19:00:00+00:00,0,0,0,0.966571416,1,0.98523308,1,0.707183722,1,0.877987295,0.874831708,1,1,0.654865805,0.721102682,0.9138008
2010-01-07 20:00:00+00:00,0,0,0,0.965302008,1,0.985545348,1,0.707359784,1,0.879267326,0.876107139,1,1,0.654374894,0.71997505,0.9136486
2010-01-07 21:00:00+00:00,0,0,0,0.964032601,1,0.985857615,1,0.707535846,1,0.880547357,0.877382569,1,1,0.653883982,0.718847418,0.9134964
2010-01-07 22:00:00+00:00,0,0,0,0.962763194,1,0.986169883,1,0.707711908,1,0.881827388,0.878658,1,1,0.653393071,0.717719787,0.9133442
2010-01-07 23:00:00+00:00,0,0,0,0.961493787,1,0.986482151,1,0.70788797,1,0.883107419,0.87993343,1,1,0.652902159,0.716592155,0.913192
2010-01-08 00:00:00+00:00,0,0,0,0.957048896,1,0.985077123,1,0.707164699,1,0.888263415,0.885070895,1,1,0.652220878,0.715239615,0.9122499
2010-01-08 01:00:00+00:00,0,0,0,0.952604004,1,0.983672095,1,0.706441429,1,0.893419412,0.89020836,1,1,0.651539597,0.713887075,0.9113079
2010-01-08 02:00:00+00:00,0,0,0,0.948159113,1,0.982267068,1,0.705718158,1,0.898575408,0.895345825,1,1,0.650858316,0.712534535,0.9103659
2010-01-08 03:00:00+00:00,0,0,0,0.943714221,1,0.98086204,1,0.704994887,1,0.903731404,0.90048329,1,1,0.650177035,0.711181994,0.9094239
2010-01-08 04:00:00+00:00,0,0,0,0.93926933,1,0.979457012,1,0.704271616,1,0.9088874,0.905620755,1,1,0.649495754,0.709829454,0.9084819
2010-01-08 05:00:00+00:00,0,0,0,0.934824438,1,0.978051985,1,0.703548345,1,0.914043397,0.91075822,1,1,0.648814473,0.708476914,0.9075398
