,[AGRAS 1;AGRAS 2],EDESSAIOS 1,GHIONA 1,[GLAFKOS-II NO1;GLAFKOS-II NO2],[LOUROS 1;LOUROS 2;LOUROS 3],[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],[STRATOS-II NO 1;STRATOS-II NO 2],[SFIKIA 1;SFIKIA 2;SFIKIA 3],THISAVROS,[ILARIONAS 1;ILARIONAS 2;ILARIONAS A1],[ASSOMATA 1;ASSOMATA 2],[KASTRAKI 1;KASTRAKI 2;KASTRAKI 3;KASTRAKI 4],LADONAS,[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],[PIGAI AOOS 1;PIGAI AOOS 2],[PLATANOVRISI 1;PLATANOVRISI 2],[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],[POURNARI-II NO 1;POURNARI-II NO 2],[STRATOS-I NO 1;STRATOS-I NO 2],[KREMASTA 1;KREMASTA 2;KREMASTA 3;KREMASTA 4]
2015/01/03 05:00,0.000384377,9.82E-05,0.001088921,0.010902796,0.002112894,0.007543069,0.000379927,0.000761322,0.020224358,0.13630497,0.000107929,0.010244011,0.065419351,0.00315091,0.003227985,0.006385033,0.000637579,0.031624781,0.000487867,0.001122849,0.060045648
2015/01/03 06:00,0.000384266,9.82E-05,0.001088587,0.010845284,0.002107829,0.007540985,0.000379975,0.000762154,0.020290598,0.136300731,0.000108305,0.010226527,0.065173247,0.003160993,0.003227423,0.006462448,0.000646417,0.031588569,0.0004875,0.00112036,0.060012316
2015/01/03 07:00,0.000384155,9.82E-05,0.001088254,0.010787772,0.002102763,0.007538901,0.000380023,0.000762986,0.020356839,0.136296491,0.00010868,0.010209042,0.064927143,0.003171075,0.003226861,0.006539863,0.000655255,0.031552358,0.000487132,0.00111787,0.059978983
2015/01/03 08:00,0.000384044,9.82E-05,0.001087921,0.01073026,0.002097697,0.007536817,0.000380071,0.000763819,0.02042308,0.136292251,0.000109055,0.010191558,0.064681039,0.003181158,0.003226299,0.006617278,0.000664092,0.031516146,0.000486765,0.001115381,0.05994565
2015/01/03 09:00,0.000383933,9.82E-05,0.001087588,0.010672748,0.002092631,0.007534733,0.000380119,0.000764651,0.02048932,0.136288011,0.000109431,0.010174073,0.064434935,0.003191241,0.003225738,0.006694693,0.00067293,0.031479934,0.000486397,0.001112892,0.059912317
2015/01/03 10:00,0.000383822,9.82E-05,0.001087255,0.010615236,0.002087566,0.007532649,0.000380167,0.000765483,0.020555561,0.136283772,0.000109806,0.010156589,0.064188831,0.003201324,0.003225176,0.006772108,0.000681768,0.031443722,0.00048603,0.001110403,0.059878984
2015/01/03 11:00,0.000383711,9.82E-05,0.001086921,0.010557724,0.0020825,0.007530565,0.000380216,0.000766316,0.020621802,0.136279532,0.000110182,0.010139105,0.063942726,0.003211406,0.003224614,0.006849524,0.000690606,0.03140751,0.000485662,0.001107914,0.059845651
2015/01/03 12:00,0.0003836,9.82E-05,0.001086588,0.010500212,0.002077434,0.007528481,0.000380264,0.000767148,0.020688042,0.136275292,0.000110557,0.01012162,0.063696622,0.003221489,0.003224052,0.006926939,0.000699443,0.031371299,0.000485295,0.001105425,0.059812318
2015/01/03 13:00,0.000383489,9.82E-05,0.001086255,0.0104427,0.002072369,0.007526397,0.000380312,0.00076798,0.020754283,0.136271052,0.000110932,0.010104136,0.063450518,0.003231572,0.003223491,0.007004354,0.000708281,0.031335087,0.000484927,0.001102935,0.059778985
2015/01/03 14:00,0.000383378,9.82E-05,0.001085922,0.010385188,0.002067303,0.007524313,0.00038036,0.000768812,0.020820524,0.136266813,0.000111308,0.010086651,0.063204414,0.003241655,0.003222929,0.007081769,0.000717119,0.031298875,0.00048456,0.001100446,0.059745652
2015/01/03 15:00,0.000383268,9.82E-05,0.001085589,0.010327676,0.002062237,0.007522229,0.000380408,0.000769645,0.020886764,0.136262573,0.000111683,0.010069167,0.06295831,0.003251738,0.003222367,0.007159184,0.000725957,0.031262663,0.000484192,0.001097957,0.059712319
2015/01/03 16:00,0.000383157,9.82E-05,0.001085255,0.010270164,0.002057171,0.007520145,0.000380456,0.000770477,0.020953005,0.136258333,0.000112059,0.010051682,0.062712206,0.00326182,0.003221805,0.007236599,0.000734794,0.031226451,0.000483825,0.001095468,0.059678987
