,RO_P2HT_OTH,RO_STUR_BIO_CHP,RO_STUR_GAS_CHP
2016-08-18 05:00:00,1020.7249927977375,496.68768628277985,601.166675585512
2016-08-18 06:00:00,984.6888059381529,479.1523752048354,579.9427858914075
2016-08-18 07:00:00,910.3641705402592,442.98579610657464,536.1685133973168
2016-08-18 08:00:00,888.7424584245084,432.4646094598079,523.434179580854
2016-08-18 09:00:00,858.5621519296062,417.77878643202934,505.65917196204146
2016-08-18 10:00:00,725.6787128848875,353.11732683210874,427.39607871503085
2016-08-18 11:00:00,701.3542867546679,341.2809918544961,413.06995317151024
2016-08-18 12:00:00,641.4441261006083,312.1285371874133,377.78523655506143
2016-08-18 13:00:00,686.0389073393444,333.82848464636965,404.0498000515158
2016-08-18 14:00:00,765.7689707661757,372.6253604063221,451.0076559997222
2016-08-18 15:00:00,771.6248511308581,375.474848456488,454.4565380750141
2016-08-18 16:00:00,827.0304884274697,402.43538923882784,487.08826847969993
2016-08-18 17:00:00,865.7693893015232,421.28584864761825,509.9039499008624
2016-08-18 18:00:00,774.3275651453268,376.78999678733385,456.048329802072
2016-08-18 19:00:00,572.9753710673972,278.8114461393186,337.4598461362627
2016-08-18 20:00:00,346.848298523503,168.77736912521644,204.2799383057565
2016-08-18 21:00:00,241.89290429496248,117.7057756107029,142.46535957167694
2016-08-18 22:00:00,273.4245677970992,133.0491728039044,161.03626305401846
2016-08-18 23:00:00,265.31642575369256,129.10372781136687,156.2608878728449
2016-08-19 00:00:00,307.20849297795985,149.48852693947742,180.93365964224148
2016-08-19 01:00:00,513.9661150848273,250.09737424918438,302.7057267621665
2016-08-19 02:00:00,1047.7521329424262,509.8391695912383,617.0845928560905
2016-08-19 03:00:00,1354.510173584641,659.1085051422414,797.7529538771556
2016-08-19 04:00:00,1278.834181179513,622.2843518785579,753.1827855195361
2016-08-19 05:00:00,1016.2204694402894,494.4957723980367,598.5136893737489
2016-08-19 06:00:00,979.73383024496,476.7412699316179,577.0245010584681
2016-08-19 07:00:00,904.9587425113216,440.3554994448829,532.9849299432011
2016-08-19 08:00:00,883.3370303955708,429.8343127981162,520.2505961267383
2016-08-19 09:00:00,852.7062715649238,414.9292983818633,502.2102898867494
2016-08-19 10:00:00,721.1741895274395,350.92541294736566,424.74309250326775
2016-08-19 11:00:00,696.8497633972198,339.0890779697531,410.41696695974724
2016-08-19 12:00:00,637.3900550789051,310.15581469114454,375.39754896447465
2016-08-19 13:00:00,681.0839316461515,331.4173793731523,401.1315152185764
2016-08-19 14:00:00,760.8139950729827,370.2142551331047,448.0893711667828
2016-08-19 15:00:00,767.12032777341,373.282934571745,451.80355186325113
2016-08-19 16:00:00,822.5259650700216,400.24347535408475,484.43528226793694
2016-08-19 17:00:00,860.3639612725856,418.65555198592654,506.7203664467467
2016-08-19 18:00:00,769.3725894521341,374.3788915141165,453.1300449691326
2016-08-19 19:00:00,570.2726570529284,277.4962978084728,335.8680544092049
2016-08-19 20:00:00,344.59603684477895,167.68141218284492,202.95344519987498
2016-08-19 21:00:00,255.85692670305158,124.50070865340642,150.68961682814248
2016-08-19 22:00:00,287.3885902051882,139.84410584660793,169.260520310484
2016-08-19 23:00:00,279.7309004975265,136.1178522425447,164.75044375048674
2016-08-20 00:00:00,327.47884808647626,159.35213942082126,192.87209759517532
2016-08-20 01:00:00,542.795064572495,264.12562311154,319.6848385174501
2016-08-20 02:00:00,1091.8964618454174,531.3199256617204,643.0838577313685
2016-08-20 03:00:00,1401.3572165021012,681.9044095435693,825.3440104794915
2016-08-20 04:00:00,1322.9785100825043,643.7651079490398,779.182050394814
2016-08-20 05:00:00,1058.1125366645567,514.8805715261473,623.1864611431455
2016-08-20 06:00:00,1021.1754451334823,496.90687767125416,601.4319742066883
2016-08-20 07:00:00,938.2922153564375,456.5756621919816,552.6170279102478
2016-08-20 08:00:00,910.3641705402592,442.98579610657464,536.1685133973168
2016-08-20 09:00:00,877.9316023666331,427.2040161364245,517.0670126726227
2016-08-20 10:00:00,747.7508773363832,363.85770486734975,440.3957111526699
2016-08-20 11:00:00,721.6246418631843,351.1446043358399,425.0083911244441
2016-08-20 12:00:00,663.5162905521038,322.8689152226543,390.7848689927004
2016-08-20 13:00:00,708.5615241265848,344.788054070085,417.31473111033114
2016-08-20 14:00:00,785.5888735389472,382.2697814991916,462.6807953314797
2016-08-20 15:00:00,797.751086604057,388.1879489879978,469.84385810323994
2016-08-20 16:00:00,858.1116995938614,417.559595043555,505.3938733408652
2016-08-20 17:00:00,895.4992434606806,435.75248028692243,527.4136588984986
2016-08-20 18:00:00,802.255609961505,390.37986287274094,472.49684431500305
2016-08-20 19:00:00,596.849344861872,290.42858972845687,351.520673058607
2016-08-20 20:00:00,361.7132256030817,176.01068494486861,213.03479280457466
2016-08-20 21:00:00,261.2623547319893,127.13100531509811,153.87320028225815
2016-08-20 22:00:00,288.28949487667785,140.28248862355656,169.7911175528366
2016-08-20 23:00:00,279.7309004975265,136.1178522425447,164.75044375048674
2016-08-21 00:00:00,325.677038743497,158.47537386692403,191.8109031104701
2016-08-21 01:00:00,538.2905412150469,261.93370922679696,317.03185230568704
2016-08-21 02:00:00,1085.59012914499,528.25124622308,639.3696770349002
2016-08-21 03:00:00,1390.546360444226,676.643816220186,818.9768435712602
2016-08-21 04:00:00,1331.5371044616559,647.9297443300519,784.2227241971641
2016-08-21 05:00:00,1072.076559072646,521.6755045688509,631.4107183996111
2016-08-21 06:00:00,1032.8872058628472,502.6058537715861,608.3297383572723
2016-08-21 07:00:00,944.14809572112,459.4251502421477,556.0659099855399
2016-08-21 08:00:00,912.6164322189833,444.08175304894615,537.4950065031983
2016-08-21 09:00:00,879.2829593738675,427.86159030184746,517.8629085361516
2016-08-21 10:00:00,755.8590193797897,367.80314985988736,445.1710863338435
2016-08-21 11:00:00,722.0750941989292,351.3637957243143,425.2736897456204
2016-08-21 12:00:00,667.1199092380623,324.62244633044884,392.9072579621109
2016-08-21 13:00:00,709.9128811338192,345.44562823550797,418.1106269738601
2016-08-21 14:00:00,791.8952062393745,385.3384609378318,466.39497602794796
2016-08-21 15:00:00,808.5619426619323,393.4485423113812,476.21102501147135
2016-08-21 16:00:00,872.9766266734403,424.7929108632071,514.1487278396833
2016-08-21 17:00:00,905.4091948470664,440.57469083335724,533.2502285643774
2016-08-21 18:00:00,815.7691800338494,396.95560452697015,480.4558029502923
2016-08-21 19:00:00,601.3538682193202,292.62050361319996,354.17365927037
2016-08-21 20:00:00,363.0645826103162,176.6682591102915,213.83068866810356
2016-08-21 21:00:00,268.92004443965106,130.85725891916132,158.38327684225538
2016-08-21 22:00:00,281.0822575047609,136.77542640796764,165.5463396140157
2016-08-21 23:00:00,262.61371173922373,127.78857948052104,154.66909614578708
2016-08-22 00:00:00,309.91120699242873,150.80367527032328,182.52545136929933
2016-08-22 01:00:00,512.164305741848,249.22060869528715,301.6445322774612
2016-08-22 02:00:00,1003.6078040394348,488.35841352075613,591.0853279808123
2016-08-22 03:00:00,1353.6092689131515,658.6701223652929,797.2223566348031
2016-08-22 04:00:00,1287.3927755586647,626.4489882595697,758.2234593218858
2016-08-22 05:00:00,1046.8512282709366,509.4007868142897,616.5539956137379
2016-08-22 06:00:00,995.9501143317732,484.632159916693,586.5752514208152
2016-08-22 07:00:00,927.0309069628173,451.09587748012393,545.9845623808401
2016-08-22 08:00:00,876.5802453593988,426.54644197100157,516.2711168090938
2016-08-22 09:00:00,854.5080809079029,415.80606393576056,503.27148437145473
2016-08-22 10:00:00,735.5886642712734,357.93953737854343,433.23264838090955
2016-08-22 11:00:00,733.3364025925493,356.843580436172,431.90615527502814
2016-08-22 12:00:00,668.020813909552,325.0608291073974,393.4378552044635
2016-08-22 13:00:00,717.1201185057362,348.9526904510969,422.355404912681
2016-08-22 14:00:00,783.7870641959679,381.39301594529434,461.6196008467745
2016-08-22 15:00:00,783.7870641959679,381.39301594529434,461.6196008467745
2016-08-22 16:00:00,839.1927014925794,408.35355672763404,494.2513312514602
2016-08-22 17:00:00,868.4721033159922,422.6009969784641,511.49574162792027
2016-08-22 18:00:00,792.7961109108642,385.77684371478045,466.92557327030056
2016-08-22 19:00:00,580.1826084393142,282.3185083549075,341.70462407508364
2016-08-22 20:00:00,351.3528218809512,170.96928300995953,206.93292451751958
2016-08-22 21:00:00,274.7759248043336,133.70674696932733,161.8321589175474
2016-08-22 22:00:00,304.9562312992358,148.39256999710588,179.60716653635993
2016-08-22 23:00:00,314.86618268562154,153.21478054354066,185.4437362022387
2016-08-23 00:00:00,403.605292827349,196.39548407297912,237.70756457397118
2016-08-23 01:00:00,633.3359840572017,308.1830921948757,373.0098613738878
2016-08-23 02:00:00,1140.9957664416015,555.2117870054198,672.0014074395859
2016-08-23 03:00:00,1351.3570072344276,657.5741654229213,795.8958635289216
2016-08-23 04:00:00,1294.1495605948367,629.7368590866843,762.2029386395305
2016-08-23 05:00:00,1028.3826825053993,500.41393988684297,605.6767521455091
2016-08-23 06:00:00,994.1483049887938,483.7553943627957,585.5140569361099
2016-08-23 07:00:00,909.4632658687697,442.547413329626,535.6379161549642
2016-08-23 08:00:00,879.2829593738675,427.86159030184746,517.8629085361516
2016-08-23 09:00:00,849.1026528789653,413.17576727406885,500.08790091733897
2016-08-23 10:00:00,740.5436399644663,360.35064265176084,436.150933213849
2016-08-23 11:00:00,717.570570841481,349.1718818395712,422.6207035338573
2016-08-23 12:00:00,667.5703615738072,324.8416377189231,393.17255658328725
2016-08-23 13:00:00,718.4714755129705,349.61026461651977,423.1513007762099
2016-08-23 14:00:00,797.751086604057,388.1879489879978,469.84385810323994
2016-08-23 15:00:00,815.7691800338494,396.95560452697015,480.4558029502923
2016-08-23 16:00:00,869.8234603232265,423.258571143887,512.2916374914491
2016-08-23 17:00:00,910.814622876004,443.20498749504884,536.433812018493
2016-08-23 18:00:00,837.841344485345,407.6959825622111,493.45543538793123
2016-08-23 19:00:00,616.2187952988988,299.8538194328521,362.9285137691882
2016-08-23 20:00:00,382.88448538308785,186.31268020316105,225.5038279998611
2016-08-23 21:00:00,289.6408518839123,140.94006278897945,170.5870134163655
2016-08-23 22:00:00,318.92025370732495,155.18750303980943,187.8314237928255
2016-08-23 23:00:00,310.3616593281735,151.0228666587976,182.79074999047566
2016-08-24 00:00:00,369.3709153107435,179.73693854893182,217.54486936457187
2016-08-24 01:00:00,602.2547728908098,293.0588863901486,354.7042565127227
2016-08-24 02:00:00,1184.2391906731032,576.2541602989534,697.4700750725116
2016-08-24 03:00:00,1493.6999453297872,726.8386441808022,879.7302278206345
2016-08-24 04:00:00,1411.7176202242317,686.9458114784785,831.4458787665467
2016-08-24 05:00:00,1130.1849103837262,549.9511936820365,665.6342405313547
2016-08-24 06:00:00,1093.247818852652,531.9774998271433,643.8797535948975
2016-08-24 07:00:00,993.697852653049,483.5362029743214,585.2487583149335
2016-08-24 08:00:00,956.7607611219746,465.5625091194282,563.4942713784764
2016-08-24 09:00:00,919.8236695909004,447.5888152645351,541.7397844420193
2016-08-24 10:00:00,795.0483725895881,386.872800657152,468.25206637618214
2016-08-24 11:00:00,772.9762081380925,376.13242262191096,455.25243393854305
2016-08-24 12:00:00,713.5164998197777,347.19915934330237,420.2330159432705
2016-08-24 13:00:00,763.9671614231963,371.74859485242484,449.946461515017
2016-08-24 14:00:00,839.1927014925794,408.35355672763404,494.2513312514602
2016-08-24 15:00:00,861.71531827982,419.3131261513495,507.51626231027564
2016-08-24 16:00:00,932.8867873274997,453.94536553029,549.4334444561322
2016-08-24 17:00:00,972.5265928730428,473.234207716029,572.7797231196472
2016-08-24 18:00:00,873.8775313449298,425.2312936401558,514.6793250820359
2016-08-24 19:00:00,655.4081485086973,318.9234702301168,386.00949381152685
2016-08-24 20:00:00,401.35303114862495,195.29952713060763,236.38107146808971
2016-08-24 21:00:00,280.18135283327126,136.33704363101901,165.01574237166307
2016-08-24 22:00:00,312.1634686711527,151.8996322126948,183.85194447518086
2016-08-24 23:00:00,306.3075883064703,149.05014416252882,180.40306239988888
2016-08-25 00:00:00,364.41593961755063,177.32583327571444,214.62658453163252
2016-08-25 01:00:00,596.3988925261273,290.2093983399826,351.2553744374307
2016-08-25 02:00:00,1176.1310486296966,572.3087153064158,692.694699891338
2016-08-25 03:00:00,1493.2494929940424,726.6194527923279,879.4649291994582
2016-08-25 04:00:00,1409.9158108812526,686.0690459245811,830.3846842818414
2016-08-25 05:00:00,1139.1939570986221,554.3350214515226,670.9402129548808
2016-08-25 06:00:00,1100.4550562245688,535.4845620427321,648.1245315337184
2016-08-25 07:00:00,1002.7068993679452,487.92003074380756,590.5547307384597
2016-08-25 08:00:00,964.8689031653812,469.5079541119657,568.2696465596499
2016-08-25 09:00:00,927.9318116343069,451.5342602570726,546.5151596231927
2016-08-25 10:00:00,799.5528959470363,389.0647145418951,470.90505258794525
2016-08-25 11:00:00,770.7239464593684,375.0364656795394,453.9259408326615
2016-08-25 12:00:00,712.1651428125433,346.5415851778795,419.43712007974165
2016-08-25 13:00:00,760.3635427372379,369.99506374463033,447.8240725456065
2016-08-25 14:00:00,835.1386304708763,406.3808342313654,491.8636436608735
2016-08-25 15:00:00,856.3098902508822,416.6828294896578,504.33267885615993
2016-08-25 16:00:00,925.679549955583,450.4383033147011,545.1886665173113
2016-08-25 17:00:00,962.616641486657,468.4119971695942,566.9431534537683
2016-08-25 18:00:00,864.8684846300337,420.8474658706696,509.3733526585098
2016-08-25 19:00:00,647.3000064652907,314.97802523757923,381.23411863035335
2016-08-25 20:00:00,393.69534144096315,191.5732735265444,231.87099490809248
2016-08-25 21:00:00,264.415521082203,128.66534503441827,155.7302906304923
2016-08-25 22:00:00,295.49673224859487,143.78955083914545,174.0358954916575
2016-08-25 23:00:00,289.19039954816753,140.72087140050516,170.32171479518922
2016-08-26 00:00:00,341.44287049456534,166.14707246352475,201.09635485164083
2016-08-26 01:00:00,561.7140626737771,273.3316614274609,330.827380606855
2016-08-26 02:00:00,1122.5272206760644,546.2249400779733,661.1241639713575
2016-08-26 03:00:00,1431.9879753327482,696.8094239598222,843.3843167194805
2016-08-26 04:00:00,1352.2579119059171,658.0125481998699,796.4264607712742
