,HE Ujmani,HDAM
2015-01-20 12:00:00+00:00,0.598883874,0.598883874
2015-01-20 13:00:00+00:00,0.596980975,0.596980975
2015-01-20 14:00:00+00:00,0.595078076,0.595078076
2015-01-20 15:00:00+00:00,0.593175177,0.593175177
2015-01-20 16:00:00+00:00,0.591272278,0.591272278
2015-01-20 17:00:00+00:00,0.589369379,0.589369379
2015-01-20 18:00:00+00:00,0.58746648,0.58746648
2015-01-20 19:00:00+00:00,0.585563581,0.585563581
2015-01-20 20:00:00+00:00,0.583660682,0.583660682
2015-01-20 21:00:00+00:00,0.581757783,0.581757783
2015-01-20 22:00:00+00:00,0.579854884,0.579854884
