,HE Jablanica,HE Dubrovnik,HE Trebinje 1,HE Trebinje 2,HE Rama,HE Visegrad,HE Salakovac,HE Bocac,RHE Capljina,HDAM,HROR
2010-01-04 16:00:00+00:00,0.717497092,0.858536748,0.802366254,0,0.748362677,0.709491147,0.695064708,0.812177862,0.1,0.748362677,0.8582511
2010-01-04 17:00:00+00:00,0.716764018,0.85855117,0.802377899,0,0.749174825,0.703486127,0.681964309,0.79894358,0.1,0.749174825,0.8579206
2010-01-04 18:00:00+00:00,0.71603128,0.858567673,0.802388902,0,0.749394878,0.697480717,0.666263304,0.785715184,0.1,0.749394878,0.8575902
2010-01-04 19:00:00+00:00,0.715298878,0.858586257,0.802399263,0,0.750203917,0.709363285,0.679157965,0.796762056,0.1,0.750203917,0.8572597
2010-01-04 20:00:00+00:00,0.714566812,0.858606923,0.802408982,0,0.7510114,0.721245463,0.692061537,0.807814816,0.1,0.7510114,0.8569292
2010-01-04 21:00:00+00:00,0.713835082,0.85862967,0.802418058,0,0.751226788,0.715238881,0.676387266,0.79460408,0.1,0.751226788,0.8565988
2010-01-04 22:00:00+00:00,0.713103688,0.858654498,0.802426493,0,0.752031162,0.727120277,0.689308661,0.805668613,0.1,0.752031162,0.8562683
2010-01-04 23:00:00+00:00,0.71237263,0.858681407,0.802434285,0,0.752833981,0.72746978,0.702238967,0.816739032,0.1,0.752833981,0.8559378
2010-01-05 00:00:00+00:00,0.711641908,0.85871042,0.802443793,0,0.753043001,0.721462025,0.68659143,0.803545956,0.1,0.753043001,0.8561906
2010-01-05 01:00:00+00:00,0.710911522,0.858741536,0.802455015,0,0.753248763,0.715453879,0.670952804,0.790358767,0.1,0.753248763,0.8564434
2010-01-05 02:00:00+00:00,0.710181472,0.858866486,0.802467954,0,0.754041809,0.727333713,0.683909844,0.801446846,0.1,0.754041809,0.8566962
2010-01-05 03:00:00+00:00,0.709451758,0.85890181,0.802482607,0,0.754241056,0.721324786,0.668289041,0.78827143,0.1,0.754241056,0.856949
2010-01-05 04:00:00+00:00,0.710885355,0.859085315,0.802709939,0,0.755027587,0.733203838,0.681263904,0.799371282,0.1,0.755027587,0.8572018
2010-01-05 05:00:00+00:00,0.710156313,0.859124847,0.802728023,0,0.75581086,0.72719413,0.671302587,0.78620764,0.1,0.75581086,0.8574546
2010-01-05 06:00:00+00:00,0.709427608,0.859166482,0.802747822,0,0.756590875,0.737900482,0.684295272,0.797319265,0.1,0.756590875,0.8577075
2010-01-05 07:00:00+00:00,0.708699238,0.859210221,0.802769337,0,0.756777092,0.731889992,0.668710115,0.784167396,0.1,0.756777092,0.857914
2010-01-05 08:00:00+00:00,0.707971204,0.859256063,0.802792567,0,0.757550592,0.735013109,0.681720623,0.795290795,0.1,0.757550592,0.8581034
2010-01-05 09:00:00+00:00,0.707243506,0.85930401,0.802817512,0,0.757730293,0.729001838,0.666153287,0.782150699,0.1,0.757730293,0.8582895
2010-01-05 10:00:00+00:00,0.706516144,0.85935406,0.802844173,0,0.758497278,0.739605502,0.679181618,0.793285871,0.1,0.758497278,0.8584755
2010-01-05 11:00:00+00:00,0.705789118,0.859406213,0.802872549,0,0.758670464,0.73359345,0.663632105,0.780157548,0.1,0.758670464,0.8586616
2010-01-05 12:00:00+00:00,0.705062429,0.85946047,0.80290264,0,0.758840392,0.727581006,0.648091504,0.767035112,0.1,0.758840392,0.8588477
2010-01-05 13:00:00+00:00,0.704336075,0.859516832,0.802934447,0,0.759597604,0.721568172,0.635527811,0.753918562,0.1,0.759597604,0.8590337
2010-01-05 14:00:00+00:00,0.703610057,0.859575296,0.802967969,0,0.759761017,0.715554947,0.620005033,0.740807899,0.1,0.759761017,0.8592198
2010-01-05 15:00:00+00:00,0.702884375,0.859635865,0.803003206,0,0.760511714,0.718366013,0.63307792,0.751972505,0.1,0.760511714,0.8594058
2010-01-05 16:00:00+00:00,0.70215903,0.859698537,0.803040158,0,0.761259153,0.726090755,0.646159718,0.763142997,0.1,0.761259153,0.8595919
2010-01-05 17:00:00+00:00,0.70143402,0.859763313,0.803078826,0,0.761412793,0.720076359,0.630663673,0.750049994,0.1,0.761412793,0.8597779
2010-01-05 18:00:00+00:00,0.700709347,0.859879523,0.803119209,0,0.762153716,0.731949941,0.643763294,0.76123226,0.1,0.762153716,0.859964
2010-01-05 19:00:00+00:00,0.699985009,0.859948507,0.803161308,0,0.762891382,0.735925947,0.656871826,0.772420412,0.1,0.762891382,0.86015
2010-01-05 20:00:00+00:00,0.699261007,0.860019594,0.803205121,0,0.76303525,0.729910378,0.641402515,0.759345069,0.1,0.76303525,0.8603361
2010-01-05 21:00:00+00:00,0.698537342,0.860092784,0.80325065,0,0.7637664,0.733715724,0.65452887,0.770544994,0.1,0.7637664,0.8605221
2010-01-05 22:00:00+00:00,0.697814012,0.860168079,0.803297895,0,0.763903752,0.727699373,0.639077382,0.757481424,0.1,0.763903752,0.8607082
2010-01-05 23:00:00+00:00,0.698682988,0.860391554,0.803557817,0,0.764628388,0.739571002,0.652221559,0.768693123,0.1,0.764628388,0.8608942
