,HE Vrutok,HE Tikvesh,HE Shpilje,HE Kozjak,HE Globochica,HDAM
2010-01-09 22:00:00+00:00,0.891603306,0.454902564,1.418224549,0.623886731,0.778085725,0.833340575
2010-01-09 23:00:00+00:00,0.889414894,0.453687038,1.418564813,0.622611957,0.778695101,0.832594761
2010-01-10 00:00:00+00:00,0.88848908,0.453255729,1.416869297,0.621734971,0.779304476,0.831930711
2010-01-10 01:00:00+00:00,0.887563265,0.452824384,1.415173605,0.620857906,0.779913852,0.831266602
2010-01-10 02:00:00+00:00,0.88663745,0.452393004,1.413477736,0.619980762,0.780523228,0.830602436
2010-01-10 03:00:00+00:00,0.885711635,0.451961588,1.411781691,0.619103539,0.781132604,0.829938211
2010-01-10 04:00:00+00:00,0.884785821,0.451530136,1.410085468,0.618226237,0.781741979,0.829273928
2010-01-10 05:00:00+00:00,0.883860006,0.451098648,1.408389067,0.617348855,0.782351355,0.828609586
2010-01-10 06:00:00+00:00,0.882934191,0.450667124,1.406692489,0.616471393,0.782960731,0.827945186
2010-01-10 07:00:00+00:00,0.882008377,0.450235565,1.404995733,0.615593852,0.783570106,0.827280727
2010-01-10 08:00:00+00:00,0.881082562,0.449803969,1.403298799,0.614716231,0.784179482,0.826616209
2010-01-10 09:00:00+00:00,0.880156747,0.449372337,1.401601686,0.61383853,0.784788858,0.825951632
2010-01-10 10:00:00+00:00,0.879230933,0.44894067,1.399904395,0.612960748,0.785398234,0.825286996
2010-01-10 11:00:00+00:00,0.878305118,0.448508966,1.398206925,0.612082887,0.786007609,0.824622301
2010-01-10 12:00:00+00:00,0.877379303,0.448077226,1.396509275,0.611204945,0.786616985,0.823957547
2010-01-10 13:00:00+00:00,0.876453488,0.44764545,1.394811446,0.610326922,0.787226361,0.823292733
2010-01-10 14:00:00+00:00,0.875527674,0.447213638,1.393113437,0.609448819,0.787835736,0.822627861
2010-01-10 15:00:00+00:00,0.874601859,0.446781789,1.391415248,0.608570636,0.788445112,0.821962929
2010-01-10 16:00:00+00:00,0.873676044,0.446349904,1.389716879,0.607692371,0.789054488,0.821297937
2010-01-10 17:00:00+00:00,0.87275023,0.445917983,1.38801833,0.606814025,0.789663863,0.820632886
2010-01-10 18:00:00+00:00,0.871824415,0.445486026,1.3863196,0.605935598,0.790273239,0.819967776
2010-01-10 19:00:00+00:00,0.8708986,0.445054032,1.384620688,0.60505709,0.790882615,0.819302605
2010-01-10 20:00:00+00:00,0.869972786,0.444622001,1.382921596,0.604178501,0.791491991,0.818637375
2010-01-10 21:00:00+00:00,0.869046971,0.444189934,1.381222322,0.603299829,0.792101366,0.817972084
2010-01-10 22:00:00+00:00,0.868121156,0.443757831,1.379522866,0.602421077,0.792710742,0.817306734
2010-01-10 23:00:00+00:00,0.867195341,0.443325691,1.377823228,0.601542242,0.793320118,0.816641324
2010-01-11 00:00:00+00:00,0.863436087,0.442482001,1.373405287,0.600612256,0.793929493,0.814773025
2010-01-11 01:00:00+00:00,0.859676833,0.441638172,1.36898611,0.599682178,0.794538869,0.812904432
2010-01-11 02:00:00+00:00,0.855917578,0.440794202,1.364565692,0.598752008,0.795148245,0.811035545
2010-01-11 03:00:00+00:00,0.852158324,0.439950092,1.360144028,0.597821746,0.795757621,0.809166362
2010-01-11 04:00:00+00:00,0.84839907,0.439105841,1.355721115,0.596891391,0.796366996,0.807296883
2010-01-11 05:00:00+00:00,0.844639815,0.438261448,1.351296946,0.595960944,0.796976372,0.805427105
2010-01-11 06:00:00+00:00,0.840880561,0.437416915,1.346871517,0.595030404,0.797585748,0.803557029
2010-01-11 07:00:00+00:00,0.837121307,0.436572239,1.342444824,0.594099771,0.798195123,0.801686653
2010-01-11 08:00:00+00:00,0.833362052,0.435727421,1.338016861,0.593169045,0.798804499,0.799815976
2010-01-11 09:00:00+00:00,0.829602798,0.434882461,1.333587623,0.592238226,0.799413875,0.797944997
2010-01-11 10:00:00+00:00,0.825843544,0.434037358,1.329157106,0.591307313,0.80002325,0.796073714
2010-01-11 11:00:00+00:00,0.822084289,0.433192112,1.324725304,0.590376307,0.800632626,0.794202128
2010-01-11 12:00:00+00:00,0.818325035,0.432346723,1.320292212,0.589445207,0.801242002,0.792330236
2010-01-11 13:00:00+00:00,0.814565781,0.431501189,1.315857826,0.588514013,0.801851378,0.790458037
2010-01-11 14:00:00+00:00,0.810806527,0.430655512,1.31142214,0.587582725,0.802460753,0.788585531
2010-01-11 15:00:00+00:00,0.807047272,0.42980969,1.306985149,0.586651343,0.803070129,0.786712717
2010-01-11 16:00:00+00:00,0.803288018,0.428963724,1.302546847,0.585719867,0.803679505,0.784839592
2010-01-11 17:00:00+00:00,0.799528764,0.428117612,1.298107231,0.584788296,0.80428888,0.782966157
2010-01-11 18:00:00+00:00,0.795769509,0.427271355,1.293666293,0.58385663,0.804898256,0.781092409
