Total,Coal,Fuel,Gas,Nuclear,Water,Wind,Other
6445090,551400,0,2088645,2845400,16030,377127,566488
6586708,550000,0,2234319,2843000,41258,376075,542056
6813989,590600,0,2321559,2844000,171820,364397,521613
7132973,602600,0,2503753,2844600,308553,356198,517269
7162753,599600,0,2528597,2845600,287347,377097,524512
7285815,603600,0,2628543,2842200,332455,374866,504151
7353514,614600,0,2673420,2844600,375372,346344,499178
7209751,620800,0,2581746,2844200,314251,353073,495681
7221382,607800,0,2575686,2844800,319678,367560,505858
7171750,567400,0,2574437,2845200,325876,338215,520622
7149165,561800,0,2616248,2844200,297792,296089,533036
7242875,602400,0,2633770,2845000,335877,296345,529483
7305136,614400,0,2642068,2849800,338145,334869,525854
7337429,614400,0,2639726,2849200,371612,341047,521444
7430141,620000,0,2670849,2851800,430582,345059,511851
7374036,618800,0,2590843,2847800,462814,341959,511820
7355483,613800,0,2570285,2848000,436705,358401,528292
7480138,611800,0,2597154,2841600,519767,369436,540381
7398482,617400,0,2543248,2840000,508177,361327,528330
7366672,619600,0,2602666,2841200,446553,353142,503511
7298521,619200,0,2574061,2843000,407899,341206,513155
7242559,619000,0,2540678,2840600,380959,338752,522570
7214196,623600,0,2518258,2842600,354234,349767,525737
6955318,619800,0,2556363,2840800,57747,306821,573787
6964645,618000,0,2616044,2841400,48667,254973,585561
6961247,619200,0,2659303,2840800,42942,212788,586214
6880779,618600,0,2601850,2841400,14226,218660,586043
6955942,615000,0,2667260,2839000,13578,234158,586946
6924456,615800,0,2657612,2839400,13968,230135,567541
6902582,611000,0,2646413,2840000,14329,264962,525878
6920337,609200,0,2619079,2840800,15844,294253,541161
6908313,613600,0,2659866,2839400,13994,240237,541216
6947259,619400,0,2656673,2841400,15453,253466,560867
6984067,619400,0,2694535,2842400,15053,273779,538900
7014547,617800,0,2717787,2841800,14790,284762,537608
6770739,612800,0,2450640,2842800,14978,306141,543380
6753110,616400,0,2406778,2843600,15571,321939,548822
6969348,617600,0,2616397,2842600,15134,332307,545310
6963895,618400,0,2577151,2844600,23787,351761,548196
7239747,617400,0,2713409,2842800,153323,359779,553036
7362813,620000,0,2772594,2843600,179303,362053,585263
7515786,620800,0,2815690,2844400,335606,342532,556758
7582152,620600,0,2790235,2843600,412780,341745,573192
7613932,621200,0,2759931,2848400,513972,334792,535637
7641754,620600,0,2796548,2846000,508223,329936,540447
7669646,624000,0,2821955,2850000,494591,318999,560101
7763861,622400,0,2838956,2852600,534790,318486,596629
8158754,622600,0,2837449,2851600,934954,306813,605338
8323328,621400,0,2863574,2852200,1104547,286550,595057
8303098,619200,0,2866931,2851600,1090770,275544,599053
8316671,619600,0,2864036,2851200,1074016,304559,603260
8045331,617600,0,2889275,2851200,761277,324198,601781
7910192,616400,0,2889641,2852200,626520,328790,596641
7817404,618800,0,2857167,2851200,581132,316904,592201
7575899,622000,0,2799906,2849800,407205,304845,592143
7254173,620000,0,2584599,2850800,301882,300108,596784
7074487,619400,0,2492167,2849800,192117,325965,595038
6910171,619200,0,2412211,2848800,86787,343803,599370
6808098,616000,0,2390832,2849800,36898,315135,599433
6890021,620000,0,2495003,2849400,12683,315966,596969
7021390,616400,0,2614620,2850000,12712,326284,601374
7058518,614800,0,2689142,2849400,13093,294662,597421
6950876,612000,0,2589629,2849600,13286,281757,604604
6865677,612800,0,2492651,2849200,13703,302068,595255
6818527,612200,0,2395487,2850800,14052,350603,595385
6645362,613200,0,2234192,2849200,14129,345891,588750
6589095,612000,0,2247225,2850800,14717,315659,548694
6316940,586800,0,2043105,2847800,15151,277865,546219
6247090,581000,0,2002023,2849800,15610,256512,542145
6147596,581600,0,1920133,2850200,15762,235023,544878
6151310,572800,0,1917431,2849800,16015,252173,543091
6102260,500400,0,1926877,2849200,16023,245191,564569
6062264,467000,0,1958673,2849800,15923,227713,543155
6157331,464600,0,2084673,2848200,15997,201939,541922
6029497,463600,0,1939465,2850800,15968,216021,543643
5969134,428600,0,1922472,2848200,15893,215697,538272
5967732,410200,0,1936908,2850200,16014,211592,542818
5951227,417600,0,1893364,2848400,15830,211121,564912
5905454,412400,0,1888637,2849000,15956,196521,542940
5925828,419200,0,1932511,2848400,16021,173607,536089
5951296,418600,0,1944852,2849800,15949,165945,556150
5931927,420200,0,1933109,2849800,15908,160591,552319
5934379,420600,0,1961495,2849800,15768,160511,526205
5930806,443000,0,1936343,2849800,15773,155281,530609
5976147,447800,0,1953434,2849200,16516,146117,563080
5928648,445000,0,1933856,2848800,16697,144194,540101
6020798,462800,0,2017308,2850200,16788,143838,529864
5988604,516800,0,1924928,2850600,16669,152652,526955
6008647,534200,0,1926993,2849600,16675,147710,533469
6125465,534400,0,2042616,2851200,17033,143870,536346
6313970,569600,0,2177109,2851000,17262,161274,537725
6400324,615600,0,2224995,2853000,20797,166670,519262
6423680,614600,0,2255235,2852000,23183,157512,521150
6558392,608800,0,2408040,2852400,24170,127759,537223
6697995,613600,0,2547473,2853000,24955,100707,558260
6911934,607200,0,2753846,2851400,25028,100884,573576
7052886,612600,0,2887557,2849000,25073,110995,567661
7172217,610800,0,2992973,2847600,50943,108450,561451
7373332,607200,0,2979274,2849600,275008,106342,555908
7378566,602600,0,2885454,2849600,367203,141771,531938
7303152,605800,0,2905032,2851200,314808,94247,532065
7366181,606600,0,2951249,2851200,305788,87872,563472
7493801,606800,0,3012525,2849400,311355,155834,557887
7529999,604600,0,2930447,2849200,428507,170810,546435
7555802,607400,0,2950596,2849400,444996,144181,559229
7651662,611400,0,3033040,2849800,481173,143938,532311
7695153,607400,0,3048032,2850400,485551,153410,550360
7624661,602400,0,3009671,2853400,437255,160712,561223
7536546,604400,0,2930128,2860000,434035,165367,542616
7594759,609200,0,2942135,2862000,441304,193398,546722
7578616,611800,0,2920017,2863000,438366,193872,551561
7627847,615400,0,2914435,2862000,489775,199373,546864
