,IT_P2HT_OTH,IT_STUR_BIO_CHP,IT_COMC_GAS_CHP,IT_ICEN_GAS_CHP
2016-03-18 04:00:00,30920.683405730346,9287.030303826929,782.3283242048827,630.9442481767172
2016-03-18 05:00:00,38140.27260808744,11455.434631237309,964.9921110305312,778.2617644700915
2016-03-18 06:00:00,37353.550365085255,11219.142528129978,945.0871469032331,762.2085011051905
2016-03-18 07:00:00,35307.420553520176,10604.587237866019,893.3177443456328,720.4567125470292
2016-03-18 08:00:00,32368.621788051358,9721.918739449195,818.9628058341989,660.4897915934724
2016-03-18 09:00:00,29945.9736654362,8994.276137408038,757.6670634007578,611.05505309617
2016-03-18 10:00:00,27664.587824023085,8309.06167542759,699.9454167360303,564.5028066395265
2016-03-18 11:00:00,26784.415148841075,8044.701725818558,677.6760507925061,546.542663924651
2016-03-18 12:00:00,26576.324942301133,7982.201811806051,672.4111327947469,542.2965314186032
2016-03-18 13:00:00,26508.953700497077,7961.966852700176,670.7065640435142,540.9218044453659
2016-03-18 14:00:00,27402.70928733313,8230.406431161198,693.3195930417224,559.1591098564585
2016-03-18 15:00:00,28519.224625295486,8565.751922794878,721.5686961367486,581.9418834855137
2016-03-18 16:00:00,29660.189204235125,8908.440746362143,750.4363927302061,605.2235499677598
2016-03-18 17:00:00,31199.94806933747,9370.907473023868,789.3940366091862,636.6427132109433
2016-03-18 18:00:00,32418.063586472075,9736.768588470442,820.2137393532488,661.4986638077031
2016-03-18 19:00:00,31410.75485820823,9434.223312806773,794.7276872178821,640.9442782562345
2016-03-18 20:00:00,28762.630402135946,8638.858871822562,727.7271380766862,586.9086390017262
2016-03-18 21:00:00,21707.12277255969,6519.736460944234,549.2148009516206,442.9392480786559
2016-03-18 22:00:00,15669.24688410436,4706.25984365709,396.44969988348157,319.73488635617946
2016-03-18 23:00:00,14483.730354939458,4350.189837455295,366.4547884706606,295.5441262303409
2016-03-19 00:00:00,14861.878615388025,4463.766704694731,376.02236791306365,303.2603356930282
2016-03-19 01:00:00,15655.663972450317,4702.180214805099,396.1060368287976,319.45772365996226
2016-03-19 02:00:00,17473.600868227473,5248.197740355606,442.10190006770637,356.5531789216743
2016-03-19 03:00:00,22834.504439845285,6858.3456556595065,577.7388344903941,465.9437518646848
2016-03-19 04:00:00,33026.034712107066,9919.372775885571,835.5960976809054,673.9044660903857
2016-03-19 05:00:00,39268.1975918392,11794.207011106664,993.5298910914921,801.2773547639691
2016-03-19 06:00:00,38376.6152708678,11526.420173261959,970.9718481820332,783.0843953842711
2016-03-19 07:00:00,36228.34196366431,10881.186074031024,916.6180994532091,739.2483433505563
2016-03-19 08:00:00,33260.204109022765,9989.7055772939,841.5208487436579,678.6827509731705
2016-03-19 09:00:00,30606.64648828886,9192.709284768893,774.3828343805884,624.5362466401754
2016-03-19 10:00:00,28853.364251984956,8666.110792553864,730.0228072819755,588.7600858124572
2016-03-19 11:00:00,27734.675648157943,8330.112560303864,701.7187180981998,565.9329661520073
2016-03-19 12:00:00,26933.827177035553,8089.5776431904615,681.4563443940302,549.5914535830403
2016-03-19 13:00:00,26360.628305234924,7917.417305636431,666.9537634863647,537.8951878026738
2016-03-19 14:00:00,27508.112681768507,8262.064351052652,695.9864183460704,561.3098923791042
2016-03-19 15:00:00,28750.134123414224,8635.105613278729,727.410968066377,586.6536493212063
2016-03-19 16:00:00,30508.84952437975,9163.335957034555,771.9084603868633,622.5406752274114
2016-03-19 17:00:00,32428.38659932915,9739.869106397955,820.4749232748086,661.7093074568282
2016-03-19 18:00:00,33577.500925261214,10085.005707276416,849.5488177010765,685.1572715568046
2016-03-19 19:00:00,32646.799818726173,9805.469538337975,826.0010251941277,666.1660836120011
2016-03-19 20:00:00,29917.177892729625,8985.627324241817,756.9384977248277,610.4674681801896
2016-03-19 21:00:00,22814.945047063462,6852.47099011264,577.243959691649,465.54463758213205
2016-03-19 22:00:00,16597.774724774757,4985.14327197921,419.9425063016809,338.68172826958823
2016-03-19 23:00:00,17138.37460860568,5147.512500288462,433.62029587810486,349.7128035790335
2016-03-20 00:00:00,18522.744964385776,5563.308272883409,468.6464344114998,377.96122557749203
2016-03-20 01:00:00,18411.908405288785,5530.01850145116,465.84214388527823,375.69957797635954
2016-03-20 02:00:00,20948.65298579791,6291.929985849042,530.0246559780651,427.4624831218866
2016-03-20 03:00:00,27609.712860940745,8292.579974865546,698.557017995107,563.3830693468091
2016-03-20 04:00:00,39640.91268762614,11906.152026805301,1002.9600053120214,808.8826991481694
2016-03-20 05:00:00,43741.8653742149,13137.873569798496,1106.7187547822198,892.5636603900712
2016-03-20 06:00:00,42083.12020302313,12639.669294393325,1064.7506225442075,858.7165519280246
2016-03-20 07:00:00,39414.34972123671,11838.103817554089,997.227705559892,804.2596253752663
2016-03-20 08:00:00,36469.57447464012,10953.640282442388,922.7215553043972,744.170752835374
2016-03-20 09:00:00,33999.11450300271,10211.637386842222,860.2161189184682,693.7604016473869
2016-03-20 10:00:00,32183.350873090207,9666.272601908035,814.275241768309,656.7092924170697
2016-03-20 11:00:00,31084.764978511186,9336.312220358983,786.4797739054657,634.2923735470213
2016-03-20 12:00:00,30857.658695655584,9268.10082595369,780.733727631149,629.6582132662695
2016-03-20 13:00:00,31324.36754008851,9408.276873308108,792.5419901900917,639.181523508293
2016-03-20 14:00:00,32325.699787224585,9709.027112276903,817.8768305813975,659.613957473426
2016-03-20 15:00:00,34044.75308616031,10225.344939784913,861.3708267822067,694.6916683066769
2016-03-20 16:00:00,35808.35833532128,10755.043949927454,905.9920378023793,730.67847278352
2016-03-20 17:00:00,37444.82753140043,11246.557634015358,947.3965626307096,764.0710344237701
