,HE Piva,HE Perucica,HE Pljevlja,HDAM
2010-01-12 12:00:00+00:00,1.096512082,1.485247017,8.660832298,3.747530466
2010-01-12 13:00:00+00:00,1.090689131,1.472903391,8.626889995,3.730160839
2010-01-12 14:00:00+00:00,1.084866181,1.460559765,8.592947693,3.712791213
2010-01-12 15:00:00+00:00,1.07904323,1.44821614,8.559005391,3.695421587
2010-01-12 16:00:00+00:00,1.07322028,1.435872514,8.525063089,3.678051961
2010-01-12 17:00:00+00:00,1.067397329,1.423528888,8.491120786,3.660682334
2010-01-12 18:00:00+00:00,1.061574379,1.411185262,8.457178484,3.643312708
2010-01-12 19:00:00+00:00,1.055751428,1.398841637,8.423236182,3.625943082
2010-01-12 20:00:00+00:00,1.049928478,1.386498011,8.38929388,3.608573456
2010-01-12 21:00:00+00:00,1.044105527,1.374154385,8.355351577,3.59120383
2010-01-12 22:00:00+00:00,1.038282577,1.36181076,8.321409275,3.573834204
2010-01-12 23:00:00+00:00,1.032459626,1.349467134,8.287466973,3.556464578
2010-01-13 00:00:00+00:00,1.026636675,1.340654142,8.253524671,3.540271829
2010-01-13 01:00:00+00:00,1.021168668,1.331841149,8.213762813,3.522257543
2010-01-13 02:00:00+00:00,1.015700661,1.323028157,8.174000955,3.504243258
2010-01-13 03:00:00+00:00,1.010232654,1.314215165,8.134239098,3.486228972
2010-01-13 04:00:00+00:00,1.004764646,1.305402173,8.09447724,3.468214686
2010-01-13 05:00:00+00:00,0.999296639,1.29658918,8.054715383,3.450200401
2010-01-13 06:00:00+00:00,0.993828632,1.287776188,8.014953525,3.432186115
2010-01-13 07:00:00+00:00,0.988360625,1.278963196,7.975191667,3.414171829
2010-01-13 08:00:00+00:00,0.982892617,1.270150204,7.93542981,3.396157544
2010-01-13 09:00:00+00:00,0.97742461,1.261337211,7.895667952,3.378143258
2010-01-13 10:00:00+00:00,0.971956603,1.252524219,7.855906095,3.360128972
2010-01-13 11:00:00+00:00,0.966488596,1.243711227,7.816144237,3.342114687
2010-01-13 12:00:00+00:00,0.961020588,1.234898235,7.776382379,3.324100401
2010-01-13 13:00:00+00:00,0.955552581,1.226085242,7.736620522,3.306086115
2010-01-13 14:00:00+00:00,0.950084574,1.21727225,7.696858664,3.288071829
2010-01-13 15:00:00+00:00,0.944616566,1.208459258,7.657096807,3.270057544
2010-01-13 16:00:00+00:00,0.939148559,1.199646266,7.617334949,3.252043258
2010-01-13 17:00:00+00:00,0.933680552,1.190833273,7.577573091,3.234028972
2010-01-13 18:00:00+00:00,0.928212545,1.182020281,7.537811234,3.216014687
2010-01-13 19:00:00+00:00,0.922744537,1.173207289,7.498049376,3.198000401
2010-01-13 20:00:00+00:00,0.91727653,1.164394297,7.458287519,3.179986115
2010-01-13 21:00:00+00:00,0.911808523,1.155581305,7.418525661,3.16197183
2010-01-13 22:00:00+00:00,0.906340516,1.146768312,7.378763803,3.143957544
2010-01-13 23:00:00+00:00,0.900872508,1.13795532,7.339001946,3.125943258
2010-01-14 00:00:00+00:00,0.895404501,1.131064687,7.299240088,3.108569759
2010-01-14 01:00:00+00:00,0.890665583,1.124174053,7.260979781,3.091939806
2010-01-14 02:00:00+00:00,0.885926665,1.11728342,7.222719475,3.075309853
2010-01-14 03:00:00+00:00,0.881187746,1.110392786,7.184459168,3.0586799
2010-01-14 04:00:00+00:00,0.876448828,1.103502153,7.146198861,3.042049947
2010-01-14 05:00:00+00:00,0.87170991,1.096611519,7.107938554,3.025419994
2010-01-14 06:00:00+00:00,0.866970991,1.089720886,7.069678247,3.008790041
2010-01-14 07:00:00+00:00,0.862232073,1.082830253,7.03141794,2.992160089
2010-01-14 08:00:00+00:00,0.857493155,1.075939619,6.993157634,2.975530136
2010-01-14 09:00:00+00:00,0.852754236,1.069048986,6.954897327,2.958900183
2010-01-14 10:00:00+00:00,0.848015318,1.062158352,6.91663702,2.94227023
2010-01-14 11:00:00+00:00,0.8432764,1.055267719,6.878376713,2.925640277
2010-01-14 12:00:00+00:00,0.838537482,1.048377085,6.840116406,2.909010324
2010-01-14 13:00:00+00:00,0.833798563,1.041486452,6.801856099,2.892380371
2010-01-14 14:00:00+00:00,0.829059645,1.034595819,6.763595793,2.875750419
2010-01-14 15:00:00+00:00,0.824320727,1.027705185,6.725335486,2.859120466
2010-01-14 16:00:00+00:00,0.819581808,1.020814552,6.687075179,2.842490513
2010-01-14 17:00:00+00:00,0.81484289,1.013923918,6.648814872,2.82586056
2010-01-14 18:00:00+00:00,0.810103972,1.007033285,6.610554565,2.809230607
2010-01-14 19:00:00+00:00,0.805365054,1.000142651,6.572294258,2.792600654
2010-01-14 20:00:00+00:00,0.800626135,0.993252018,6.534033952,2.775970702
2010-01-14 21:00:00+00:00,0.795887217,0.986361384,6.495773645,2.759340749
2010-01-14 22:00:00+00:00,0.791148299,0.979470751,6.457513338,2.742710796
2010-01-14 23:00:00+00:00,0.78640938,0.972580118,6.419253031,2.726080843
2010-01-15 00:00:00+00:00,0.781670462,0.966949748,6.380992724,2.709870978
