year,month,day,hour,min,Vertical load [kW],index
2012,10,4,13,0,9608317,341
2012,10,4,13,15,9603135,342
2012,10,4,13,30,9479462,343
2012,10,4,13,45,9437094,344
2012,10,4,14,0,9449098,345
2012,10,4,14,15,9363156,346
2012,10,4,14,30,9346848,347
2012,10,4,14,45,9260177,348
2012,10,4,15,0,9242469,349
2012,10,4,15,15,9156354,350
2012,10,4,15,30,9176606,351
2012,10,4,15,45,9213766,352
2012,10,4,16,0,9176464,353
2012,10,4,16,15,9243197,354
2012,10,4,16,30,9503025,355
2012,10,4,16,45,9380297,356
2012,10,4,17,0,9562930,357
2012,10,4,17,15,9639696,358
2012,10,4,17,30,9671627,359
2012,10,4,17,45,9974789,360
2012,10,4,18,0,10121668,361
2012,10,4,18,15,10191385,362
2012,10,4,18,30,10235445,363
2012,10,4,18,45,10207553,364
2012,10,4,19,0,10246388,365
2012,10,4,19,15,10222651,366
2012,10,4,19,30,10553803,367
2012,10,4,19,45,10795285,368
2012,10,4,20,0,10867787,369
2012,10,4,20,15,10709149,370
2012,10,4,20,30,10479273,371
2012,10,4,20,45,10424904,372
2012,10,4,21,0,10171720,373
2012,10,4,21,15,9985202,374
2012,10,4,21,30,9978322,375
2012,10,4,21,45,9647438,376
2012,10,4,22,0,9457493,377
2012,10,4,22,15,9716991,378
2012,10,4,22,30,9739020,379
2012,10,4,22,45,9810991,380
2012,10,4,23,0,9664973,381
2012,10,4,23,15,9836848,382
2012,10,4,23,30,9640937,383
2012,10,4,23,45,9453676,384
2012,10,5,0,0,9182475,385
2012,10,5,0,15,9040932,386
2012,10,5,0,30,8684797,387
2012,10,5,0,45,8711738,388
2012,10,5,1,0,8496806,389
2012,10,5,1,15,8390589,390
2012,10,5,1,30,8330077,391
2012,10,5,1,45,8093267,392
2012,10,5,2,0,8052017,393
2012,10,5,2,15,7917466,394
2012,10,5,2,30,7884467,395
2012,10,5,2,45,7853686,396
2012,10,5,3,0,7848701,397
2012,10,5,3,15,7790977,398
2012,10,5,3,30,7840469,399
2012,10,5,3,45,7805363,400
2012,10,5,4,0,7895987,401
2012,10,5,4,15,7784703,402
2012,10,5,4,30,7854130,403
2012,10,5,4,45,7916024,404
2012,10,5,5,0,7910845,405
2012,10,5,5,15,8003218,406
2012,10,5,5,30,7945779,407
2012,10,5,5,45,8245824,408
2012,10,5,6,0,8314475,409
2012,10,5,6,15,8730924,410
2012,10,5,6,30,9118630,411
2012,10,5,6,45,9291605,412
2012,10,5,7,0,9556684,413
2012,10,5,7,15,9877485,414
2012,10,5,7,30,10114965,415
2012,10,5,7,45,10206027,416
2012,10,5,8,0,10263792,417
2012,10,5,8,15,10167368,418
2012,10,5,8,30,10388921,419
2012,10,5,8,45,10294024,420
2012,10,5,9,0,10386889,421
2012,10,5,9,15,10623175,422
2012,10,5,9,30,10650514,423
2012,10,5,9,45,10634310,424
2012,10,5,10,0,10740223,425
2012,10,5,10,15,10689783,426
2012,10,5,10,30,10661964,427
2012,10,5,10,45,10644315,428
2012,10,5,11,0,10649311,429
2012,10,5,11,15,10613782,430
2012,10,5,11,30,10735885,431
2012,10,5,11,45,10763147,432
2012,10,5,12,0,10745200,433
2012,10,5,12,15,10603796,434
2012,10,5,12,30,10512159,435
2012,10,5,12,45,10532593,436
2012,10,5,13,0,10321668,437
2012,10,5,13,15,10388438,438
2012,10,5,13,30,10354882,439
2012,10,5,13,45,10317059,440
2012,10,5,14,0,10232924,441
2012,10,5,14,15,10158782,442
2012,10,5,14,30,10234450,443
2012,10,5,14,45,10134311,444
2012,10,5,15,0,10116346,445
2012,10,5,15,15,10160930,446
2012,10,5,15,30,9965999,447
2012,10,5,15,45,9913961,448
2012,10,5,16,0,9752891,449
2012,10,5,16,15,9805307,450
2012,10,5,16,30,9695837,451
2012,10,5,16,45,9703050,452
2012,10,5,17,0,9731588,453
2012,10,5,17,15,9744697,454
2012,10,5,17,30,9946622,455
2012,10,5,17,45,10054249,456
2012,10,5,18,0,10169640,457
2012,10,5,18,15,10117816,458
2012,10,5,18,30,10113901,459
2012,10,5,18,45,10171775,460
2012,10,5,19,0,10135596,461
2012,10,5,19,15,10356420,462
2012,10,5,19,30,10488785,463
2012,10,5,19,45,10523770,464
2012,10,5,20,0,10446329,465
2012,10,5,20,15,10298125,466
2012,10,5,20,30,10206886,467
2012,10,5,20,45,10123542,468
2012,10,5,21,0,9663950,469
2012,10,5,21,15,9698696,470
2012,10,5,21,30,9548175,471
2012,10,5,21,45,9511126,472
2012,10,5,22,0,9320749,473
2012,10,5,22,15,9508916,474
2012,10,5,22,30,9759640,475
2012,10,5,22,45,9820506,476
2012,10,5,23,0,9698936,477
2012,10,5,23,15,9801548,478
