,HE Jablanica,HE Dubrovnik,HE Trebinje 1,HE Trebinje 2,HE Rama,HE Salakovac,HE Bocac,HE Visegrad,RHE Capljina
2010-01-07 11:00:00+00:00,0.33898429,1.399284288,1.665144025,0,0.648292207,0.710136298,0.49903797,0.5526954,1.679148419
2010-01-07 12:00:00+00:00,0.339062734,1.399818462,1.662029107,0,0.649908179,0.710112899,0.49936824,0.552980206,1.678827354
2010-01-07 13:00:00+00:00,0.339141177,1.400352636,1.658914188,0,0.65152415,0.7100895,0.49969851,0.553265013,1.678506288
2010-01-07 14:00:00+00:00,0.33921962,1.400886811,1.655799269,0,0.653140121,0.710066101,0.50002878,0.553549819,1.678185223
2010-01-07 15:00:00+00:00,0.339298063,1.401420985,1.65268435,0,0.654756093,0.710042702,0.50035905,0.553834626,1.677864157
2010-01-07 16:00:00+00:00,0.339376506,1.401955159,1.649569431,0,0.656372064,0.710019303,0.50068932,0.554119432,1.677543092
2010-01-07 17:00:00+00:00,0.339454949,1.402489333,1.646454512,0,0.657988035,0.709995904,0.50101959,0.554404239,1.677222026
2010-01-07 18:00:00+00:00,0.339533393,1.403023507,1.643339593,0,0.659604007,0.709972505,0.50134986,0.554689045,1.676900961
2010-01-07 19:00:00+00:00,0.339611836,1.403557682,1.640224674,0,0.661219978,0.709949106,0.50168013,0.554973852,1.676579896
2010-01-07 20:00:00+00:00,0.339690279,1.404091856,1.637109755,0,0.662835949,0.709925707,0.5020104,0.555258658,1.67625883
2010-01-07 21:00:00+00:00,0.339768722,1.40462603,1.633994836,0,0.66445192,0.709902308,0.50234067,0.555543465,1.675937765
2010-01-07 22:00:00+00:00,0.339847165,1.405160204,1.630879917,0,0.666067892,0.709878909,0.50267094,0.555828271,1.675616699
2010-01-07 23:00:00+00:00,0.339925608,1.405694378,1.627764998,0,0.667683863,0.70985551,0.50300121,0.556113077,1.675295634
2010-01-08 00:00:00+00:00,0.340004052,1.438775439,1.642895201,0,0.675810228,0.709832111,0.50333148,0.556397884,1.700357151
2010-01-08 01:00:00+00:00,0.340082495,1.471856499,1.658025404,0,0.683936592,0.709808712,0.50366175,0.55668269,1.725418668
2010-01-08 02:00:00+00:00,0.340160938,1.504937559,1.673155607,0,0.692062957,0.709785313,0.50399202,0.556967497,1.750480185
2010-01-08 03:00:00+00:00,0.340239381,1.538018619,1.688285809,0,0.700189321,0.709761914,0.50432229,0.557252303,1.775541703
2010-01-08 04:00:00+00:00,0.340317824,1.57109968,1.703416012,0,0.708315686,0.709738515,0.50465256,0.55753711,1.80060322
2010-01-08 05:00:00+00:00,0.340396267,1.60418074,1.718546215,0,0.71644205,0.709715116,0.50498283,0.557821916,1.825664737
2010-01-08 06:00:00+00:00,0.340474711,1.6372618,1.733676418,0,0.724568415,0.709691717,0.5053131,0.558106723,1.850726254
2010-01-08 07:00:00+00:00,0.340553154,1.67034286,1.74880662,0,0.732694779,0.709668318,0.50564337,0.558391529,1.875787771
2010-01-08 08:00:00+00:00,0.340631597,1.703423921,1.763936823,0,0.740821144,0.709644919,0.50597364,0.558676335,1.900849289
2010-01-08 09:00:00+00:00,0.34071004,1.736504981,1.779067026,0,0.748947508,0.70962152,0.50630391,0.558961142,1.925910806
2010-01-08 10:00:00+00:00,0.340788483,1.769586041,1.794197229,0,0.757073873,0.709598121,0.50663418,0.559245948,1.950972323
2010-01-08 11:00:00+00:00,0.340866926,1.802667101,1.809327431,0,0.765200237,0.709574722,0.50696445,0.559530755,1.97603384
2010-01-08 12:00:00+00:00,0.34094537,1.835748162,1.824457634,0,0.773326601,0.709551323,0.50729472,0.559815561,2.001095357
2010-01-08 13:00:00+00:00,0.341023813,1.868829222,1.839587837,0,0.781452966,0.709527924,0.50762499,0.560100368,2.026156875
2010-01-08 14:00:00+00:00,0.341102256,1.901910282,1.85471804,0,0.78957933,0.709504525,0.50795526,0.560385174,2.051218392
2010-01-08 15:00:00+00:00,0.341180699,1.934991342,1.869848242,0,0.797705695,0.709481126,0.50828553,0.560669981,2.076279909
2010-01-08 16:00:00+00:00,0.341259142,1.968072403,1.884978445,0,0.805832059,0.709457727,0.5086158,0.560954787,2.101341426
2010-01-08 17:00:00+00:00,0.341337585,2.001153463,1.900108648,0,0.813958424,0.709434328,0.50894607,0.561239594,2.126402943
2010-01-08 18:00:00+00:00,0.341416029,2.034234523,1.915238851,0,0.822084788,0.709410929,0.50927634,0.5615244,2.151464461
2010-01-08 19:00:00+00:00,0.341494472,2.067315583,1.930369054,0,0.830211153,0.70938753,0.50960661,0.561809206,2.176525978
2010-01-08 20:00:00+00:00,0.341572915,2.100396644,1.945499256,0,0.838337517,0.709364131,0.50993688,0.562094013,2.201587495
2010-01-08 21:00:00+00:00,0.341651358,2.133477704,1.960629459,0,0.846463882,0.709340732,0.51026715,0.562378819,2.226649012
2010-01-08 22:00:00+00:00,0.341729801,2.166558764,1.975759662,0,0.854590246,0.709317333,0.51059742,0.562663626,2.251710529
2010-01-08 23:00:00+00:00,0.341808244,2.199639824,1.990889865,0,0.862716611,0.709293934,0.51092769,0.562948432,2.276772047
2010-01-09 00:00:00+00:00,0.341886688,2.190783985,2.000383081,0,0.869014834,0.709270535,0.51125796,0.563233239,2.277484628
2010-01-09 01:00:00+00:00,0.341965131,2.181928146,2.009876297,0,0.875313057,0.709247136,0.51158823,0.563518045,2.27819721
2010-01-09 02:00:00+00:00,0.342043574,2.173072307,2.019369513,0,0.88161128,0.709223737,0.5119185,0.563802852,2.278909792
2010-01-09 03:00:00+00:00,0.342122017,2.164216468,2.028862728,0,0.887909504,0.709200338,0.51224877,0.564087658,2.279622373
2010-01-09 04:00:00+00:00,0.34220046,2.155360629,2.038355944,0,0.894207727,0.709176939,0.51257904,0.564372465,2.280334955
2010-01-09 05:00:00+00:00,0.342278903,2.146504789,2.04784916,0,0.90050595,0.70915354,0.51290931,0.564657271,2.281047536
2010-01-09 06:00:00+00:00,0.342357347,2.13764895,2.057342376,0,0.906804173,0.709130141,0.51323958,0.564942077,2.281760118
