,LT_P2HT_OTH,LT_STUR_BIO_CHP,LT_COMC_GAS_CHP
2016-02-04 08:00:00,1072.8980854097554,815.4441933305662,1625.219956320205
2016-02-04 09:00:00,1029.9647271270571,782.8131744221523,1560.1847478304467
2016-02-04 10:00:00,995.9667378270527,756.9733827992458,1508.684785777643
2016-02-04 11:00:00,982.6726522674356,746.8693617159298,1488.5469801031493
2016-02-04 12:00:00,975.9166415732041,741.7345313293267,1478.313013284964
2016-02-04 13:00:00,1015.363026594363,771.7153151994936,1538.066174384691
2016-02-04 14:00:00,1063.308908940523,808.1560469753874,1610.6943259976192
2016-02-04 15:00:00,1091.6405666905268,829.6892066611427,1653.6109610416222
2016-02-04 16:00:00,1067.885561346293,811.6344804630863,1617.6270131970352
2016-02-04 17:00:00,1070.0649196347545,813.2908773619905,1620.9282928158045
2016-02-04 18:00:00,1043.9126201732129,793.4141145751394,1581.3129373905708
2016-02-04 19:00:00,968.72475922128,736.2684215629425,1467.4187905430247
2016-02-04 20:00:00,845.8089517520332,642.8476364647424,1281.2266200444271
2016-02-04 21:00:00,708.2914437500921,538.3289921438839,1072.9158761000745
2016-02-04 22:00:00,631.5780319962361,480.02382130245394,956.7108335193893
2016-02-04 23:00:00,632.4497753116208,480.68638006201564,958.0313453668972
2016-02-05 00:00:00,642.4748234385452,488.30580579697516,973.2172316132365
2016-02-05 01:00:00,671.4602886750874,510.3358845524018,1017.1242505428704
2016-02-05 02:00:00,723.3290159404788,549.7581307463231,1095.6947054695836
2016-02-05 03:00:00,936.9061282097373,712.0850268389405,1419.2201081089909
2016-02-05 04:00:00,1219.1330265655433,926.5884252470419,1846.7358187396355
2016-02-05 05:00:00,1121.2798394136075,852.2162044862406,1698.5083638568867
2016-02-05 06:00:00,1088.58946508668,827.3702510026768,1648.989169575345
2016-02-05 07:00:00,1036.7207378212888,787.9480048087555,1570.418714648632
2016-02-05 08:00:00,998.7999036020531,759.1266987678213,1512.9764492820432
2016-02-05 09:00:00,959.1355827520479,728.9802752077637,1452.8931602204389
2016-02-05 10:00:00,928.6245667135825,705.7907186231043,1406.6752455576668
2016-02-05 11:00:00,915.9842886405039,696.1836166094596,1387.5278237688037
2016-02-05 12:00:00,912.0614437212727,693.2021021914319,1381.585520455019
2016-02-05 13:00:00,945.4056255347384,718.5449747446671,1432.0950986221917
2016-02-05 14:00:00,988.7748554751287,751.5072730328618,1497.7905630357038
2016-02-05 15:00:00,1014.4912832789782,771.0527564399322,1536.7456625371838
2016-02-05 16:00:00,994.2232511962832,755.6482652801225,1506.0437620826276
2016-02-05 17:00:00,994.8770586828218,756.1451843497937,1507.0341459682581
2016-02-05 18:00:00,968.72475922128,736.2684215629425,1467.4187905430247
2016-02-05 19:00:00,895.716256557809,680.77912544965,1356.8259233142478
2016-02-05 20:00:00,777.8129731520243,591.1680532189296,1178.22669593882
