,AT_P2HT_OTH,AT_STUR_BIO_CHP,AT_COMC_GAS_CHP,AT_COMC_CCS_GAS_CHP
2016-09-27 02:00:00,1169.5138292288927,573.4560751644427,22.391799194745868,9.345391216476383
2016-09-27 03:00:00,1875.1220177826567,919.4419817002602,35.90154698343318,14.983789329247712
2016-09-27 04:00:00,2378.0265686220678,1166.0347647004023,45.53028110788962,19.002416261807735
2016-09-27 05:00:00,2309.0982622851966,1132.2366555786516,44.21056281490731,18.45162158755244
2016-09-27 06:00:00,2043.3615023285734,1001.9360506750597,39.12270150117289,16.328163172331365
2016-09-27 07:00:00,1906.8653167535845,935.0069003747507,36.5093119867803,15.237444771338968
2016-09-27 08:00:00,1721.8472313230345,844.2856601005775,32.96691025298568,13.758995908864224
2016-09-27 09:00:00,1598.5018410360015,783.8048332511287,30.605309097122603,12.77336333388106
2016-09-27 10:00:00,1522.7713992053596,746.6713844134156,29.155355446280197,12.168213922034779
2016-09-27 11:00:00,1443.8666274776251,707.9814437082534,27.64462529510308,11.537698965979374
2016-09-27 12:00:00,1402.600338815419,687.7470494314158,26.85453079075183,11.207946891260741
2016-09-27 13:00:00,1387.6356407291246,680.4093020562988,26.568013003459615,11.088366468560578
2016-09-27 14:00:00,1458.8313255639196,715.3191910833705,27.931143082395295,11.657279388679537
2016-09-27 15:00:00,1542.7243299870856,756.4550475802381,29.53737916266981,12.327654485634996
2016-09-27 16:00:00,1630.245140006929,799.3697519256192,31.21307410046972,13.027018775972316
2016-09-27 17:00:00,1748.6022975985306,857.4046629833622,33.47916932723539,13.972791210055423
2016-09-27 18:00:00,1745.427967701438,855.8481711159131,33.41839282690068,13.947425665846296
2016-09-27 19:00:00,1613.4665391222957,791.1425806262456,30.89182688441481,12.892943756581223
2016-09-27 20:00:00,1208.9662150927602,592.8010455170238,23.14716427033443,9.660648694504086
2016-09-27 21:00:00,791.3150957752687,388.0111869569417,15.15071329772452,6.323267806417715
2016-09-27 22:00:00,637.133357916477,312.41015339513064,12.198711852895674,5.091227087688762
2016-09-27 23:00:00,672.0509867844975,329.53156393707025,12.867253356577502,5.370248073989144
2016-09-28 00:00:00,694.7247717637317,340.6493629902778,13.301371216111157,5.551430532625754
2016-09-28 01:00:00,811.7215022565794,398.0172061048284,15.541419371304809,6.486332019190665
2016-09-28 02:00:00,1145.02614145132,561.4488521869786,21.92295190644952,9.149714161148843
2016-09-28 03:00:00,1836.576583317959,900.5417233098073,35.163546622225965,14.675779149565471
2016-09-28 04:00:00,2330.8650958652615,1142.9097426697308,44.62731596005962,18.625556747843586
2016-09-28 05:00:00,2261.9367895283895,1109.11163354798,43.30759766707732,18.07476207358829
2016-09-28 06:00:00,2003.4556407651216,982.3687243414143,38.358654068393655,16.009282045130927
2016-09-28 07:00:00,1867.866406589302,915.8842860032337,35.76262926838241,14.925810942483995
2016-09-28 08:00:00,1686.929602455014,827.1642495586378,32.298368749303854,13.479974922563843
2016-09-28 09:00:00,1566.305066365489,768.017558595574,29.988861736584813,12.516084242617072
2016-09-28 10:00:00,1492.3885273331857,731.7735336821175,28.573637514505098,11.92542942746172
2016-09-28 11:00:00,1416.2046098029593,694.4177288633402,27.11500150647202,11.316656366442707
2016-09-28 12:00:00,1375.845272539923,674.6280465486309,26.34227171650212,10.99415159006954
2016-09-28 13:00:00,1362.2410015523824,667.9573671167065,26.081801000781926,10.885442114887576
2016-09-28 14:00:00,1431.6227835888385,701.9778322195215,27.410201650954907,11.439860438315604
2016-09-28 15:00:00,1514.6088366128351,742.6689767542608,28.99907301684808,12.102988236925599
2016-09-28 16:00:00,1600.7692195339246,784.9166131564493,30.648720883075963,12.791481579744719
2016-09-28 17:00:00,1716.4055229280184,841.6173883278077,32.8627219666976,13.715512118791436
2016-09-28 18:00:00,1711.8707659321717,839.3938285171661,32.77589839479087,13.679275627064113
2016-09-28 19:00:00,1582.6301915505373,776.0223739138834,30.30142659544904,12.64653561283543
2016-09-28 20:00:00,1184.4785273151874,580.7938225395598,22.67831698203808,9.464971639176547
2016-09-28 21:00:00,774.9899705902202,380.0063716386323,14.83814843886029,6.192816436199356
2016-09-28 22:00:00,686.5622091712073,336.646955331123,13.14508878667904,5.486204847516574
2016-09-28 23:00:00,723.7472165371512,354.88014577838334,13.857042076314233,5.7833440796806155
2016-09-29 00:00:00,750.0488071130628,367.77679268010405,14.360618793373272,5.993515731699085
2016-09-29 01:00:00,872.4872460009267,427.8129075674246,16.704855234855003,6.971901008336783
2016-09-29 02:00:00,1228.919145874486,602.5847086838464,23.529187986724043,9.820089258104304
2016-09-29 03:00:00,1962.6428278025,962.3566860456411,37.57724192123309,15.683153619585031
2016-09-29 04:00:00,2486.8607365223916,1219.4002001557983,47.61404683365116,19.87209206326347
