,PHOT,WTOF,WTON,HE Glava Zete,HE Slap Zete,HE Muskovica Rijeka,HE Savnik,HE Lijeva Rijeka,HE Podgor,HE Rijeka Crnojevica,HROR
2015-01-10 04:00:00+00:00,0,0,0,0.898531126,0.896735566,1,1,1,1,1,0.9223951
2015-01-10 05:00:00+00:00,0,0,0,0.891599789,0.889818081,1,1,1,1,1,0.9171129
2015-01-10 06:00:00+00:00,0,0,0,0.884668453,0.882900596,1,1,1,1,1,0.9118308
2015-01-10 07:00:00+00:00,0,0,0,0.877737117,0.87598311,1,1,1,1,1,0.9065486
2015-01-10 08:00:00+00:00,0,0,0,0.87080578,0.869065625,1,1,1,1,1,0.9012664
2015-01-10 09:00:00+00:00,0,0,0,0.863874444,0.86214814,1,1,1,1,1,0.8959843
2015-01-10 10:00:00+00:00,0,0,0,0.856943108,0.855230655,1,1,1,1,1,0.8907021
2015-01-10 11:00:00+00:00,0,0,0,0.850011771,0.848313169,1,1,1,1,1,0.88542
2015-01-10 12:00:00+00:00,0,0,0,0.843080435,0.841395684,1,1,1,1,1,0.8801378
2015-01-10 13:00:00+00:00,0,0,0,0.836149099,0.834478199,1,1,1,1,1,0.8748557
2015-01-10 14:00:00+00:00,0,0,0,0.829217762,0.827560713,1,1,1,1,1,0.8695735
2015-01-10 15:00:00+00:00,0,0,0,0.822286426,0.820643228,1,1,1,1,1,0.8642914
2015-01-10 16:00:00+00:00,0,0,0,0.81535509,0.813725743,1,1,1,1,1,0.8590092
2015-01-10 17:00:00+00:00,0,0,0,0.808423753,0.806808258,1,1,1,1,1,0.853727
2015-01-10 18:00:00+00:00,0,0,0,0.801492417,0.799890772,1,1,1,1,1,0.8484449
2015-01-10 19:00:00+00:00,0,0,0,0.79456108,0.792973287,1,1,1,1,1,0.8431627
2015-01-10 20:00:00+00:00,0,0,0,0.787629744,0.786055802,1,1,1,1,1,0.8378806
2015-01-10 21:00:00+00:00,0,0,0,0.780698408,0.779138317,1,1,1,1,1,0.8325984
2015-01-10 22:00:00+00:00,0,0,0,0.773767071,0.772220831,1,1,1,1,1,0.8273163
2015-01-10 23:00:00+00:00,0,0,0,0.766835735,0.765303346,1,1,1,1,1,0.8220341
2015-01-11 00:00:00+00:00,0,0,0,0.759904399,0.758385861,1,1,1,1,1,0.816752
2015-01-11 01:00:00+00:00,0,0,0,0.754688414,0.753180299,1,1,1,1,1,0.812777
2015-01-11 02:00:00+00:00,0,0,0,0.749472429,0.747974738,1,1,1,1,1,0.8088021
2015-01-11 03:00:00+00:00,0,0,0,0.744256444,0.742769176,1,1,1,1,1,0.8048271
2015-01-11 04:00:00+00:00,0,0,0,0.73904046,0.737563615,1,1,1,1,1,0.8008522
2015-01-11 05:00:00+00:00,0,0,0,0.733824475,0.732358053,1,1,1,1,1,0.7968773
2015-01-11 06:00:00+00:00,0,0,0,0.72860849,0.727152492,1,1,1,1,1,0.7929023
2015-01-11 07:00:00+00:00,0,0,0,0.723392505,0.72194693,1,1,1,1,1,0.7889274
2015-01-11 08:00:00+00:00,0,0,0,0.71817652,0.716741368,1,1,1,1,1,0.7849524
2015-01-11 09:00:00+00:00,0,0,0,0.712960536,0.711535807,1,1,1,1,1,0.7809775
2015-01-11 10:00:00+00:00,0,0,0,0.707744551,0.706330245,1,1,1,1,1,0.7770026
2015-01-11 11:00:00+00:00,0,0,0,0.702528566,0.701124684,1,1,1,1,1,0.7730276
2015-01-11 12:00:00+00:00,0,0,0,0.697312581,0.695919122,1,1,1,1,1,0.7690527
2015-01-11 13:00:00+00:00,0,0,0,0.692096596,0.690713561,1,1,1,1,1,0.7650777
2015-01-11 14:00:00+00:00,0,0,0,0.686880612,0.685507999,1,1,1,1,1,0.7611028
2015-01-11 15:00:00+00:00,0,0,0,0.681664627,0.680302438,1,1,1,1,1,0.7571279
2015-01-11 16:00:00+00:00,0,0,0,0.676448642,0.675096876,1,1,1,1,1,0.7531529
2015-01-11 17:00:00+00:00,0,0,0,0.671232657,0.669891315,1,1,1,1,1,0.749178
2015-01-11 18:00:00+00:00,0,0,0,0.666016673,0.664685753,1,1,1,1,1,0.7452031
2015-01-11 19:00:00+00:00,0,0,0,0.660800688,0.659480191,1,1,1,1,1,0.7412281
2015-01-11 20:00:00+00:00,0,0,0,0.655584703,0.65427463,1,1,1,1,1,0.7372532
2015-01-11 21:00:00+00:00,0,0,0,0.650368718,0.649069068,1,1,1,1,1,0.7332782
2015-01-11 22:00:00+00:00,0,0,0,0.645152733,0.643863507,1,1,1,1,1,0.7293033
2015-01-11 23:00:00+00:00,0,0,0,0.639936749,0.638657945,1,1,1,1,1,0.7253284
2015-01-12 00:00:00+00:00,0,0,0,0.634720764,0.633452384,1,1,1,1,1,0.7213534
2015-01-12 01:00:00+00:00,0,0,0,0.63306055,0.631795487,1,1,1,1,1,0.7200882
2015-01-12 02:00:00+00:00,0,0,0,0.631400335,0.630138591,1,1,1,1,1,0.718823
2015-01-12 03:00:00+00:00,0,0,0,0.629740121,0.628481694,1,1,1,1,1,0.7175578
2015-01-12 04:00:00+00:00,0,0,0,0.628079907,0.626824798,1,1,1,1,1,0.7162926
2015-01-12 05:00:00+00:00,0,0,0,0.626419693,0.625167901,1,1,1,1,1,0.7150274
2015-01-12 06:00:00+00:00,0,0,0,0.624759479,0.623511005,1,1,1,1,1,0.7137622
2015-01-12 07:00:00+00:00,0,0,0,0.623099265,0.621854108,1,1,1,1,1,0.712497
2015-01-12 08:00:00+00:00,0,0,0,0.621439051,0.620197212,1,1,1,1,1,0.7112318
2015-01-12 09:00:00+00:00,0,0,0,0.619778836,0.618540315,1,1,1,1,1,0.7099666
2015-01-12 10:00:00+00:00,0,0,0,0.618118622,0.616883419,1,1,1,1,1,0.7087014
