,SE_P2HT_OTH,SE_STUR_BIO_CHP,SE_COMC_GAS_CHP,SE_GTUR_GAS_CHP
2016-08-03 09:00:00,839.7373468858596,698.037892313548,62.702525190223895,66.56566814874076
2016-08-03 10:00:00,804.7047178439216,668.9167598197699,60.08666641827807,63.78864463319553
2016-08-03 11:00:00,718.9532079502223,597.6351817752981,53.68366882724649,56.99115423693558
2016-08-03 12:00:00,673.4630777017356,559.8211739102429,50.28695669054072,53.38516847794403
2016-08-03 13:00:00,626.9271973325938,521.1378785080599,46.81215921735894,49.69628649460782
2016-08-03 14:00:00,679.2147033653373,564.6022553644452,50.71642604115869,53.84109771183951
2016-08-03 15:00:00,749.8028365095412,623.2791641205654,55.987186253288336,59.43659285510227
2016-08-03 16:00:00,759.7374626557621,631.5373957232786,56.728996949810295,60.224106986376285
2016-08-03 17:00:00,830.3255957999659,690.2143044793988,61.99975716193995,65.81960212963905
2016-08-03 18:00:00,848.1033478510985,704.9921926105698,63.327207882031864,67.22883794349782
2016-08-03 19:00:00,773.3322142242754,642.8381337059388,57.74410632399823,61.30175790285653
2016-08-03 20:00:00,586.6658176873814,487.6703083286432,43.805873763033134,46.50478185733943
2016-08-03 21:00:00,376.9929184960802,313.3781571345381,28.149763799596162,29.884088876240405
2016-08-03 22:00:00,270.849281249611,225.1454721160759,20.224102147282675,21.470122105260092
2016-08-03 23:00:00,291.76428366270846,242.53122285863003,21.785808876802573,23.128046592152764
2016-08-04 00:00:00,307.9734105328589,256.0051796841095,22.996131592180497,24.412938069494587
2016-08-04 01:00:00,395.29354560754047,328.59068903427294,29.51625718792607,31.334772802271488
2016-08-04 02:00:00,608.1036951608062,505.49070283976124,45.406623160791035,48.204154456404424
2016-08-04 03:00:00,1065.6193729473114,885.8040003331328,79.56895786903881,84.47125260718163
2016-08-04 04:00:00,1233.9851423727453,1025.7592938106934,92.14069704167399,97.81754472666762
2016-08-04 05:00:00,1163.9198842888688,967.5170288231371,86.90897949778233,92.26349769557717
2016-08-04 06:00:00,954.2469850975676,793.2248776290319,71.25286953434534,75.64280471447813
2016-08-04 07:00:00,934.3777328051254,776.7084144236055,69.76924814130145,74.0677764519301
2016-08-04 08:00:00,837.1229715842225,695.8646734707288,62.50731184903391,66.35842758787918
2016-08-04 09:00:00,800.5217173613022,665.4396096712592,59.7743250723741,63.457059735817005
2016-08-04 10:00:00,763.3975880780541,634.5799021032255,57.00229562747627,60.5142437715825
2016-08-04 11:00:00,689.672204571886,573.2951307357224,51.49727940591864,54.67005995528584
2016-08-04 12:00:00,670.325827339771,557.2133112988598,50.05270068111273,53.136479804910124
2016-08-04 13:00:00,629.541572634231,523.3110973508792,47.00737255854892,49.90352705546941
2016-08-04 14:00:00,676.6003280637001,562.429036521626,50.5212126999687,53.633857150977924
2016-08-04 15:00:00,743.0054607252844,617.6287951292354,55.479631566194385,58.89776739686216
2016-08-04 16:00:00,759.2145875954348,631.1027519547147,56.68995428157229,60.18265887420397
2016-08-04 17:00:00,803.6589677232668,668.0474722826424,60.008581081802085,63.70574840885091
2016-08-04 18:00:00,856.992223876665,712.3811366761553,63.990933242077816,67.93345585042721
2016-08-04 19:00:00,787.9727159134437,655.0081592257267,58.837301034662154,62.4623050436814
2016-08-04 20:00:00,588.7573179286911,489.40888340289865,43.96204443598513,46.6705743060287
2016-08-04 21:00:00,374.37854319444307,311.20493829171886,27.954550458406175,29.67684831537882
2016-08-04 22:00:00,291.24140860238094,242.09657909006617,21.746766208564576,23.086598479980445
2016-08-04 23:00:00,307.9734105328589,256.0051796841095,22.996131592180497,24.412938069494587
