year,month,day,hour,min,Vertical load [kW],index
2014,1,7,6,0,10335660,601
2014,1,7,6,15,10771200,602
2014,1,7,6,30,11086380,603
2014,1,7,6,45,11422980,604
2014,1,7,7,0,11613720,605
2014,1,7,7,15,11807520,606
2014,1,7,7,30,12061500,607
2014,1,7,7,45,12356280,608
2014,1,7,8,0,12524580,609
2014,1,7,8,15,12538860,610
2014,1,7,8,30,12463380,611
2014,1,7,8,45,12343020,612
2014,1,7,9,0,12268560,613
2014,1,7,9,15,12222660,614
2014,1,7,9,30,12196140,615
2014,1,7,9,45,12232860,616
2014,1,7,10,0,12181860,617
2014,1,7,10,15,12045180,618
2014,1,7,10,30,12128820,619
2014,1,7,10,45,12134940,620
2014,1,7,11,0,12199200,621
2014,1,7,11,15,12270600,622
2014,1,7,11,30,12323640,623
2014,1,7,11,45,12395040,624
2014,1,7,12,0,12134940,625
2014,1,7,12,15,11927880,626
2014,1,7,12,30,11855460,627
2014,1,7,12,45,11899320,628
2014,1,7,13,0,11963580,629
2014,1,7,13,15,12062520,630
2014,1,7,13,30,12099240,631
2014,1,7,13,45,12100260,632
2014,1,7,14,0,12031920,633
2014,1,7,14,15,12071700,634
2014,1,7,14,30,12061500,635
2014,1,7,14,45,12041100,636
2014,1,7,15,0,12066600,637
2014,1,7,15,15,12080880,638
2014,1,7,15,30,12105360,639
2014,1,7,15,45,12070680,640
2014,1,7,16,0,12167580,641
2014,1,7,16,15,12091080,642
2014,1,7,16,30,12167580,643
2014,1,7,16,45,12408300,644
2014,1,7,17,0,12722460,645
2014,1,7,17,15,13013160,646
2014,1,7,17,30,13247760,647
2014,1,7,17,45,13307940,648
2014,1,7,18,0,13360980,649
2014,1,7,18,15,13228380,650
2014,1,7,18,30,13197780,651
2014,1,7,18,45,13075380,652
2014,1,7,19,0,12929520,653
2014,1,7,19,15,12722460,654
2014,1,7,19,30,12563340,655
2014,1,7,19,45,12430740,656
2014,1,7,20,0,12272640,657
2014,1,7,20,15,12138000,658
2014,1,7,20,30,11974800,659
2014,1,7,20,45,11666760,660
2014,1,7,21,0,11643300,661
2014,1,7,21,15,11607600,662
2014,1,7,21,30,11472960,663
2014,1,7,21,45,11201640,664
2014,1,7,22,0,11365860,665
2014,1,7,22,15,11504580,666
2014,1,7,22,30,11593320,667
2014,1,7,22,45,11514780,668
2014,1,7,23,0,11559660,669
2014,1,7,23,15,11478060,670
2014,1,7,23,30,11285280,671
2014,1,7,23,45,10947660,672
2014,1,8,0,0,10759980,673
2014,1,8,0,15,10685520,674
2014,1,8,0,30,10522320,675
2014,1,8,0,45,10378500,676
2014,1,8,1,0,10217340,677
2014,1,8,1,15,10017420,678
2014,1,8,1,30,9754260,679
2014,1,8,1,45,9667560,680
2014,1,8,2,0,9544140,681
2014,1,8,2,15,9406440,682
2014,1,8,2,30,9289140,683
2014,1,8,2,45,9365640,684
2014,1,8,3,0,9272820,685
2014,1,8,3,15,9193260,686
2014,1,8,3,30,9209580,687
2014,1,8,3,45,9300360,688
2014,1,8,4,0,9474780,689
2014,1,8,4,15,9456420,690
2014,1,8,4,30,9525780,691
2014,1,8,4,45,9651240,692
2014,1,8,5,0,9756300,693
2014,1,8,5,15,9922560,694
2014,1,8,5,30,10129620,695
2014,1,8,5,45,10309140,696
2014,1,8,6,0,10614120,697
2014,1,8,6,15,10897680,698
2014,1,8,6,30,11316900,699
2014,1,8,6,45,11636160,700
2014,1,8,7,0,11827920,701
2014,1,8,7,15,12162480,702
2014,1,8,7,30,12366480,703
