Total ,Coal ,Fuel ,Gas ,Nuclear ,Water ,Wind ,Other 
8115162,0,0,1339934,5544200,170520,625275,435233
8059936,0,0,1357565,5540800,88002,621255,452314
8227603,0,0,1443344,5540200,162432,625201,456426
8282552,0,0,1241946,5543200,424866,626713,445827
8275238,0,0,1212773,5539800,443876,630303,448486
8269407,0,0,1193639,5541200,476023,627351,431194
8354394,0,0,1244689,5540200,522629,620297,426579
8208308,0,0,1175947,5540200,419910,630781,441470
8009574,0,0,1123385,5538200,268941,637716,441332
7925685,0,0,1128910,5537800,157947,638181,462847
8032509,0,0,1223721,5541200,157802,631957,477829
7954900,0,0,1202404,5539200,97208,631459,484629
7841149,0,0,1128637,5540200,53943,635973,482396
7754246,0,0,1043526,5541800,52452,635550,480918
7776065,200,0,1068591,5539200,52432,639812,475830
7900923,7000,0,1189260,5540800,52319,643810,467734
7996833,6200,0,1278095,5539800,75553,642878,454307
7951386,4200,0,1123844,5539200,160326,644893,478923
7911992,4200,0,1122569,5487800,156312,650368,490743
7788422,3800,0,1154440,5331800,156569,651191,490622
7616461,5800,0,1054069,5260200,164248,650958,481186
7497649,6600,0,1029998,5261800,113469,645876,439906
7498279,7800,0,1055985,5257800,52351,646103,478240
7506685,8400,0,1034978,5259800,52597,648469,502441
7485512,11800,0,1029881,5259800,52425,644465,487141
7489224,22600,0,1020353,5259200,52255,640668,494148
7626994,31600,0,1167994,5259800,50962,642975,473663
7641632,35200,0,1197291,5258800,50786,646776,452779
7532585,15400,0,1119841,5258200,50382,640444,448318
7429944,3200,0,1027403,5261800,50201,639895,447445
7571553,29000,0,1090176,5319800,50093,636261,446223
7647497,53000,0,1116152,5324200,48142,634459,471544
7606421,55200,0,1060035,5322800,47891,633173,487322
7607156,70000,0,1033182,5325200,47968,640727,490079
7767430,71600,0,1188739,5322800,47786,637155,499350
7725030,71600,0,1128629,5324800,47947,640678,511376
7690196,76400,0,1075132,5325200,47911,640469,525084
7717479,79600,0,1069143,5322800,47868,639505,558563
7739560,86800,0,1049210,5325800,47866,637864,592020
7748730,87800,0,1045923,5321200,47947,643098,602762
7827851,93000,0,1098609,5323800,48135,643468,620839
7863678,94600,0,1124161,5321800,48113,643538,631466
7856920,92200,0,1107189,5321800,48008,641936,645787
7878114,111400,0,1096778,5322200,48077,644528,655131
7961155,124600,0,1166800,5322800,48120,642406,656429
7948322,135800,0,1151413,5319800,47968,639974,653367
7830850,137600,0,1039117,5322200,47847,635623,648463
7838807,137600,0,1045973,5320200,48008,639224,647802
7972713,176800,0,1140340,5320800,47992,640421,646360
8319162,189800,0,1253093,5324200,250999,641439,659631
8276163,206000,0,1153842,5321800,305205,648939,640377
8331857,216600,0,1153844,5320200,367521,651063,622629
8541055,217200,0,1338336,5320200,380193,651332,633794
8674959,219000,0,1386933,5317800,450038,649057,652131
9025703,218800,0,1447618,5322200,750435,642776,643874
9144391,217400,0,1450672,5324800,860516,640195,650808
9114035,216600,0,1462576,5322800,815655,642105,654299
9098210,230600,0,1444659,5321200,797836,639216,664699
8916167,245600,0,1391282,5320800,680072,639182,639231
8841173,251200,0,1380558,5318800,619618,638185,632812
8869937,265400,0,1388535,5318800,621974,640655,634573
8843202,269800,0,1421611,5318200,541900,638884,652807
8516591,274000,0,1407841,5316800,208984,642646,666320
8471334,265400,0,1369781,5316800,194301,643467,681585
