,HE Ujmani,HDAM,HROR
2010-01-08 13:00:00+00:00,0.377632025,0.377632025,0.9662
2010-01-08 14:00:00+00:00,0.378146774,0.378146774,0.966863
2010-01-08 15:00:00+00:00,0.378211487,0.378211487,0.967526
2010-01-08 16:00:00+00:00,0.37827787,0.37827787,0.968189
2010-01-08 17:00:00+00:00,0.37834592,0.37834592,0.968852
2010-01-08 18:00:00+00:00,0.378415639,0.378415639,0.969516
2010-01-08 19:00:00+00:00,0.378938728,0.378938728,0.970179
2010-01-08 20:00:00+00:00,0.379011783,0.379011783,0.970842
2010-01-08 21:00:00+00:00,0.37953821,0.37953821,0.971505
2010-01-08 22:00:00+00:00,0.379614601,0.379614601,0.972168
2010-01-08 23:00:00+00:00,0.380144865,0.380144865,0.972831
2010-01-09 00:00:00+00:00,0.380677298,0.380677298,0.973478
2010-01-09 01:00:00+00:00,0.380760198,0.380760198,0.974125
2010-01-09 02:00:00+00:00,0.381296969,0.381296969,0.974772
2010-01-09 03:00:00+00:00,0.38183591,0.38183591,0.975419
2010-01-09 04:00:00+00:00,0.38237702,0.38237702,0.976066
2010-01-09 05:00:00+00:00,0.3829203,0.3829203,0.976714
2010-01-09 06:00:00+00:00,0.383465748,0.383465748,0.977361
2010-01-09 07:00:00+00:00,0.384013366,0.384013366,0.978008
2010-01-09 08:00:00+00:00,0.384563153,0.384563153,0.978655
2010-01-09 09:00:00+00:00,0.38511511,0.38511511,0.979302
2010-01-09 10:00:00+00:00,0.385217532,0.385217532,0.979949
2010-01-09 11:00:00+00:00,0.385322125,0.385322125,0.980596
2010-01-09 12:00:00+00:00,0.385428886,0.385428886,0.981244
2010-01-09 13:00:00+00:00,0.385537816,0.385537816,0.981891
2010-01-09 14:00:00+00:00,0.385648916,0.385648916,0.982538
2010-01-09 15:00:00+00:00,0.385762185,0.385762185,0.983185
2010-01-09 16:00:00+00:00,0.385877623,0.385877623,0.983832
2010-01-09 17:00:00+00:00,0.385995231,0.385995231,0.984479
2010-01-09 18:00:00+00:00,0.386115008,0.386115008,0.985126
2010-01-09 19:00:00+00:00,0.386236954,0.386236954,0.985773
2010-01-09 20:00:00+00:00,0.386361069,0.386361069,0.986421
2010-01-09 21:00:00+00:00,0.386487354,0.386487354,0.987068
2010-01-09 22:00:00+00:00,0.386615808,0.386615808,0.987715
2010-01-09 23:00:00+00:00,0.387195799,0.387195799,0.988362
2010-01-10 00:00:00+00:00,0.387775626,0.387775626,0.98817
2010-01-10 01:00:00+00:00,0.388355288,0.388355288,0.987977
2010-01-10 02:00:00+00:00,0.388483081,0.388483081,0.987785
2010-01-10 03:00:00+00:00,0.389062413,0.389062413,0.987592
2010-01-10 04:00:00+00:00,0.38964158,0.38964158,0.9874
2010-01-10 05:00:00+00:00,0.390220581,0.390220581,0.987207
2010-01-10 06:00:00+00:00,0.390799418,0.390799418,0.987014
2010-01-10 07:00:00+00:00,0.391378089,0.391378089,0.986822
2010-01-10 08:00:00+00:00,0.391956596,0.391956596,0.986629
2010-01-10 09:00:00+00:00,0.392534937,0.392534937,0.986437
2010-01-10 10:00:00+00:00,0.393113114,0.393113114,0.986244
2010-01-10 11:00:00+00:00,0.393691125,0.393691125,0.986052
2010-01-10 12:00:00+00:00,0.394268971,0.394268971,0.985859
2010-01-10 13:00:00+00:00,0.394846653,0.394846653,0.985667
2010-01-10 14:00:00+00:00,0.395424169,0.395424169,0.985474
2010-01-10 15:00:00+00:00,0.396001521,0.396001521,0.985282
2010-01-10 16:00:00+00:00,0.396578707,0.396578707,0.985089
2010-01-10 17:00:00+00:00,0.396704025,0.396704025,0.984897
2010-01-10 18:00:00+00:00,0.396829179,0.396829179,0.984704
2010-01-10 19:00:00+00:00,0.396954167,0.396954167,0.984512
2010-01-10 20:00:00+00:00,0.39707899,0.39707899,0.984319
2010-01-10 21:00:00+00:00,0.397655351,0.397655351,0.984127
2010-01-10 22:00:00+00:00,0.398231547,0.398231547,0.983934
2010-01-10 23:00:00+00:00,0.39835408,0.39835408,0.983742
2010-01-11 00:00:00+00:00,0.398926355,0.398926355,0.98317
2010-01-11 01:00:00+00:00,0.399496668,0.399496668,0.982599
2010-01-11 02:00:00+00:00,0.400065022,0.400065022,0.982027
2010-01-11 03:00:00+00:00,0.400631414,0.400631414,0.981456
2010-01-11 04:00:00+00:00,0.401195845,0.401195845,0.980884
2010-01-11 05:00:00+00:00,0.401758316,0.401758316,0.980312
2010-01-11 06:00:00+00:00,0.401867124,0.401867124,0.979741
2010-01-11 07:00:00+00:00,0.402425673,0.402425673,0.979169
2010-01-11 08:00:00+00:00,0.402530559,0.402530559,0.978598
2010-01-11 09:00:00+00:00,0.402633483,0.402633483,0.978026
2010-01-11 10:00:00+00:00,0.402734448,0.402734448,0.977454
2010-01-11 11:00:00+00:00,0.402833451,0.402833451,0.976883
2010-01-11 12:00:00+00:00,0.402930494,0.402930494,0.976311
2010-01-11 13:00:00+00:00,0.403477278,0.403477278,0.97574
2010-01-11 14:00:00+00:00,0.4035704,0.4035704,0.975168
2010-01-11 15:00:00+00:00,0.404113263,0.404113263,0.974596
2010-01-11 16:00:00+00:00,0.404202462,0.404202462,0.974025
2010-01-11 17:00:00+00:00,0.404741404,0.404741404,0.973453
2010-01-11 18:00:00+00:00,0.405278385,0.405278385,0.972882
2010-01-11 19:00:00+00:00,0.405813406,0.405813406,0.97231
2010-01-11 20:00:00+00:00,0.405894762,0.405894762,0.971738
2010-01-11 21:00:00+00:00,0.406425861,0.406425861,0.971167
2010-01-11 22:00:00+00:00,0.406954999,0.406954999,0.970595
2010-01-11 23:00:00+00:00,0.407481544,0.407481544,0.970024
2010-01-12 00:00:00+00:00,0.408005496,0.408005496,0.969388
2010-01-12 01:00:00+00:00,0.408526855,0.408526855,0.968752
2010-01-12 02:00:00+00:00,0.409045621,0.409045621,0.968117
2010-01-12 03:00:00+00:00,0.409561795,0.409561795,0.967481
2010-01-12 04:00:00+00:00,0.410075375,0.410075375,0.966846
2010-01-12 05:00:00+00:00,0.410586362,0.410586362,0.96621
2010-01-12 06:00:00+00:00,0.411094757,0.411094757,0.965575
2010-01-12 07:00:00+00:00,0.411600558,0.411600558,0.964939
2010-01-12 08:00:00+00:00,0.412103767,0.412103767,0.964303
2010-01-12 09:00:00+00:00,0.412152679,0.412152679,0.963668
2010-01-12 10:00:00+00:00,0.412650702,0.412650702,0.963032
2010-01-12 11:00:00+00:00,0.413146132,0.413146132,0.962397
2010-01-12 12:00:00+00:00,0.413187265,0.413187265,0.961761
2010-01-12 13:00:00+00:00,0.413677509,0.413677509,0.961126
2010-01-12 14:00:00+00:00,0.41416516,0.41416516,0.96049
2010-01-12 15:00:00+00:00,0.414650218,0.414650218,0.959854
2010-01-12 16:00:00+00:00,0.415132683,0.415132683,0.959219
2010-01-12 17:00:00+00:00,0.415160852,0.415160852,0.958583
2010-01-12 18:00:00+00:00,0.415638131,0.415638131,0.957948
2010-01-12 19:00:00+00:00,0.415661114,0.415661114,0.957312
2010-01-12 20:00:00+00:00,0.415681504,0.415681504,0.956677
2010-01-12 21:00:00+00:00,0.415699301,0.415699301,0.956041
2010-01-12 22:00:00+00:00,0.415714506,0.415714506,0.955405
2010-01-12 23:00:00+00:00,0.416178917,0.416178917,0.95477
2010-01-13 00:00:00+00:00,0.416640832,0.416640832,0.954204
2010-01-13 01:00:00+00:00,0.416648548,0.416648548,0.953638
2010-01-13 02:00:00+00:00,0.417105471,0.417105471,0.953072
2010-01-13 03:00:00+00:00,0.417559898,0.417559898,0.952506
2010-01-13 04:00:00+00:00,0.418011829,0.418011829,0.95194
2010-01-13 05:00:00+00:00,0.418461264,0.418461264,0.951374
2010-01-13 06:00:00+00:00,0.418908203,0.418908203,0.950808
2010-01-13 07:00:00+00:00,0.419352645,0.419352645,0.950242
2010-01-13 08:00:00+00:00,0.419342889,0.419342889,0.949676
2010-01-13 09:00:00+00:00,0.41978234,0.41978234,0.94911
2010-01-13 10:00:00+00:00,0.419767591,0.419767591,0.948544
2010-01-13 11:00:00+00:00,0.42020205,0.42020205,0.947978
2010-01-13 12:00:00+00:00,0.420182309,0.420182309,0.947412
2010-01-13 13:00:00+00:00,0.420160073,0.420160073,0.946846
2010-01-13 14:00:00+00:00,0.420587043,0.420587043,0.94628
2010-01-13 15:00:00+00:00,0.420559815,0.420559815,0.945714
2010-01-13 16:00:00+00:00,0.42053009,0.42053009,0.945148
2010-01-13 17:00:00+00:00,0.420497869,0.420497869,0.944582
2010-01-13 18:00:00+00:00,0.420463153,0.420463153,0.944016
2010-01-13 19:00:00+00:00,0.42042594,0.42042594,0.94345
2010-01-13 20:00:00+00:00,0.420386231,0.420386231,0.942822
2010-01-13 21:00:00+00:00,0.420795729,0.420795729,0.942077
2010-01-13 22:00:00+00:00,0.420751028,0.420751028,0.941332
2010-01-13 23:00:00+00:00,0.421156021,0.421156021,0.940587
2010-01-14 00:00:00+00:00,0.421107302,0.421107302,0.939986
2010-01-14 01:00:00+00:00,0.421508278,0.421508278,0.939384
2010-01-14 02:00:00+00:00,0.421907244,0.421907244,0.938783
2010-01-14 03:00:00+00:00,0.421852499,0.421852499,0.938181
2010-01-14 04:00:00+00:00,0.421795745,0.421795745,0.937579
2010-01-14 05:00:00+00:00,0.422188685,0.422188685,0.936978
2010-01-14 06:00:00+00:00,0.422127914,0.422127914,0.936376
2010-01-14 07:00:00+00:00,0.422516836,0.422516836,0.935775
2010-01-14 08:00:00+00:00,0.42290375,0.42290375,0.933491
2010-01-14 09:00:00+00:00,0.423288655,0.423288655,0.92891
2010-01-14 10:00:00+00:00,0.423219848,0.423219848,0.924329
2010-01-14 11:00:00+00:00,0.423600735,0.423600735,0.919748
2010-01-14 12:00:00+00:00,0.423979613,0.423979613,0.915167
2010-01-14 13:00:00+00:00,0.42390478,0.42390478,0.910586
2010-01-14 14:00:00+00:00,0.42427964,0.42427964,0.906006
2010-01-14 15:00:00+00:00,0.424652492,0.424652492,0.901328
2010-01-14 16:00:00+00:00,0.424571632,0.424571632,0.896551
2010-01-14 17:00:00+00:00,0.424940466,0.424940466,0.891774
2010-01-14 18:00:00+00:00,0.424855589,0.424855589,0.886997
2010-01-14 19:00:00+00:00,0.424768702,0.424768702,0.88222
2010-01-14 20:00:00+00:00,0.424679807,0.424679807,0.877443
2010-01-14 21:00:00+00:00,0.424588903,0.424588903,0.872666
2010-01-14 22:00:00+00:00,0.424947693,0.424947693,0.867889
2010-01-14 23:00:00+00:00,0.425304945,0.425304945,0.863112
2010-01-15 00:00:00+00:00,0.42566066,0.42566066,0.85937
2010-01-15 01:00:00+00:00,0.425563134,0.425563134,0.855629
2010-01-15 02:00:00+00:00,0.425464071,0.425464071,0.851888
2010-01-15 03:00:00+00:00,0.425815173,0.425815173,0.848146
2010-01-15 04:00:00+00:00,0.426164738,0.426164738,0.844405
2010-01-15 05:00:00+00:00,0.426512765,0.426512765,0.840663
2010-01-15 06:00:00+00:00,0.426407552,0.426407552,0.836922
2010-01-15 07:00:00+00:00,0.426300801,0.426300801,0.833181
2010-01-15 08:00:00+00:00,0.426192512,0.426192512,0.829439
2010-01-15 09:00:00+00:00,0.426534389,0.426534389,0.825698
2010-01-15 10:00:00+00:00,0.426874728,0.426874728,0.821957
2010-01-15 11:00:00+00:00,0.426761827,0.426761827,0.818215
2010-01-15 12:00:00+00:00,0.427099091,0.427099091,0.814474
2010-01-15 13:00:00+00:00,0.427434817,0.427434817,0.810733
2010-01-15 14:00:00+00:00,0.427769006,0.427769006,0.806991
2010-01-15 15:00:00+00:00,0.428101658,0.428101658,0.80325
2010-01-15 16:00:00+00:00,0.428432772,0.428432772,0.799509
2010-01-15 17:00:00+00:00,0.428762348,0.428762348,0.795767
2010-01-15 18:00:00+00:00,0.428638684,0.428638684,0.792026
2010-01-15 19:00:00+00:00,0.428965185,0.428965185,0.788284
2010-01-15 20:00:00+00:00,0.429290149,0.429290149,0.784543
2010-01-15 21:00:00+00:00,0.429613575,0.429613575,0.780802
2010-01-15 22:00:00+00:00,0.42948376,0.42948376,0.77706
2010-01-15 23:00:00+00:00,0.429352728,0.429352728,0.773319
2010-01-16 00:00:00+00:00,0.429220478,0.429220478,0.770154
2010-01-16 01:00:00+00:00,0.429538714,0.429538714,0.76699
2010-01-16 02:00:00+00:00,0.429855732,0.429855732,0.763825
2010-01-16 03:00:00+00:00,0.430171532,0.430171532,0.76066
2010-01-16 04:00:00+00:00,0.430034412,0.430034412,0.757495
2010-01-16 05:00:00+00:00,0.430347777,0.430347777,0.754331
2010-01-16 06:00:00+00:00,0.430659924,0.430659924,0.751166
2010-01-16 07:00:00+00:00,0.430970853,0.430970853,0.748001
2010-01-16 08:00:00+00:00,0.431280565,0.431280565,0.744836
2010-01-16 09:00:00+00:00,0.43158906,0.43158906,0.741672
2010-01-16 10:00:00+00:00,0.431896336,0.431896336,0.738507
2010-01-16 11:00:00+00:00,0.432202395,0.432202395,0.735342
2010-01-16 12:00:00+00:00,0.432507237,0.432507237,0.732177
2010-01-16 13:00:00+00:00,0.432359157,0.432359157,0.729013
2010-01-16 14:00:00+00:00,0.432209861,0.432209861,0.725848
2010-01-16 15:00:00+00:00,0.432059346,0.432059346,0.722683
2010-01-16 16:00:00+00:00,0.431907614,0.431907614,0.719519
2010-01-16 17:00:00+00:00,0.432001856,0.432001856,0.716354
2010-01-16 18:00:00+00:00,0.431847689,0.431847689,0.713189
2010-01-16 19:00:00+00:00,0.431692304,0.431692304,0.710024
2010-01-16 20:00:00+00:00,0.431987404,0.431987404,0.70686
2010-01-16 21:00:00+00:00,0.432281286,0.432281286,0.703695
2010-01-16 22:00:00+00:00,0.432573951,0.432573951,0.70053
2010-01-16 23:00:00+00:00,0.43286561,0.43286561,0.697365
2010-01-17 00:00:00+00:00,0.433156264,0.433156264,0.694801
2010-01-17 01:00:00+00:00,0.432994209,0.432994209,0.692237
2010-01-17 02:00:00+00:00,0.433282851,0.433282851,0.689672
2010-01-17 03:00:00+00:00,0.433570487,0.433570487,0.687108
2010-01-17 04:00:00+00:00,0.433857118,0.433857118,0.684543
2010-01-17 05:00:00+00:00,0.43369104,0.43369104,0.681979
2010-01-17 06:00:00+00:00,0.433523957,0.433523957,0.679414
2010-01-17 07:00:00+00:00,0.433807571,0.433807571,0.67685
2010-01-17 08:00:00+00:00,0.434090179,0.434090179,0.674285
2010-01-17 09:00:00+00:00,0.433920078,0.433920078,0.671721
2010-01-17 10:00:00+00:00,0.433748972,0.433748972,0.669157
2010-01-17 11:00:00+00:00,0.43357686,0.43357686,0.666592
2010-01-17 12:00:00+00:00,0.433855446,0.433855446,0.664028
2010-01-17 13:00:00+00:00,0.433681323,0.433681323,0.661463
2010-01-17 14:00:00+00:00,0.433957897,0.433957897,0.658899
2010-01-17 15:00:00+00:00,0.434233465,0.434233465,0.656334
2010-01-17 16:00:00+00:00,0.434056325,0.434056325,0.65377
2010-01-17 17:00:00+00:00,0.433878179,0.433878179,0.651205
2010-01-17 18:00:00+00:00,0.434150731,0.434150731,0.648641
2010-01-17 19:00:00+00:00,0.433970574,0.433970574,0.646077
2010-01-17 20:00:00+00:00,0.433789411,0.433789411,0.643512
2010-01-17 21:00:00+00:00,0.433607242,0.433607242,0.640948
2010-01-17 22:00:00+00:00,0.433875771,0.433875771,0.638383
