,SK_P2HT_OTH,SK_STUR_BIO_CHP,SK_COMC_GAS_CHP
2016-12-10 05:00:00,1891.8873268283855,1256.737681336665,602.6160193294664
2016-12-10 06:00:00,1877.6200709506004,1247.2602680591292,598.0715219791726
2016-12-10 07:00:00,1846.13371315135,1226.3445973776713,588.0422864474899
2016-12-10 08:00:00,1761.760113736172,1170.297136098452,561.167069358684
2016-12-10 09:00:00,1665.5791301462746,1106.406298313686,530.5308889454969
2016-12-10 10:00:00,1588.0931714996825,1054.9341399960354,505.84956712924645
2016-12-10 11:00:00,1538.1577759274342,1021.7631935246607,489.94382640321845
2016-12-10 12:00:00,1525.3664430714887,1013.2662023103185,485.8694494684724
2016-12-10 13:00:00,1533.7300068619145,1018.8219273350808,488.53346515657563
2016-12-10 14:00:00,1553.408980486446,1031.894221510992,494.80173736387735
2016-12-10 15:00:00,1613.9218243818796,1072.0915261019188,514.0766744013299
2016-12-10 16:00:00,1648.1140410545033,1094.8046372325646,524.9677973615167
2016-12-10 17:00:00,1639.2585029234642,1088.9221048534046,522.1470748682309
2016-12-10 18:00:00,1617.6116319364792,1074.5425812599021,515.251975440199
2016-12-10 19:00:00,1578.00769751711,1048.234589230881,502.6370776230045
2016-12-10 20:00:00,1437.5490232720172,954.9310895503145,457.8972847433885
2016-12-10 21:00:00,1147.038175139873,761.9513467784253,365.3619162830974
2016-12-10 22:00:00,957.8740411740649,636.2939190124786,305.10814969040985
2016-12-10 23:00:00,920.4839912874552,611.4565600782472,293.1984324965366
2016-12-11 00:00:00,962.055823069278,639.0717815248597,306.44015753446143
2016-12-11 01:00:00,988.130463121782,656.392571307942,314.7456182091362
2016-12-11 02:00:00,1060.204704021628,704.2698487272169,337.7031651683786
2016-12-11 03:00:00,1224.032159445852,813.0966977416779,389.88653129416525
2016-12-11 04:00:00,1615.8897217443327,1073.39875551951,514.7035016220601
2016-12-11 05:00:00,1969.127298304671,1308.0464359771163,627.2189877431255
2016-12-11 06:00:00,1947.4804273176867,1293.6669123836139,620.3238883150937
2016-12-11 07:00:00,1901.9728008109578,1263.4372321018193,605.8285088357085
2016-12-11 08:00:00,1812.43347081934,1203.9582936014233,577.3078702924857
2016-12-11 09:00:00,1724.6160510198688,1145.6231808414195,549.335705567402
2016-12-11 10:00:00,1646.88410520297,1093.98761884657,524.5760303485603
2016-12-11 11:00:00,1586.6172484778426,1053.9537179328422,505.37944671369894
2016-12-11 12:00:00,1561.7725442768717,1037.4499465357542,497.4657530519805
2016-12-11 13:00:00,1575.301838643737,1046.4371487816932,501.7751901945004
2016-12-11 14:00:00,1593.750876416735,1058.6924245716098,507.6516953888457
2016-12-11 15:00:00,1654.7556946527823,1099.2165365169346,527.083339231481
2016-12-11 16:00:00,1685.9960652817258,1119.9688035211936,537.0342213605725
2016-12-11 17:00:00,1686.488039622339,1120.2956108755914,537.1909281657549
2016-12-11 18:00:00,1663.6112327838216,1105.0990688960946,529.9040617247667
2016-12-11 19:00:00,1617.6116319364792,1074.5425812599021,515.251975440199
2016-12-11 20:00:00,1476.90697052108,981.075677902137,470.43382915799197
2016-12-11 21:00:00,1185.6581608780157,787.605724098651,377.6634004899269
2016-12-11 22:00:00,982.7187453750358,652.7976904095665,313.0218433521282
2016-12-11 23:00:00,1031.424205095751,685.1516184949467,328.53581706519986
2016-12-12 00:00:00,1036.5899356721904,688.5830957161235,330.1812385196166
2016-12-12 01:00:00,1090.707113139652,724.5319046998793,347.41898708969626
2016-12-12 02:00:00,1158.8455593145916,769.794723283972,369.12287960747835
2016-12-12 03:00:00,1322.919001909122,878.7849759756316,421.38459913585615
2016-12-12 04:00:00,1797.9202277712484,1194.3174766466889,572.6850195396008
2016-12-12 05:00:00,2129.0189590039886,1414.258826156395,678.1486994274517
2016-12-12 06:00:00,2039.4796290123707,1354.779887655999,649.628060884229
2016-12-12 07:00:00,1992.004105143189,1323.242977956613,634.5058541841137
2016-12-12 08:00:00,1907.8764928983176,1267.3589203545926,607.708990497899
2016-12-12 09:00:00,1804.315894199221,1198.5659722538599,574.7222080069738
2016-12-12 10:00:00,1776.2733567842633,1179.9379530531864,565.7899201115689
2016-12-12 11:00:00,1691.6537701987788,1123.7270880967683,538.8363496201716
2016-12-12 12:00:00,1647.6220667138898,1094.4778298781669,524.8110905563342
2016-12-12 13:00:00,1615.8897217443327,1073.39875551951,514.7035016220601
2016-12-12 14:00:00,1643.1942976483704,1091.5365636885867,523.4007293096912
2016-12-12 15:00:00,1729.0438200853882,1148.5644470309994,550.7460668140449
2016-12-12 16:00:00,1807.5137274132076,1200.6902200574455,575.7408022406603
2016-12-12 17:00:00,1811.4495221381135,1203.3046788926276,576.9944566821207
2016-12-12 18:00:00,1781.9310617013166,1183.696237628761,567.5920483711683
2016-12-12 19:00:00,1728.5518457447752,1148.2376396766017,550.5893600088623
2016-12-12 20:00:00,1607.0341836132939,1067.51622314035,511.8827791287744
2016-12-12 21:00:00,1309.3897075422567,869.7977737296927,417.0751619933363
2016-12-12 22:00:00,1100.0546256113041,730.7412444334371,350.39641638816454
2016-12-12 23:00:00,1279.1332855945395,849.6991214342293,407.43769347460994
2016-12-13 00:00:00,1308.6517460313366,869.307562698096,416.84010178556247
2016-12-13 01:00:00,1306.6838486688835,868.000333280505,416.2132745648323
2016-12-13 02:00:00,1393.2713326168216,925.5184276545143,443.79367227695974
2016-12-13 03:00:00,1603.0983888883877,1064.9017643051677,510.62912468731406
2016-12-13 04:00:00,2154.3556375455732,1431.0894049078809,686.2190998943528
2016-12-13 05:00:00,2330.974425825742,1548.4132451366836,742.4768429548852
2016-12-13 06:00:00,2214.6224942707,1471.1233058216087,705.415683529214
2016-12-13 07:00:00,2198.8793153710753,1460.66547048088,700.4010657633728
2016-12-13 08:00:00,2121.393356724483,1409.1933121632296,675.7197439471224
2016-12-13 09:00:00,2032.5919882437852,1350.20458469443,647.4341656116734
2016-12-13 10:00:00,2002.335566296068,1330.1059323989664,637.796697092947
2016-12-13 11:00:00,1931.9832355883684,1283.372480720084,615.3876239518436
2016-12-13 12:00:00,1902.7107623218776,1263.9274431334159,606.0635690434823
2016-12-13 13:00:00,1920.9138129245694,1276.0193152461338,611.8617208352364
2016-12-13 14:00:00,1956.089978278419,1299.3860410855752,623.0662574057882
2016-12-13 15:00:00,2018.8167067066129,1341.0539787712921,643.0463750665622
2016-12-13 16:00:00,2096.548652523512,1392.6895407661411,667.8060502854038
2016-12-13 17:00:00,2089.6610117549258,1388.1142378045727,665.6121550128485
2016-12-13 18:00:00,2058.1746539556757,1367.1985671231146,655.5829194811656
2016-12-13 19:00:00,2010.9451172568004,1335.8250611009275,640.5390661836416
2016-12-13 20:00:00,1861.876892050975,1236.8024327184,593.0569042133312
2016-12-13 21:00:00,1555.8688521895124,1033.5282582829807,495.58527138978997
2016-12-13 22:00:00,1336.6942834462939,887.9355818987696,425.7723896809674
2016-12-13 23:00:00,1437.3030361017106,954.7676858731156,457.81893134079723
