,FI_P2HT_OTH,FI_STUR_BIO_CHP,FI_ICEN_GAS_CHP
2016-08-18 18:00:00,1723.099222344892,524.770580977282,63.95641455660624
2016-08-18 19:00:00,1278.003445828276,389.2164781118072,47.4357582698765
2016-08-18 20:00:00,837.4903800093856,255.05804168510173,31.085198830371777
2016-08-18 21:00:00,726.3596455895356,221.21313054494462,26.96035028516513
2016-08-18 22:00:00,758.4386204736161,230.9827956163302,28.151028215740247
2016-08-18 23:00:00,787.0805623344022,239.70571085863872,29.2141335108966
2016-08-19 00:00:00,909.095234661351,276.86532979087315,33.74296206826267
2016-08-19 01:00:00,1263.1096360606673,384.68056218580676,46.8829435163952
2016-08-19 02:00:00,2016.392706999342,614.0932330585214,74.84261277900731
2016-08-19 03:00:00,2569.75502374973,782.6199555399226,95.38180708142808
2016-08-19 04:00:00,2493.5674584000385,759.4170009953817,92.55394699631216
2016-08-19 05:00:00,2237.5084981646105,681.4341387291433,83.04978565761436
2016-08-19 06:00:00,2073.1037518836984,631.3646052382924,76.94756126341689
2016-08-19 07:00:00,1881.7755802536471,573.0955314196711,69.84601789177243
2016-08-19 08:00:00,1756.8967137406196,535.063620963206,65.21087880489074
2016-08-19 09:00:00,1672.6894046699085,509.4182501508188,62.08534923713105
2016-08-19 10:00:00,1602.8030665295905,488.134336959586,59.49137231694955
2016-08-19 11:00:00,1564.9957032733528,476.62008883973874,58.08807332734317
2016-08-19 12:00:00,1561.5586702500584,475.5733390106617,57.9605006919244
2016-08-19 13:00:00,1646.9116569952012,501.5676264327411,61.12855447149033
2016-08-19 14:00:00,1748.3041311823836,532.4467463905135,64.89194721634384
2016-08-19 15:00:00,1835.3756344391736,558.9644087271314,68.12378731361915
2016-08-19 16:00:00,1949.9434018823179,593.8560696963655,72.37620849424455
2016-08-19 17:00:00,1933.331075603062,588.7967788558266,71.75960742305388
2016-08-19 18:00:00,1789.548527461916,545.0077443394377,66.42281884136898
2016-08-19 19:00:00,1320.3935197822393,402.12639267042374,49.0091541067079
2016-08-19 20:00:00,869.5693548934661,264.8277067564873,32.2758767609469
2016-08-19 21:00:00,787.6534011716179,239.88016916348494,29.23539561679973
2016-08-19 22:00:00,822.0237314045612,250.34766745425515,30.51112197098735
2016-08-19 23:00:00,855.8212228002888,260.64070744017926,31.765586219271846
2016-08-20 00:00:00,984.7099611738263,299.8938260305677,36.549560047475445
2016-08-20 01:00:00,1364.50211024785,415.5596821435789,50.646336261248685
2016-08-20 02:00:00,2162.4666104893513,658.5801007942949,80.2644497843047
2016-08-20 03:00:00,2758.7918400309177,840.1911961391588,102.39830202945998
2016-08-20 04:00:00,2682.031435844011,816.8137832897718,99.54917983844095
2016-08-20 05:00:00,2408.2144716548955,733.4227135733022,89.38589321674621
2016-08-20 06:00:00,2229.4887544435906,678.991722461297,82.75211617497057
2016-08-20 07:00:00,2024.412450720362,616.5356493263678,75.14028226165108
2016-08-20 08:00:00,1888.6496463002359,575.1890310778252,70.10116316260996
2016-08-20 09:00:00,1795.8497546712888,546.9267856927456,66.65670200630338
