,PHOT,WTOF,WTON,HE Kraljevac,HE Dale,HE Varazdin,HE Dubrava,HE Cakovec,HE Gojak,HE Lesce,HE Rijeka,HE Miljacka,mHE Hrvatska,HROR
2015-01-03 16:00:00+00:00,0,0,0.135,0.150888598,0.41534538,0.351190774,0.463863097,0.08787,0.228907,0.127866,0.055613,1,0.285778,0.291778
2015-01-03 17:00:00+00:00,0,0,0.158,0.15027286,0.413650463,0.350786848,0.46382556,0.086907,0.228426,0.127597,0.055455,1,0.28527,0.291259
2015-01-03 18:00:00+00:00,0,0,0.165,0.149657123,0.411955546,0.350382923,0.463788023,0.086549,0.227946,0.127329,0.055297,1,0.284855,0.290836
2015-01-03 19:00:00+00:00,0,0,0.178,0.149041386,0.41026063,0.349978997,0.463750487,0.085935,0.227465,0.12706,0.055139,1,0.284401,0.290372
2015-01-03 20:00:00+00:00,0,0,0.21,0.148425649,0.408565713,0.349575072,0.46371295,0.085,0.226984,0.126791,0.054981,1,0.283898,0.289859
2015-01-03 21:00:00+00:00,0,0,0.218,0.147809912,0.406870796,0.349171146,0.463675414,0.085276,0.226503,0.126523,0.054823,1,0.283581,0.289534
2015-01-03 22:00:00+00:00,0,0,0.217,0.147194174,0.40517588,0.348767221,0.463637877,0.087319,0.226022,0.126254,0.054665,1,0.283534,0.289487
2015-01-03 23:00:00+00:00,0,0,0.208,0.146578437,0.403480963,0.348363295,0.46360034,0.090492,0.225542,0.125986,0.054507,1,0.283661,0.289617
2015-01-04 00:00:00+00:00,0,0,0.189,0.146042316,0.402005202,0.348326065,0.463566788,0.094532,0.225122,0.125751,0.055586,1,0.284114,0.290079
2015-01-04 01:00:00+00:00,0,0,0.162,0.145506195,0.400529441,0.348288835,0.463533235,0.100262,0.224702,0.125517,0.056664,1,0.284825,0.290805
2015-01-04 02:00:00+00:00,0,0,0.146,0.144970073,0.39905368,0.348251606,0.463499683,0.107487,0.224282,0.125282,0.057743,1,0.285766,0.291766
2015-01-04 03:00:00+00:00,0,0,0.138,0.144433952,0.397577919,0.348214376,0.46346613,0.114858,0.223862,0.125047,0.058822,1,0.28673,0.29275
2015-01-04 04:00:00+00:00,0,0,0.142,0.143897831,0.396102159,0.348177146,0.463432578,0.122385,0.223442,0.124813,0.0599,1,0.287717,0.293758
2015-01-04 05:00:00+00:00,0,0,0.162,0.14336171,0.394626398,0.348139916,0.463399025,0.13047,0.223022,0.124578,0.060979,1,0.28879,0.294853
2015-01-04 06:00:00+00:00,0.000172909,0,0.197,0.142825588,0.393150637,0.348102687,0.463365472,0.137545,0.222602,0.124343,0.062057,1,0.289708,0.295791
2015-01-04 07:00:00+00:00,0.003285262,0,0.214,0.142289467,0.391674876,0.348065457,0.46333192,0.142226,0.222182,0.124109,0.063136,1,0.290259,0.296353
2015-01-04 08:00:00+00:00,0.006224707,0,0.242,0.141753346,0.390199115,0.348028227,0.463298367,0.145035,0.221761,0.123874,0.064214,1,0.290523,0.296622
2015-01-04 09:00:00+00:00,0.0081267,0,0.319,0.141217225,0.388723354,0.347990997,0.463264815,0.147196,0.221341,0.12364,0.065293,1,0.290687,0.29679
2015-01-04 10:00:00+00:00,0.008299609,0,0.4,0.140681103,0.387247593,0.347953767,0.463231262,0.187438,0.220921,0.123405,0.066371,1,0.296693,0.302922
2015-01-04 11:00:00+00:00,0.006743432,0,0.44,0.140144982,0.385771833,0.347916538,0.463197709,0.218542,0.220501,0.12317,0.06745,1,0.301298,0.307624
2015-01-04 12:00:00+00:00,0.004841438,0,0.51,0.139608861,0.384296072,0.347879308,0.463164157,0.223759,0.220081,0.122936,0.068528,1,0.301931,0.30827
2015-01-04 13:00:00+00:00,0.003803987,0,0.566,0.13907274,0.382820311,0.347842078,0.463130604,0.217808,0.219661,0.122701,0.069607,1,0.30085,0.307167
2015-01-04 14:00:00+00:00,0.002074902,0,0.623,0.138536618,0.38134455,0.347804848,0.463097052,0.212836,0.219241,0.122466,0.070685,1,0.29992,0.306217
2015-01-04 15:00:00+00:00,0,0,0.665,0.138000497,0.379868789,0.347767618,0.463063499,0.209804,0.218821,0.122232,0.071764,1,0.299288,0.305571
2015-01-04 16:00:00+00:00,0,0,0.699,0.137464376,0.378393028,0.347730389,0.463029947,0.208148,0.218401,0.121997,0.072843,1,0.298866,0.305141
2015-01-04 17:00:00+00:00,0,0,0.734,0.136928255,0.376917267,0.347693159,0.462996394,0.202448,0.217981,0.121763,0.073921,1,0.297824,0.304077
2015-01-04 18:00:00+00:00,0,0,0.762,0.136392133,0.375441507,0.347655929,0.462962841,0.184379,0.217561,0.121528,0.075,1,0.294885,0.301076
2015-01-04 19:00:00+00:00,0,0,0.761,0.135856012,0.373965746,0.347618699,0.462929289,0.174708,0.217141,0.121293,0.076078,1,0.293234,0.29939
2015-01-04 20:00:00+00:00,0,0,0.747,0.135319891,0.372489985,0.34758147,0.462895736,0.172392,0.216721,0.121059,0.077157,1,0.292711,0.298856
2015-01-04 21:00:00+00:00,0,0,0.736,0.13478377,0.371014224,0.34754424,0.462862184,0.171107,0.216301,0.120824,0.078235,1,0.292347,0.298484
2015-01-04 22:00:00+00:00,0,0,0.736,0.134247648,0.369538463,0.34750701,0.462828631,0.169409,0.215881,0.120589,0.079314,1,0.291919,0.298047
2015-01-04 23:00:00+00:00,0,0,0.74,0.133711527,0.368062702,0.34746978,0.462795078,0.166684,0.215461,0.120355,0.080392,1,0.291333,0.29745
2015-01-05 00:00:00+00:00,0,0,0.715,0.133259331,0.36681796,0.346692378,0.462768627,0.163931,0.215295,0.120262,0.081982,1,0.290712,0.296816
2015-01-05 01:00:00+00:00,0,0,0.692,0.132807136,0.365573219,0.345914976,0.462742175,0.160774,0.215128,0.120169,0.083571,1,0.290029,0.296118
2015-01-05 02:00:00+00:00,0,0,0.658,0.13235494,0.364328477,0.345137574,0.462715723,0.157771,0.214962,0.120076,0.085161,1,0.289369,0.295445
